# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
1 1 4 89247.11854 0.212720515
1 2 4 111134.5847 0.222168779
1 3 4 30623.65354 0.39411324
1 4 4 138845.6496 0.310035035
1 5 4 67295.70697 0.378629084
1 6 4 228706.2037 0.494427833
1 7 4 162479.023  0.759062287
1 8 4 176197.5953 0.38315087
1 9 4 167405.0381 0.489349631
1 10  4 142219.5098 0.382452036
1 11  4 140316.0067 0.566792533
1 12  4 73534.87028 0.381518572
1 13  4 325835.3944 0.438380585
1 14  4 160546.4286 0.482345652
1 15  4 356504.7116 0.420835087
1 16  4 142314.4924 0.51516586
1 17  4 55559.08989 0.559532626
1 18  4 95967.90176 0.479008946
1 19  4 103830.3  0.42941918
1 20  4 130608.596  0.477074257
1 21  4 344527.485  0.410621521
1 22  4 151939.0133 0.29467269
1 23  4 80397.502 0.477447511
1 24  4 259418.8391 0.384568504
1 25  4 127568.4475 0.333261603
1 26  4 165479.1958 0.685474246
1 27  4 118164.388  0.286882992
1 28  4 500351.9711 0.371822434
1 29  4 265122.9511 0.59263913
1 30  4 210241.8293 0.374062101
1 31  4 235384.5026 0.304499664
1 32  4 115137.2513 0.233962995
1 33  4 170784.2167 0.270006843
1 34  4 128129.7453 0.350007507
1 35  4 778185.8842 0.342745937
1 36  4 339907.802  0.261906584
1 37  4 173454.5124 0.417429035
1 38  4 153832.6344 0.441211422
1 39  4 182687.9771 0.495234601
1 40  4 105777.312  0.237858204
1 41  4 172195.3719 0.327346173
1 42  4 339645.5446 0.368315456
1 1 2 95.19967921 0.601375664
1 4 2 4.301190326 1
1 5 2 47.04426919 0.611089024
1 6 2 12.11602909 0.70203785
1 7 2 120.5164439 0.948289692
1 8 2 33.48062704 0.544380631
1 9 2 383.0747634 0.539313198
1 10  2 2196.213848 0.880950395
1 11  2 8495.458406 0.79998797
1 12  2 556.2431674 0.774991904
1 13  2 1744.074553 0.863215134
1 14  2 125.0653802 0.704083892
1 15  2 7647.295825 0.457459057
1 16  2 6350.97634  0.85319731
1 17  2 3174.688098 0.611167839
1 18  2 10663.1002  0.416775376
1 19  2 9605.991727 0.690775108
1 20  2 10369.24217 0.793751289
1 21  2 3087.869473 0.339376634
1 22  2 2223.351616 0.60195092
1 23  2 4976.781331 0.65855621
1 24  2 1957.218057 0.637453135
1 25  2 188.9741879 0.51047315
1 26  2 4562.411607 0.548437091
1 27  2 2312.965098 0.492912196
1 28  2 2539.628198 0.74759732
1 29  2 46.00970257 0.451616071
1 30  2 4270.0579 0.797269559
1 31  2 1073.119056 0.666772557
1 32  2 21976.44527 0.967872701
1 33  2 5153.127568 0.404694021
1 34  2 6223.123917 0.814873376
1 35  2 5303.764  0.533219899
1 36  2 62.86845256 0.371953859
1 37  2 2377.635164 0.791301167
1 38  2 1075.292545 0.633364993
1 39  2 48616.45594 0.827253683
1 40  2 5963.387789 0.900216415
1 41  2 2488.621864 0.957770995
1 42  2 1680.834105 0.55870585
1 1 1 29249.09209 0.241799049
1 2 1 24443.45867 0.142636214
1 3 1 13085.82159 0.22547819
1 4 1 22579.604 0.323579735
1 5 1 5959.030372 0.320666395
1 6 1 16876.7804  0.452044833
1 7 1 14996.19357 0.282096459
1 8 1 4824.138334 0.414010381
1 9 1 5353.010577 0.406388532
1 10  1 7559.667845 0.290993157
1 11  1 12211.00643 0.324615017
1 12  1 7773.464075 0.294780938
1 13  1 17138.90659 0.44040257
1 14  1 2463.567417 0.372421878
1 15  1 5543.021174 0.341871349
1 16  1 2521.572828 0.416897355
1 17  1 5992.991854 0.500820841
1 18  1 6661.495266 0.389853341
1 19  1 3377.955029 0.293941849
1 20  1 5041.248073 0.52550972
1 21  1 6712.852762 0.26643377
1 22  1 3278.320189 0.374831371
1 23  1 2648.056064 0.352011232
1 24  1 5288.037788 0.347259085
1 25  1 25990.9162  0.578696889
1 26  1 5571.627264 0.459728456
1 27  1 8758.193379 0.539982549
1 28  1 3472.708313 0.364309332
1 29  1 3621.192617 0.56279358
1 30  1 1782.592022 0.420348819
1 31  1 4710.846119 0.403753428
1 32  1 5965.905901 0.491331419
1 33  1 4155.792049 0.537081122
1 34  1 5567.486935 0.379030815
1 35  1 1932.577195 0.519511457
1 36  1 2611.542418 0.556056215
1 37  1 1618.359841 0.588197672
1 38  1 5304.962998 0.324588369
1 39  1 7997.446951 0.501841797
1 40  1 1617.594781 0.403101009
1 41  1 2355.402141 0.478602624
1 42  1 2753.691918 0.646634922
1 1 3 528.8871067 0.499484637
1 2 3 175.815079  0.358153914
1 3 3 148.205809  0.678339172
1 4 3 9.956459087 1
1 5 3 82.8875219  0.693225535
1 6 3 14.13536727 1
1 7 3 22.85656695 0.912293823
1 8 3 22.21271999 0.65573485
1 9 3 58.24528566 0.670809892
1 10  3 19.55086512 0.631102684
1 11  3 21.87045928 0.496475445
1 12  3 6.617215886 0.740682868
1 13  3 34.87451615 0.360862225
1 14  3 2580.714195 0.547901331
1 15  3 1360.940734 0.429608216
1 16  3 665.3403785 0.691189211
1 17  3 421.9262891 0.426971755
1 18  3 656.9479751 0.505524319
1 19  3 688.6249158 0.644591984
1 20  3 9293.944586 0.899065435
1 21  3 1286.077306 0.543826822
1 22  3 2612.812631 0.881746166
1 23  3 621.283047  0.408104676
1 24  3 3843.345159 0.92608255
1 25  3 41.77076376 0.648664057
1 26  3 5777.519597 0.695927824
1 27  3 692.1753784 0.708713244
1 28  3 12.88217202 0.489543854
1 29  3 3.072278804 0.703511357
1 30  3 395.3557324 0.631659803
1 31  3 219.155888  0.626570332
1 32  3 1468.393189 0.661895735
1 33  3 72.60574733 0.783155912
1 34  3 314.8109733 0.542775441
1 35  3 1437.237276 0.870542376
1 36  3 35.32570037 0.492193513
1 37  3 4342.212873 0.90963052
1 38  3 5799.995363 0.64477301
1 39  3 8680.142212 0.515045489
1 40  3 9588.82586  0.442573167
1 41  3 621.4572628 0.885876184
1 42  3 19155.47023 0.983269434
# end survey index observations 
#  
# Survey size comp data 
# Number of observations, init_int Nsurvey_size_obs 
  166
# init_matrix obs_survey_size(1,Nsurvey_size_obs,1,ncol) 
# Survey  Year  Species Type (0=whole, 1=retained, 2=discard) InpN, proportion by length bin 
1 1 1 0 57  0.017673418 0.06583772  0.435500144 0.359537401 0.121451317
1 2 1 0 65  0.016038549 0.051094659 0.206035634 0.635550176 0.091280982
1 3 1 0 32  0.017069896 0.041308665 0.313315805 0.628305634 0
1 4 1 0 32  0.048544673 0.135223434 0.393702552 0.16618829  0.256341052
1 5 1 0 21  0.016190182 0.158427126 0.216386871 0.314194805 0.294801016
1 6 1 0 18  0.01194245  0.084469207 0.188171395 0.715416948 0
1 7 1 0 25  0.039933828 0.058261387 0.304186934 0.597617851 0
1 8 1 0 20  0.017912727 0.049648823 0.682824046 0.249614404 0
1 9 1 0 16  0.063042273 0.426010202 0.196724552 0.314222973 0
1 10  1 0 19  0.031909191 0.075038789 0.224735016 0.079883024 0.588433981
1 11  1 0 20  0.015692212 0.287041104 0 0.697266684 0
1 12  1 0 22  0.034606762 0.112509746 0.120284667 0.313613666 0.41898516
1 13  1 0 23  0.019557363 0.23398768  0.468557356 0 0.277897601
1 14  1 0 14  0.086548932 0.115669524 0.454591813 0.343189731 0
1 15  1 0 21  0.018914495 0.397998434 0.430119367 0.152967703 0
1 16  1 0 14  0.029019877 0.061007544 0.909972578 0 0
1 17  1 0 17  0.041815035 0.386244135 0.193621252 0.378319578 0
1 18  1 0 19  0.019538293 0.068271195 0.75066346  0.161527052 0
1 19  1 0 18  0.026621529 0.167515137 0.59298702  0.212876314 0
1 20  1 0 15  0.023490679 0.462244856 0.264836994 0.249427471 0
1 21  1 0 21  0.000476908 0.653574846 0.345948246 0 0
1 22  1 0 13  0.004859326 0.049423411 0.647724904 0.297992358 0
1 23  1 0 14  0.030551695 0.183982221 0.130859464 0.65460662  0
1 24  1 0 14  0.012565235 0.311998751 0.675436014 0 0
1 25  1 0 18  0.02303119  0.142380713 0.404794106 0.429793991 0
1 26  1 0 14  0.00190518  0.081086078 0.593939774 0.323068969 0
1 27  1 0 23  0.182489647 0.219618023 0.362748007 0.235144323 0
