full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 480448
1 1 2 1 788545
1 1 3 1 139339
1 1 4 1 144267
1 2 1 1 371419
1 2 2 1 365409
1 2 3 1 62419.5
1 2 4 1 141333
1 3 1 1 281660
1 3 2 1 169037
1 3 3 1 27371.4
1 3 4 1 137494
1 4 1 1 203669
1 4 2 1 79921
1 4 3 1 11718.7
1 4 4 1 132927
1 5 1 1 138291
1 5 2 1 41074.1
1 5 3 1 5162.95
1 5 4 1 127806
1 6 1 1 89772.8
1 6 2 1 23826.4
1 6 3 1 2467.92
1 6 4 1 122333
1 7 1 1 57778
1 7 2 1 16518.2
1 7 3 1 1398.84
1 7 4 1 116724
1 8 1 1 38553.5
1 8 2 1 13379.5
1 8 3 1 967.14
1 8 4 1 111179
1 9 1 1 27781.6
1 9 2 1 12210.7
1 9 3 1 800.338
1 9 4 1 105862
1 10 1 1 22052.6
1 10 2 1 11946.9
1 10 3 1 744.263
1 10 4 1 100895
1 11 1 1 19122.4
1 11 2 1 11949
1 11 3 1 728.457
1 11 4 1 96358.7
1 12 1 1 17667.1
1 12 2 1 12077
1 12 3 1 730.848
1 12 4 1 92292.3
1 13 1 1 16960.2
1 13 2 1 12150.3
1 13 3 1 735.11
1 13 4 1 88705.9
1 14 1 1 16622.6
1 14 2 1 12254.4
1 14 3 1 742.562
1 14 4 1 85586.7
1 15 1 1 16463.4
1 15 2 1 12408.9
1 15 3 1 753.027
1 15 4 1 82906.2
1 16 1 1 16389.1
1 16 2 1 12518.6
1 16 3 1 761.43
1 16 4 1 80626.5
1 17 1 1 16354.6
1 17 2 1 12506.6
1 17 3 1 763.392
1 17 4 1 78705.3
1 18 1 1 16338.8
1 18 2 1 12474.1
1 18 3 1 763.466
1 18 4 1 77098.8
1 19 1 1 16331.5
1 19 2 1 12593.1
1 19 3 1 770.672
1 19 4 1 75764.8
1 20 1 1 16328.1
1 20 2 1 12643.1
1 20 3 1 774.269
1 20 4 1 74663.7
1 21 1 1 20065.1
1 21 2 1 12663.6
1 21 3 1 776.615
1 21 4 1 78604.4
1 22 1 1 23428.4
1 22 2 1 12523.5
1 22 3 1 769.926
1 22 4 1 82585.9
1 23 1 1 26121.8
1 23 2 1 12434.8
1 23 3 1 764.694
1 23 4 1 86542.1
1 24 1 1 28101.4
1 24 2 1 12318.6
1 24 3 1 756.845
1 24 4 1 90412.5
1 25 1 1 29472.8
1 25 2 1 12105.6
1 25 3 1 743.145
1 25 4 1 94145.5
1 26 1 1 30385.4
1 26 2 1 12072.5
1 26 3 1 738.503
1 26 4 1 97700
1 27 1 1 30976.2
1 27 2 1 12115.6
1 27 3 1 738.238
1 27 4 1 101046
1 28 1 1 31351.6
1 28 2 1 12076.7
1 28 3 1 734.738
1 28 4 1 104162
1 29 1 1 31587.1
1 29 2 1 11893.4
1 29 3 1 723.996
1 29 4 1 107039
1 30 1 1 31733.5
1 30 2 1 11858.5
1 30 3 1 720.575
1 30 4 1 109674
1 31 1 1 31824.1
1 31 2 1 11754.4
1 31 3 1 713.117
1 31 4 1 112069
1 32 1 1 31879.8
1 32 2 1 11650
1 32 3 1 705.687
1 32 4 1 114233
1 33 1 1 31914.1
1 33 2 1 11531.6
1 33 3 1 697.353
1 33 4 1 116176
1 34 1 1 31935.1
1 34 2 1 11355.3
1 34 3 1 685.686
1 34 4 1 117914
1 35 1 1 31947.9
1 35 2 1 11123.6
1 35 3 1 670.557
1 35 4 1 119460
1 36 1 1 31955.8
1 36 2 1 11038.6
1 36 3 1 662.704
1 36 4 1 120831
1 37 1 1 31960.6
1 37 2 1 11027.2
1 37 3 1 659.029
1 37 4 1 122042
1 38 1 1 31963.5
1 38 2 1 11025.9
1 38 3 1 656.96
1 38 4 1 123109
1 39 1 1 31965.3
1 39 2 1 10917.1
1 39 3 1 650.041
1 39 4 1 124045
1 40 1 1 31966.4
1 40 2 1 10951.1
1 40 3 1 650.805
1 40 4 1 124866
1 41 1 1 31967.1
1 41 2 1 10905.8
1 41 3 1 647.551
1 41 4 1 125584
1 42 1 1 31967.5
1 42 2 1 10900.6
1 42 3 1 646.709
1 42 4 1 126210
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 213661
1 1 4 1 16994.9
1 2 1 1 174318
1 2 4 1 16804.6
1 3 1 1 134926
1 3 4 1 16441.9
1 4 1 1 101807
1 4 4 1 15967.1
1 5 1 1 73055.7
1 5 4 1 15409.6
1 6 1 1 49320.3
1 6 4 1 14793.5
1 7 1 1 31948.7
1 7 4 1 14143.8
1 8 1 1 20607.2
1 8 4 1 13485.3
1 9 1 1 13839.7
1 9 4 1 12839.9
1 10 1 1 10066.2
1 10 4 1 12225.5
1 11 1 1 8066.24
1 11 4 1 11654.9
1 12 1 1 7045.92
1 12 4 1 11136
1 13 1 1 6540.13
1 13 4 1 10672.6
1 14 1 1 6294.81
1 14 4 1 10265.2
1 15 1 1 6177.76
1 15 4 1 9911.68
1 16 1 1 6122.62
1 16 4 1 9608.56
1 17 1 1 6096.88
1 17 4 1 9351.22
1 18 1 1 6084.95
1 18 4 1 9134.67
1 19 1 1 6079.46
1 19 4 1 8953.82
1 20 1 1 6076.93
1 20 4 1 8803.82
1 21 1 1 2765.66
1 21 4 1 3645.44
1 22 1 1 3385.36
1 22 4 1 3837.47
1 23 1 1 3936.89
1 23 4 1 4030.7
1 24 1 1 4375.25
1 24 4 1 4221.97
1 25 1 1 4695.91
1 25 4 1 4408.46
1 26 1 1 4917.35
1 26 4 1 4587.81
1 27 1 1 5064.4
1 27 4 1 4758.15
1 28 1 1 5159.47
1 28 4 1 4918.13
1 29 1 1 5219.82
1 29 4 1 5066.89
1 30 1 1 5257.66
1 30 4 1 5204
1 31 1 1 5281.18
1 31 4 1 5329.37
1 32 1 1 5295.72
1 32 4 1 5443.21
1 33 1 1 5304.67
1 33 4 1 5545.96
1 34 1 1 5310.17
1 34 4 1 5638.17
1 35 1 1 5313.54
1 35 4 1 5720.54
1 36 1 1 5315.6
1 36 4 1 5793.8
1 37 1 1 5316.86
1 37 4 1 5858.7
1 38 1 1 5317.63
1 38 4 1 5916
1 39 1 1 5318.1
1 39 4 1 5966.45
1 40 1 1 5318.39
1 40 4 1 6010.74
1 41 1 1 5318.56
1 41 4 1 6049.54
1 42 1 1 5318.67
1 42 4 1 6083.44
2 1 2 1 668614
2 1 3 1 195761
2 2 2 1 330246
2 2 3 1 87879.9
2 3 2 1 160677
2 3 3 1 38025.2
2 4 2 1 78683
2 4 3 1 16554.5
2 5 2 1 40466.8
2 5 3 1 7530.9
2 6 2 1 23094.7
2 6 3 1 3830.95
2 7 2 1 15312.7
2 7 3 1 2325.89
2 8 2 1 11969
2 8 3 1 1721.91
2 9 2 1 10616.5
2 9 3 1 1482.63
2 10 2 1 10238.4
2 10 3 1 1404.18
2 11 2 1 10260.1
2 11 3 1 1389.92
2 12 2 1 10391.3
2 12 3 1 1396.52
2 13 2 1 10526.3
2 13 3 1 1408.01
2 14 2 1 10626.6
2 14 3 1 1418.05
2 15 2 1 10756.6
2 15 3 1 1432.87
2 16 2 1 10891.2
2 16 3 1 1448.56
2 17 2 1 10947.5
2 17 3 1 1455.37
2 18 2 1 10928.1
2 18 3 1 1453.8
2 19 2 1 10962
2 19 3 1 1458.54
2 20 2 1 11048.2
2 20 3 1 1468.84
2 21 2 1 11085.2
2 21 3 1 1473.1
2 22 2 1 11035.1
2 22 3 1 1467.43
2 23 2 1 10919.9
2 23 3 1 1454.41
2 24 2 1 10819.7
2 24 3 1 1443.06
2 25 2 1 10663.5
2 25 3 1 1424.65
2 26 2 1 10533.8
2 26 3 1 1409.28
2 27 2 1 10533.4
2 27 3 1 1408.76
2 28 2 1 10539.6
2 28 3 1 1408.46
2 29 2 1 10438.7
2 29 3 1 1395.94
2 30 2 1 10324.4
2 30 3 1 1382.65
2 31 2 1 10259.2
2 31 3 1 1374.94
2 32 2 1 10157.7
2 32 3 1 1362.6
2 33 2 1 10049.6
2 33 3 1 1349.57
2 34 2 1 9908.81
2 34 3 1 1332.6
2 35 2 1 9713.01
2 35 3 1 1309.12
2 36 2 1 9551.7
2 36 3 1 1289.81
2 37 2 1 9500.84
2 37 3 1 1283.1
2 38 2 1 9494.47
2 38 3 1 1281.16
2 39 2 1 9446.74
2 39 3 1 1274.44
2 40 2 1 9403.16
2 40 3 1 1268.97
2 41 2 1 9401.26
2 41 3 1 1268.38
2 42 2 1 9374.9
2 42 3 1 1264.91
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0346193 0.754137 2.98072 3.49825 2.18664
1 1 2 2  2.36257 8.93691 23.923 31.2523 97.7373
1 1 3 2  0.65013 1.541 4.00677 5.36865 17.1271
1 1 4 2  0.937678 11.9933 26.5176 22.844 11.3783
1 2 1 2  0.0126817 0.341302 2.35197 2.80995 1.66459
1 2 2 2  1.34683 4.93848 13.8439 19.8906 41.9871
1 2 3 2  0.423734 0.762986 1.29413 2.34967 7.76183
1 2 4 2  0.967427 9.86703 24.5886 22.8611 11.3305
1 3 1 2  0.00608377 0.16002 1.32775 2.23264 1.2954
1 3 2 2  0.956994 3.37471 7.64832 11.9941 17.6665
1 3 3 2  0.298571 0.50402 0.5168 0.881455 3.43414
1 3 4 2  0.989764 8.6595 22.0333 22.3998 11.2941
1 4 1 2  0.00409938 0.0951431 0.681591 1.46136 1.01692
1 4 2 2  0.807423 2.77476 4.64138 6.94046 7.33646
1 4 3 2  0.230364 0.379991 0.283648 0.334357 1.4528
1 4 4 2  1.00654 7.98516 19.6322 21.4425 11.2193
1 5 1 2  0.00350256 0.0737539 0.376941 0.848195 0.742327
1 5 2 2  0.754267 2.56283 3.39834 4.1287 3.08696
1 5 3 2  0.195431 0.318361 0.200107 0.152204 0.608564
1 5 4 2  1.01913 7.61759 17.6574 20.1678 11.065
1 6 1 2  0.00332306 0.0669806 0.252448 0.481522 0.499884
1 6 2 2  0.733431 2.48034 2.88751 2.62825 1.30304
1 6 3 2  0.176616 0.285345 0.161961 0.088665 0.259848
1 6 4 2  1.02859 7.42449 16.1476 18.7707 10.8157
1 7 1 2  0.00326908 0.0648818 0.205669 0.295581 0.319395
1 7 2 2  0.729642 2.46609 2.7403 1.91081 0.563514
1 7 3 2  0.168157 0.270652 0.145973 0.0655501 0.121262
1 7 4 2  1.03569 7.329 15.0471 17.4 10.4786
1 8 1 2  0.00325284 0.0642394 0.18902 0.210739 0.201753
1 8 2 2  0.729381 2.4659 2.71138 1.57978 0.246601
1 8 3 2  0.164114 0.263665 0.138736 0.0564008 0.0655019
1 8 4 2  1.04102 7.28688 14.2726 16.1487 10.0742
1 9 1 2  0.00324796 0.0640442 0.183312 0.174739 0.132058
1 9 2 2  0.733562 2.48306 2.75764 1.45911 0.110114
1 9 3 2  0.163455 0.262597 0.137547 0.0533491 0.0433646
1 9 4 2  1.04502 7.2729 13.7428 15.0628 9.62799
1 10 1 2  0.00324649 0.0639851 0.181407 0.160248 0.0935106
1 10 2 2  0.739751 2.50803 2.84054 1.44803 0.0500843
1 10 3 2  0.164692 0.264836 0.139766 0.0533349 0.0349007
1 10 4 2  1.04803 7.27296 13.3895 14.1555 9.16483
1 11 1 2  0.00324605 0.0639673 0.180784 0.154642 0.0732313
1 11 2 2  0.742686 2.52018 2.8965 1.47264 0.0228723
1 11 3 2  0.165595 0.266484 0.141717 0.0542078 0.0319301
1 11 4 2  1.05029 7.2793 13.1596 13.4194 8.70585
1 12 1 2  0.00324592 0.0639619 0.180584 0.152539 0.0629505
1 12 2 2  0.745444 2.53143 2.94461 1.51124 0.010515
1 12 3 2  0.166668 0.268415 0.143872 0.0553981 0.0313474
1 12 4 2  1.05198 7.28783 13.0139 12.836 8.26716
1 13 1 2  0.00324588 0.0639603 0.18052 0.151769 0.0578804
1 13 2 2  0.745451 2.53184 2.96039 1.53892 0.00482528
1 13 3 2  0.16693 0.268921 0.144734 0.0562067 0.0315138
1 13 4 2  1.05326 7.29648 12.9243 12.3826 7.85976
1 14 1 2  0.00324586 0.0639598 0.1805 0.151492 0.0554315
1 14 2 2  0.746736 2.53711 2.98208 1.56515 0.00222536
1 14 3 2  0.167527 0.270001 0.145953 0.0569746 0.0320119
1 14 4 2  1.05421 7.30431 12.8713 12.0361 7.49019
1 15 1 2  0.00324586 0.0639596 0.180493 0.151395 0.0542669
1 15 2 2  0.749201 2.54702 3.01665 1.59624 0.00103329
1 15 3 2  0.168538 0.271805 0.147836 0.0579642 0.032674
1 15 4 2  1.05493 7.311 12.8416 11.775 7.16135
1 16 1 2  0.00324586 0.0639596 0.180491 0.151361 0.0537197
1 16 2 2  0.750016 2.55052 3.03644 1.62149 0.000480043
1 16 3 2  0.169071 0.272776 0.149047 0.0588064 0.0332978
1 16 4 2  1.05547 7.3165 12.8263 11.5808 6.87342
1 17 1 2  0.00324586 0.0639596 0.180491 0.151349 0.0534648
1 17 2 2  0.748068 2.54313 3.02372 1.62763 0.000221791
1 17 3 2  0.168624 0.272029 0.148648 0.0590044 0.0336697
1 17 4 2  1.05587 7.32091 12.8198 11.4381 6.62474
1 18 1 2  0.00324586 0.0639596 0.180491 0.151345 0.0533468
1 18 2 2  0.746888 2.53859 3.01117 1.62567 0.000102433
1 18 3 2  0.168249 0.271388 0.148138 0.058904 0.0338678
1 18 4 2  1.05618 7.3244 12.8182 11.3343 6.41241
1 19 1 2  0.00324586 0.0639596 0.180491 0.151344 0.0532926
1 19 2 2  0.750135 2.5513 3.04367 1.64278 4.78278e-05
1 19 3 2  0.16929 0.273211 0.149751 0.0594567 0.0342396
1 19 4 2  1.0564 7.32712 12.8193 11.2596 6.23293
1 20 1 2  0.00324586 0.0639596 0.180491 0.151343 0.0532677
1 20 2 2  0.750123 2.55154 3.05267 1.65423 2.2268e-05
