full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349520
1 2 2 1 320327
1 2 3 1 49508
1 2 4 1 170027
1 3 1 1 214568
1 3 2 1 168931
1 3 3 1 19369.1
1 3 4 1 147222
1 4 1 1 136452
1 4 2 1 92396.9
1 4 3 1 8040.08
1 4 4 1 129094
1 5 1 1 88926.2
1 5 2 1 52978.6
1 5 3 1 3631.96
1 5 4 1 114828
1 6 1 1 59577
1 6 2 1 32375.6
1 6 3 1 1829.51
1 6 4 1 103719
1 7 1 1 41583.7
1 7 2 1 21949.2
1 7 3 1 1071.39
1 7 4 1 95164.6
1 8 1 1 30745.9
1 8 2 1 16683.2
1 8 3 1 738.933
1 8 4 1 88659.5
1 9 1 1 24354.8
1 9 2 1 14140.8
1 9 3 1 592.02
1 9 4 1 83781.7
1 10 1 1 20665.2
1 10 2 1 12989
1 10 3 1 528.13
1 10 4 1 80183.6
1 11 1 1 18576.9
1 11 2 1 12456.8
1 11 3 1 499.493
1 11 4 1 77581.9
1 12 1 1 17416
1 12 2 1 12238.2
1 12 3 1 487.495
1 12 4 1 75747.7
1 13 1 1 16780.8
1 13 2 1 12114.1
1 13 3 1 481.227
1 13 4 1 74497.6
1 14 1 1 16438.2
1 14 2 1 12066.3
1 14 3 1 478.721
1 14 4 1 73686.2
1 15 1 1 16255.7
1 15 2 1 12079.5
1 15 3 1 478.843
1 15 4 1 73199.5
1 16 1 1 16159.5
1 16 2 1 12088
1 16 3 1 479.009
1 16 4 1 72948.5
1 17 1 1 16109.4
1 17 2 1 12035.2
1 17 3 1 477.113
1 17 4 1 72864.8
1 18 1 1 16083.4
1 18 2 1 11970.1
1 18 3 1 474.804
1 18 4 1 72896.3
1 19 1 1 16070.1
1 19 2 1 11998.1
1 19 3 1 475.763
1 19 4 1 73003.9
1 20 1 1 16063.3
1 20 2 1 11996.8
1 20 3 1 475.71
1 20 4 1 73158.4
1 21 1 1 19048.8
1 21 2 1 11981.6
1 21 3 1 475.165
1 21 4 1 77634.1
1 22 1 1 21383.1
1 22 2 1 11879.5
1 22 3 1 471.539
1 22 4 1 81844.5
1 23 1 1 23105.3
1 23 2 1 11812.7
1 23 3 1 469.094
1 23 4 1 85769.4
1 24 1 1 24326.3
1 24 2 1 11738
1 24 3 1 466.354
1 24 4 1 89400.3
1 25 1 1 25167.3
1 25 2 1 11608.5
1 25 3 1 461.665
1 25 4 1 92737.1
1 26 1 1 25734.1
1 26 2 1 11584.9
1 26 3 1 460.715
1 26 4 1 95786.1
1 27 1 1 26109.6
1 27 2 1 11615.8
1 27 3 1 461.732
1 27 4 1 98558.1
1 28 1 1 26355
1 28 2 1 11604.6
1 28 3 1 461.287
1 28 4 1 101067
1 29 1 1 26513.7
1 29 2 1 11503.2
1 29 3 1 457.667
1 29 4 1 103329
1 30 1 1 26615.4
1 30 2 1 11480.8
1 30 3 1 456.845
1 30 4 1 105361
1 31 1 1 26680
1 31 2 1 11420.1
1 31 3 1 454.669
1 31 4 1 107181
1 32 1 1 26720.9
1 32 2 1 11356.7
1 32 3 1 452.369
1 32 4 1 108806
1 33 1 1 26746.6
1 33 2 1 11282.8
1 33 3 1 449.689
1 33 4 1 110253
1 34 1 1 26762.7
1 34 2 1 11171.4
1 34 3 1 445.662
1 34 4 1 111539
1 35 1 1 26772.8
1 35 2 1 11020.7
1 35 3 1 440.21
1 35 4 1 112679
1 36 1 1 26779
1 36 2 1 10953.9
1 36 3 1 437.733
1 36 4 1 113687
1 37 1 1 26782.9
1 37 2 1 10938.3
1 37 3 1 437.092
1 37 4 1 114578
1 38 1 1 26785.3
1 38 2 1 10935.8
1 38 3 1 436.932
1 38 4 1 115363
1 39 1 1 26786.8
1 39 2 1 10870.3
1 39 3 1 434.533
1 39 4 1 116054
1 40 1 1 26787.7
1 40 2 1 10886.4
1 40 3 1 435.08
1 40 4 1 116661
1 41 1 1 26788.2
1 41 2 1 10859.6
1 41 3 1 434.102
1 41 4 1 117194
1 42 1 1 26788.6
1 42 2 1 10855.3
1 42 3 1 433.926
1 42 4 1 117662
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215546
1 2 4 1 22727
1 3 1 1 126228
1 3 4 1 19506.6
1 4 1 1 78116.4
1 4 4 1 16922.9
1 5 1 1 49927.1
1 5 4 1 14871.9
1 6 1 1 32642.4
1 6 4 1 13261.1
1 7 1 1 21933.3
1 7 4 1 12010.2
1 8 1 1 15365.9
1 8 4 1 11050.3
1 9 1 1 11415.4
1 9 4 1 10323.4
1 10 1 1 9090.54
1 10 4 1 9781.21
1 11 1 1 7751.46
1 11 4 1 9383.87
1 12 1 1 6995.32
1 12 4 1 9098.95
1 13 1 1 6575.89
1 13 4 1 8900.3
1 14 1 1 6346.88
1 14 4 1 8767.05
1 15 1 1 6223.58
1 15 4 1 8682.65
1 16 1 1 6158.01
1 16 4 1 8634.16
1 17 1 1 6123.51
1 17 4 1 8611.56
1 18 1 1 6105.54
1 18 4 1 8607.13
1 19 1 1 6096.26
1 19 4 1 8615.04
1 20 1 1 6091.51
1 20 4 1 8630.93
1 21 1 1 2765.35
1 21 4 1 3629.32
1 22 1 1 3271.86
1 22 4 1 3851.81
1 23 1 1 3664.03
1 23 4 1 4060.37
1 24 1 1 3951.41
1 24 4 1 4254.19
1 25 1 1 4154.15
1 25 4 1 4433
1 26 1 1 4293.27
1 26 4 1 4596.93
1 27 1 1 4386.75
1 27 4 1 4746.39
1 28 1 1 4448.53
1 28 4 1 4882.02
1 29 1 1 4488.83
1 29 4 1 5004.55
1 30 1 1 4514.84
1 30 4 1 5114.84
1 31 1 1 4531.49
1 31 4 1 5213.77
1 32 1 1 4542.06
1 32 4 1 5302.25
1 33 1 1 4548.74
1 33 4 1 5381.15
1 34 1 1 4552.94
1 34 4 1 5451.33
1 35 1 1 4555.56
1 35 4 1 5513.62
1 36 1 1 4557.2
1 36 4 1 5568.78
1 37 1 1 4558.22
1 37 4 1 5617.54
1 38 1 1 4558.85
1 38 4 1 5660.56
1 39 1 1 4559.24
1 39 4 1 5698.45
1 40 1 1 4559.48
1 40 4 1 5731.78
1 41 1 1 4559.63
1 41 4 1 5761.06
1 42 1 1 4559.72
1 42 4 1 5786.74
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.3
2 3 2 1 141616
2 3 3 1 37700.2
2 4 2 1 82041.7
2 4 3 1 16920.5
2 5 2 1 48760.2
2 5 3 1 8351.23
2 6 2 1 30003.8
2 6 3 1 4599.35
2 7 2 1 19695
2 7 3 1 2871.14
2 8 2 1 14244.2
2 8 3 1 2054.16
2 9 2 1 11447.9
2 9 3 1 1661.45
2 10 2 1 10099.8
2 10 3 1 1478.55
2 11 2 1 9484.92
2 11 3 1 1396.22
2 12 2 1 9213.68
2 12 3 1 1359.13
2 13 2 1 9095.53
2 13 3 1 1342.41
2 14 2 1 9035.76
2 14 3 1 1333.39
2 15 2 1 9025.02
2 15 3 1 1331.36
2 16 2 1 9038.02
2 16 3 1 1332.76
2 17 2 1 9027.39
2 17 3 1 1331
2 18 2 1 8982.73
2 18 3 1 1324.77
2 19 2 1 8961.13
2 19 3 1 1321.98
2 20 2 1 8972.08
2 20 3 1 1324.09
2 21 2 1 8967.07
2 21 3 1 1323.36
2 22 2 1 8925.12
2 22 3 1 1317.91
2 23 2 1 8853.33
2 23 3 1 1308.44
2 24 2 1 8792.54
2 24 3 1 1301.29
2 25 2 1 8709.9
2 25 3 1 1291.3
2 26 2 1 8637.86
2 26 3 1 1282.37
2 27 2 1 8632.31
2 27 3 1 1282.83
2 28 2 1 8640.77
2 28 3 1 1284.64
2 29 2 1 8601.09
2 29 3 1 1279.45
2 30 2 1 8545.49
2 30 3 1 1272
2 31 2 1 8510.84
2 31 3 1 1268.44
2 32 2 1 8459.09
2 32 3 1 1262.11
2 33 2 1 8401.91
2 33 3 1 1255.17
2 34 2 1 8326.77
2 34 3 1 1245.96
2 35 2 1 8220.49
2 35 3 1 1232.68
2 36 2 1 8123.62
2 36 3 1 1220.73
2 37 2 1 8081.92
2 37 3 1 1216.62
2 38 2 1 8070.73
2 38 3 1 1216.05
2 39 2 1 8046.19
2 39 3 1 1213.18
2 40 2 1 8020.82
2 40 3 1 1209.67
2 41 2 1 8017.2
2 41 3 1 1209.84
2 42 2 1 8003.14
2 42 3 1 1207.95
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0435986 1.26702 3.79924 4.2068 1.15505
