full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 72153.4
1 1 2 1 5111.17
1 1 3 1 418.7
1 1 4 1 50775.7
1 2 1 1 60359.3
1 2 2 1 4529.41
1 2 3 1 416.817
1 2 4 1 50012.6
1 3 1 1 48822.4
1 3 2 1 4311.4
1 3 3 1 619.288
1 3 4 1 49846
1 4 1 1 40639.1
1 4 2 1 4629.58
1 4 3 1 1119.14
1 4 4 1 50263.3
1 5 1 1 42265.4
1 5 2 1 5090.34
1 5 3 1 1742.63
1 5 4 1 51193.6
1 6 1 1 40851.6
1 6 2 1 5539.86
1 6 3 1 2150.11
1 6 4 1 52537
1 7 1 1 36691.8
1 7 2 1 5982.92
1 7 3 1 2268.07
1 7 4 1 54186.1
1 8 1 1 35064.5
1 8 2 1 6529.94
1 8 3 1 2171.32
1 8 4 1 56038.2
1 9 1 1 33901
1 9 2 1 7554.14
1 9 3 1 1965.66
1 9 4 1 58000.5
1 10 1 1 39789.9
1 10 2 1 9452.68
1 10 3 1 1735.86
1 10 4 1 59989.9
1 11 1 1 40324.2
1 11 2 1 11917.6
1 11 3 1 1536.8
1 11 4 1 61933.7
1 12 1 1 36713.8
1 12 2 1 13846.8
1 12 3 1 1414.97
1 12 4 1 63771.2
1 13 1 1 33281.6
1 13 2 1 14881.5
1 13 3 1 1421.72
1 13 4 1 65457.4
1 14 1 1 28871.3
1 14 2 1 15049.4
1 14 3 1 1553.44
1 14 4 1 66967.3
1 15 1 1 24795.3
1 15 2 1 14732.6
1 15 3 1 1703.19
1 15 4 1 68294.8
1 16 1 1 21242
1 16 2 1 14368
1 16 3 1 1753.4
1 16 4 1 69444.7
1 17 1 1 18098.9
1 17 2 1 16501.2
1 17 3 1 1684.93
1 17 4 1 70428.1
1 18 1 1 16595.1
1 18 2 1 28231.1
1 18 3 1 1550.52
1 18 4 1 71259.2
1 19 1 1 15239
1 19 2 1 53267.7
1 19 3 1 1418.31
1 19 4 1 71950
1 20 1 1 14316.1
1 20 2 1 78163.1
1 20 3 1 1320.03
1 20 4 1 72506.7
1 21 1 1 17614.2
1 21 2 1 89058.8
1 21 3 1 1251.94
1 21 4 1 77651.2
1 22 1 1 20828.1
1 22 2 1 91718.5
1 22 3 1 1211.26
1 22 4 1 82429.8
1 23 1 1 22720.3
1 23 2 1 90160.9
1 23 3 1 1214.39
1 23 4 1 86799.8
1 24 1 1 23628.8
1 24 2 1 85100.6
1 24 3 1 1269.81
1 24 4 1 90740.4
1 25 1 1 23098.1
1 25 2 1 77991.3
1 25 3 1 1342
1 25 4 1 94250.2
1 26 1 1 21345
1 26 2 1 73024.5
1 26 3 1 1366.88
1 26 4 1 97344.5
1 27 1 1 19207.3
1 27 2 1 74219.5
1 27 3 1 1324.2
1 27 4 1 100055
1 28 1 1 17661.4
1 28 2 1 79230.9
1 28 3 1 1222.86
1 28 4 1 102424
1 29 1 1 16718.9
1 29 2 1 78432.3
1 29 3 1 1084.44
1 29 4 1 104504
1 30 1 1 16077.4
1 30 2 1 74781.9
1 30 3 1 933.949
1 30 4 1 106354
1 31 1 1 15081.4
1 31 2 1 74370.9
1 31 3 1 790.747
1 31 4 1 108040
1 32 1 1 13608.5
1 32 2 1 89752.8
1 32 3 1 669.299
1 32 4 1 109629
1 33 1 1 11869.2
1 33 2 1 120822
1 33 3 1 617.014
1 33 4 1 111186
1 34 1 1 10139.2
1 34 2 1 136785
1 34 3 1 716.113
