full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 695402
1 1 3 1 139544
1 1 4 1 198435
1 2 1 1 349521
1 2 2 1 368154
1 2 3 1 55336.8
1 2 4 1 170055
1 3 1 1 214574
1 3 2 1 206753
1 3 3 1 22844.7
1 3 4 1 147355
1 4 1 1 136465
1 4 2 1 118968
1 4 3 1 9913.09
1 4 4 1 129426
1 5 1 1 88945.8
1 5 2 1 70295.1
1 5 3 1 4599.78
1 5 4 1 115450
1 6 1 1 59602.4
1 6 2 1 43398.3
1 6 3 1 2332.49
1 6 4 1 104709
1 7 1 1 41613.2
1 7 2 1 28826.8
1 7 3 1 1331.91
1 7 4 1 96583.8
1 8 1 1 30778.2
1 8 2 1 21033.7
1 8 3 1 874.809
1 8 4 1 90547.8
1 9 1 1 24389
1 9 2 1 16942.6
1 9 3 1 660.881
1 9 4 1 86161.5
1 10 1 1 20700.4
1 10 2 1 14830.5
1 10 3 1 559.131
1 10 4 1 83061.3
1 11 1 1 18612.8
1 11 2 1 13742.7
1 11 3 1 509.872
1 11 4 1 80950.6
1 12 1 1 17452.2
1 12 2 1 13191.2
1 12 3 1 486.002
1 12 4 1 79590.2
1 13 1 1 16817.3
1 13 2 1 12903.4
1 13 3 1 474.086
1 13 4 1 78789.3
1 14 1 1 16474.8
1 14 2 1 12758.6
1 14 3 1 468.278
1 14 4 1 78397.3
1 15 1 1 16292.3
1 15 2 1 12692.3
1 15 3 1 465.662
1 15 4 1 78297.1
1 16 1 1 16196.2
1 16 2 1 12658.1
1 16 3 1 464.366
1 16 4 1 78398.5
1 17 1 1 16146.1
1 17 2 1 12626.6
1 17 3 1 463.276
1 17 4 1 78632.8
1 18 1 1 16120.1
1 18 2 1 12600.7
1 18 3 1 462.411
1 18 4 1 78949
1 19 1 1 16106.8
1 19 2 1 12601
1 19 3 1 462.408
1 19 4 1 79309.3
1 20 1 1 16100
1 20 2 1 12596.8
1 20 3 1 462.272
1 20 4 1 79686.9
1 21 1 1 19092.3
1 21 2 1 12590.7
1 21 3 1 462.074
1 21 4 1 84739.3
1 22 1 1 21432
1 22 2 1 12564.8
1 22 3 1 461.224
1 22 4 1 89490.8
1 23 1 1 23158.1
1 23 2 1 12547.2
1 23 3 1 460.633
1 23 4 1 93919.4
1 24 1 1 24381.9
1 24 2 1 12527.7
1 24 3 1 459.977
1 24 4 1 98015.6
1 25 1 1 25224.9
1 25 2 1 12494.8
1 25 3 1 458.884
1 25 4 1 101780
1 26 1 1 25793
1 26 2 1 12487.5
1 26 3 1 458.619
1 26 4 1 105219
1 27 1 1 26169.3
1 27 2 1 12493.6
1 27 3 1 458.806
