full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 565.072
1 1 2 1 2.61991e-22
1 1 3 1 0.000193337
1 1 4 1 3.83833e-24
1 2 1 1 10561.8
1 2 2 1 32.9827
1 2 3 1 5.14291e-06
1 2 4 1 1.0336e-23
1 3 1 1 20690.4
1 3 2 1 49.2334
1 3 3 1 6.64287e-06
1 3 4 1 1.0336e-23
1 4 1 1 8254.77
1 4 2 1 37.8111
1 4 3 1 4.72276e-06
1 4 4 1 1.0336e-23
1 5 1 1 5641.2
1 5 2 1 60.5871
1 5 3 1 7.67378e-06
1 5 4 1 1.0336e-23
1 6 1 1 12793.9
1 6 2 1 22.8045
1 6 3 1 3.28991e-06
1 6 4 1 1.0336e-23
1 7 1 1 14784.1
1 7 2 1 24.7788
1 7 3 1 3.58927e-06
1 7 4 1 1.0336e-23
1 8 1 1 6692.45
1 8 2 1 13.3907
1 8 3 1 2.01493e-06
1 8 4 1 1.0336e-23
1 9 1 1 8465.36
1 9 2 1 28.7139
1 9 3 1 4.23534e-06
1 9 4 1 1.0336e-23
1 10 1 1 15654.8
1 10 2 1 85.8814
1 10 3 1 1.08364e-05
1 10 4 1 1.0336e-23
1 11 1 1 11887.2
1 11 2 1 62.0429
1 11 3 1 7.48698e-06
1 11 4 1 1.0336e-23
1 12 1 1 7521.48
1 12 2 1 78.3965
1 12 3 1 9.35973e-06
1 12 4 1 1.0336e-23
1 13 1 1 10006.6
1 13 2 1 37.8785
1 13 3 1 5.07951e-06
1 13 4 1 1.0336e-23
1 14 1 1 14186.9
1 14 2 1 46.0839
1 14 3 1 6.18688e-06
1 14 4 1 1.0336e-23
1 15 1 1 11208.4
1 15 2 1 83.001
1 15 3 1 9.90024e-06
1 15 4 1 1.0336e-23
1 16 1 1 8212.21
1 16 2 1 66.1711
1 16 3 1 8.08331e-06
1 16 4 1 1.0336e-23
1 17 1 1 9971.06
1 17 2 1 21.1477
1 17 3 1 3.01107e-06
1 17 4 1 1.0336e-23
1 18 1 1 12177.1
1 18 2 1 13.8511
1 18 3 1 2.19148e-06
1 18 4 1 1.0336e-23
1 19 1 1 11590.9
1 19 2 1 68.7213
1 19 3 1 8.67203e-06
1 19 4 1 1.0336e-23
1 20 1 1 8624.63
1 20 2 1 35.8133
1 20 3 1 4.74084e-06
1 20 4 1 1.0336e-23
1 21 1 1 13565.1
1 21 2 1 28.4923
1 21 3 1 4.0779e-06
1 21 4 1 8.37059e-23
1 22 1 1 11292.1
1 22 2 1 9.61932
1 22 3 1 1.5234e-06
1 22 4 1 8.37059e-23
1 23 1 1 9831.7
1 23 2 1 24.4583
1 23 3 1 3.55959e-06
1 23 4 1 8.37059e-23
1 24 1 1 11100.3
1 24 2 1 23.7709
1 24 3 1 3.48891e-06
1 24 4 1 8.37059e-23
1 25 1 1 11871
1 25 2 1 9.47166
1 25 3 1 1.54479e-06
1 25 4 1 8.37059e-23
1 26 1 1 12842.8
1 26 2 1 48.0636
1 26 3 1 6.38621e-06
1 26 4 1 8.37059e-23
1 27 1 1 12039.9
1 27 2 1 113.054
1 27 3 1 1.29542e-05
1 27 4 1 8.37059e-23
1 28 1 1 10863.3
1 28 2 1 71.9837
1 28 3 1 8.58145e-06
1 28 4 1 8.37059e-23
1 29 1 1 10674.7
1 29 2 1 22.5807
1 29 3 1 3.14076e-06
1 29 4 1 8.37059e-23
1 30 1 1 14186.6
1 30 2 1 70.3851
1 30 3 1 8.90101e-06
1 30 4 1 8.37059e-23
1 31 1 1 11311
1 31 2 1 36.739
1 31 3 1 4.77633e-06
1 31 4 1 8.37059e-23
1 32 1 1 9295.51
1 32 2 1 32.2366
1 32 3 1 4.41522e-06
1 32 4 1 8.37059e-23
1 33 1 1 11783.7
1 33 2 1 24.7633
1 33 3 1 3.60446e-06
1 33 4 1 8.37059e-23
1 34 1 1 12549
1 34 2 1 11.4791
1 34 3 1 1.82088e-06
1 34 4 1 8.37059e-23
1 35 1 1 8584.23
1 35 2 1 4.42451
1 35 3 1 8.00272e-07
1 35 4 1 8.37059e-23
1 36 1 1 10070.7
1 36 2 1 9.70219
1 36 3 1 1.66939e-06
1 36 4 1 8.37059e-23
1 37 1 1 13843.7
1 37 2 1 14.3665
1 37 3 1 2.31815e-06
1 37 4 1 8.37059e-23
1 38 1 1 11321.4
1 38 2 1 14.5402
1 38 3 1 2.23893e-06
1 38 4 1 8.37059e-23
1 39 1 1 7179.72
1 39 2 1 5.77175
1 39 3 1 1.0075e-06
1 39 4 1 8.37059e-23
1 40 1 1 12713.2
1 40 2 1 17.9545
1 40 3 1 2.87658e-06
1 40 4 1 8.37059e-23
1 41 1 1 14107.2
1 41 2 1 9.20504
1 41 3 1 1.51618e-06
1 41 4 1 8.37059e-23
1 42 1 1 8531.28
1 42 2 1 11.8328
1 42 3 1 1.85876e-06
1 42 4 1 8.37059e-23
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 17830.9
1 1 4 1 4746.09
1 2 1 1 4941.04
1 2 4 1 3739.03
1 3 1 1 8010.29
