full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 282791
1 1 2 1 2.02146e-261
1 1 3 1 2.48656e+06
1 1 4 1 8984.26
1 2 1 1 8875.38
1 2 2 1 7.60441e-229
1 2 3 1 34690.4
1 2 4 1 778.078
1 3 1 1 7403.47
1 3 2 1 5.44038e-190
1 3 3 1 19183.4
1 3 4 1 1958.31
1 4 1 1 12364.5
1 4 2 1 2.86383e-192
1 4 3 1 18018.2
1 4 4 1 2427.71
1 5 1 1 10933.7
1 5 2 1 1.26993e-185
1 5 3 1 18058.5
1 5 4 1 1941.27
1 6 1 1 10806.8
1 6 2 1 1.02018e-189
1 6 3 1 15236.5
1 6 4 1 1935.21
1 7 1 1 11893.4
1 7 2 1 3.0524e-191
1 7 3 1 15772.7
1 7 4 1 2315.52
1 8 1 1 10304.9
1 8 2 1 9.69236e-193
1 8 3 1 13618
1 8 4 1 1836.37
1 9 1 1 11875.4
1 9 2 1 3.33201e-194
1 9 3 1 16154.2
1 9 4 1 2312.9
1 10 1 1 11656.1
1 10 2 1 8.50805e-180
1 10 3 1 19317.7
1 10 4 1 2229.53
1 11 1 1 10302.1
1 11 2 1 1.45265e-183
1 11 3 1 18551.4
1 11 4 1 1745.05
1 12 1 1 11288.8
1 12 2 1 9.10064e-181
1 12 3 1 20361.3
1 12 4 1 1970.87
1 13 1 1 9284.47
1 13 2 1 8.93961e-185
1 13 3 1 17041
1 13 4 1 1349.55
1 14 1 1 10447.7
1 14 2 1 2.91836e-186
1 14 3 1 18807.2
1 14 4 1 1607.92
1 15 1 1 11591.9
1 15 2 1 1.46132e-179
1 15 3 1 20898.8
1 15 4 1 1988.79
1 16 1 1 12005.3
1 16 2 1 2.90938e-183
1 16 3 1 19307.2
1 16 4 1 2268.99
1 17 1 1 9941.75
1 17 2 1 3.10462e-185
1 17 3 1 14400.2
1 17 4 1 1675.48
1 18 1 1 12652.7
1 18 2 1 1.34347e-186
1 18 3 1 14463.6
1 18 4 1 2617.17
1 19 1 1 12201.4
1 19 2 1 6.57842e-183
1 19 3 1 17995.1
1 19 4 1 2554.25
1 20 1 1 10818.2
1 20 2 1 6.98793e-187
1 20 3 1 15962.9
1 20 4 1 2089.51
1 21 1 1 12702.7
1 21 2 1 1.62733e-188
1 21 3 1 15765.4
1 21 4 1 2761.33
1 22 1 1 10931.7
1 22 2 1 2.04889e-190
1 22 3 1 11743.3
1 22 4 1 2252.86
1 23 1 1 11522
1 23 2 1 5.1309e-192
1 23 3 1 14885.4
1 23 4 1 2378.2
1 24 1 1 11145.2
1 24 2 1 1.55522e-193
1 24 3 1 14862.8
1 24 4 1 2170.72
1 25 1 1 11282.2
1 25 2 1 3.86282e-195
1 25 3 1 12597.8
1 25 4 1 2240.36
1 26 1 1 12546.1
1 26 2 1 2.42563e-189
1 26 3 1 16883
1 26 4 1 2684.52
1 27 1 1 13889.8
1 27 2 1 1.47015e-174
1 27 3 1 19491.6
1 27 4 1 3363.54
1 28 1 1 12743.1
1 28 2 1 1.95751e-178
1 28 3 1 17079.5
