full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 90193.9
1 1 2 1 1863.24
1 1 3 1 421.675
1 1 4 1 78268.4
1 2 1 1 129285
1 2 2 1 1002.45
1 2 3 1 325.842
1 2 4 1 75426.3
1 3 1 1 140971
1 3 2 1 1796.26
1 3 3 1 580.474
1 3 4 1 74279
1 4 1 1 129625
1 4 2 1 3740.07
1 4 3 1 887.422
1 4 4 1 74368.5
1 5 1 1 107531
1 5 2 1 5349.34
1 5 3 1 1127.11
1 5 4 1 75766
1 6 1 1 83498.2
1 6 2 1 6256.89
1 6 3 1 1267.85
1 6 4 1 77634.1
1 7 1 1 62742.6
1 7 2 1 6726.37
1 7 3 1 1350.55
1 7 4 1 80303.3
1 8 1 1 46626.1
1 8 2 1 6902.58
1 8 3 1 1387.75
1 8 4 1 83140.9
1 9 1 1 35094.9
1 9 2 1 7012.14
1 9 3 1 1413.33
1 9 4 1 86458.6
1 10 1 1 27288.8
1 10 2 1 7146.8
1 10 3 1 1439.12
1 10 4 1 90254.8
1 11 1 1 22137.2
1 11 2 1 7202.57
1 11 3 1 1447.1
1 11 4 1 93688.6
1 12 1 1 18841.2
1 12 2 1 7224.57
1 12 3 1 1449.18
1 12 4 1 96848.3
1 13 1 1 16709
1 13 2 1 7135.17
1 13 3 1 1433.37
1 13 4 1 99075.1
1 14 1 1 15357.9
1 14 2 1 7054.86
1 14 3 1 1421.43
1 14 4 1 100898
1 15 1 1 14535.6
1 15 2 1 7041.45
1 15 3 1 1420.55
1 15 4 1 102618
1 16 1 1 14013
1 16 2 1 7011.54
1 16 3 1 1414.93
1 16 4 1 103796
1 17 1 1 13601.7
1 17 2 1 6869.01
1 17 3 1 1390.89
1 17 4 1 103879
1 18 1 1 13268
1 18 2 1 6715.4
1 18 3 1 1368.3
1 18 4 1 103440
1 19 1 1 13109
1 19 2 1 6754.01
1 19 3 1 1378.91
1 19 4 1 103812
1 20 1 1 12995.8
1 20 2 1 6758
1 20 3 1 1378.58
1 20 4 1 103727
1 21 1 1 15478.8
1 21 2 1 6738.95
1 21 3 1 1374.48
1 21 4 1 108850
1 22 1 1 17528.3
1 22 2 1 6565.42
1 22 3 1 1344.96
1 22 4 1 112185
1 23 1 1 19207.9
1 23 2 1 6470.39
1 23 3 1 1332.08
1 23 4 1 115116
1 24 1 1 20489
1 24 2 1 6384.69
1 24 3 1 1318.86
1 24 4 1 117147
1 25 1 1 21342.1
1 25 2 1 6224.73
1 25 3 1 1291.85
