full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 115141
1 1 2 1 1866.15
1 1 3 1 419.31
1 1 4 1 67709.3
1 2 1 1 146787
1 2 2 1 1003.26
1 2 3 1 323.78
1 2 4 1 71455.6
1 3 1 1 138530
1 3 2 1 1812.02
1 3 3 1 581.901
1 3 4 1 76552.4
1 4 1 1 110887
1 4 2 1 3780.2
1 4 3 1 889.516
1 4 4 1 81564.3
1 5 1 1 81903.3
1 5 2 1 5389.76
1 5 3 1 1125.18
1 5 4 1 86349.4
1 6 1 1 58814
1 6 2 1 6272.99
1 6 3 1 1258.91
1 6 4 1 90063.2
1 7 1 1 43089.6
1 7 2 1 6700.27
1 7 3 1 1332.51
1 7 4 1 93311.3
1 8 1 1 33192.3
1 8 2 1 6829.67
1 8 3 1 1360.85
1 8 4 1 95678
1 9 1 1 27420.8
1 9 2 1 6901.43
1 9 3 1 1379.66
1 9 4 1 97845.6
1 10 1 1 24301.8
1 10 2 1 7016.88
1 10 3 1 1402.29
1 10 4 1 100119
1 11 1 1 22624.9
1 11 2 1 7071.1
1 11 3 1 1410.36
1 11 4 1 101811
1 12 1 1 21758.5
1 12 2 1 7107.06
1 12 3 1 1415.15
1 12 4 1 103225
1 13 1 1 21207.8
1 13 2 1 7042.75
1 13 3 1 1403.82
1 13 4 1 103801
1 14 1 1 20881.2
1 14 2 1 6994.64
1 14 3 1 1397.38
1 14 4 1 104200
1 15 1 1 20754
1 15 2 1 7015.58
1 15 3 1 1402.2
1 15 4 1 104765
1 16 1 1 20681
1 16 2 1 7019.4
1 16 3 1 1402.11
1 16 4 1 105042
1 17 1 1 20494.2
1 17 2 1 6909.2
1 17 3 1 1383.43
1 17 4 1 104463
1 18 1 1 20269.3
1 18 2 1 6782.78
1 18 3 1 1365.27
1 18 4 1 103579
1 19 1 1 20271.6
1 19 2 1 6838.78
1 19 3 1 1378.38
1 19 4 1 103662
1 20 1 1 20273.4
1 20 2 1 6857.14
1 20 3 1 1380.36
1 20 4 1 103427
1 21 1 1 23474.4
1 21 2 1 6848.8
1 21 3 1 1377.95
1 21 4 1 108329
1 22 1 1 25650.3
1 22 2 1 6686.39
1 22 3 1 1350.52
1 22 4 1 111483
1 23 1 1 27138.6
1 23 2 1 6597.83
1 23 3 1 1338.67
1 23 4 1 114247
1 24 1 1 28040.9
1 24 2 1 6518.03
1 24 3 1 1326.57
1 24 4 1 116160
1 25 1 1 28395.8
1 25 2 1 6365.86
1 25 3 1 1301.21
1 25 4 1 116719
1 26 1 1 28721.6
1 26 2 1 6397.47
1 26 3 1 1309.44
1 26 4 1 118006
1 27 1 1 29074.2
1 27 2 1 6524.14
1 27 3 1 1329.82
1 27 4 1 119640
1 28 1 1 29290.1
1 28 2 1 6576.36
1 28 3 1 1334.19
1 28 4 1 120661
1 29 1 1 29226
1 29 2 1 6471.47
1 29 3 1 1314.1
1 29 4 1 120484
1 30 1 1 29262.3
1 30 2 1 6485.3
1 30 3 1 1319.08
1 30 4 1 121039
1 31 1 1 29192.7
1 31 2 1 6445.97
1 31 3 1 1312.53
1 31 4 1 120968
1 32 1 1 29086
1 32 2 1 6402.85
1 32 3 1 1305.78
1 32 4 1 120702
1 33 1 1 28933.9
1 33 2 1 6344.65
1 33 3 1 1297.02
1 33 4 1 120157
1 34 1 1 28674.9
1 34 2 1 6235.59
1 34 3 1 1279.94
1 34 4 1 119015
1 35 1 1 28294
1 35 2 1 6079.39
1 35 3 1 1256.04
1 35 4 1 117229
1 36 1 1 28073
1 36 2 1 6051.27
1 36 3 1 1255.75
1 36 4 1 116158
1 37 1 1 28006.8
1 37 2 1 6100.26
1 37 3 1 1265.62
1 37 4 1 115570
1 38 1 1 28030.7
1 38 2 1 6161.46
1 38 3 1 1274.92
1 38 4 1 115205
1 39 1 1 27956.9
1 39 2 1 6124.22
1 39 3 1 1266.86
1 39 4 1 114306
1 40 1 1 28048.4
1 40 2 1 6185.66
1 40 3 1 1278.76
1 40 4 1 114322
1 41 1 1 28075
1 41 2 1 6185
1 41 3 1 1277.66
1 41 4 1 113992
1 42 1 1 28138.4
1 42 2 1 6206.41
1 42 3 1 1281.29
1 42 4 1 113954
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 18286.3
1 1 4 1 7259.05
1 2 1 1 20939.3
1 2 4 1 6435.7
1 3 1 1 35828.1
1 3 4 1 6241.06
1 4 1 1 38398.4
1 4 4 1 6386.49
1 5 1 1 32544.6
1 5 4 1 6690.12
1 6 1 1 24548.4
1 6 4 1 7048.22
1 7 1 1 17634.1
1 7 4 1 7394.08
1 8 1 1 12699.9
1 8 4 1 7709.15
1 9 1 1 9529.17
1 9 4 1 7977.42
1 10 1 1 7642.69
1 10 4 1 8224.36
1 11 1 1 6591.09
1 11 4 1 8446.34
1 12 1 1 6028.6
1 12 4 1 8626.4
1 13 1 1 5731.05
1 13 4 1 8761.3
1 14 1 1 5560.38
1 14 4 1 8844.98
1 15 1 1 5459.17
1 15 4 1 8910.9
1 16 1 1 5407.91
1 16 4 1 8965.31
1 17 1 1 5377.19
1 17 4 1 8979.62
1 18 1 1 5333.45
1 18 4 1 8943.69
1 19 1 1 5283.81
1 19 4 1 8909.23
1 20 1 1 5263.59
1 20 4 1 8898.13
1 21 1 1 2407.91
1 21 4 1 3725.55
1 22 1 1 2885.61
1 22 4 1 3922.71
1 23 1 1 3235.82
1 23 4 1 4077.49
1 24 1 1 3471.52
1 24 4 1 4203.78
1 25 1 1 3614.75
1 25 4 1 4288.62
1 26 1 1 3689.89
1 26 4 1 4347.45
1 27 1 1 3738.44
1 27 4 1 4412.68
1 28 1 1 3780.23
1 28 4 1 4472.05
1 29 1 1 3807.82
1 29 4 1 4504.13
1 30 1 1 3814.54
1 30 4 1 4520.52
1 31 1 1 3814.53
1 31 4 1 4537.23
1 32 1 1 3806.69
1 32 4 1 4538.38
1 33 1 1 3792.49
1 33 4 1 4529.72
1 34 1 1 3770.43
1 34 4 1 4505.99
1 35 1 1 3735.8
1 35 4 1 4460.61
1 36 1 1 3692.21
1 36 4 1 4408.47
1 37 1 1 3658.25
1 37 4 1 4370.89
1 38 1 1 3641.92
1 38 4 1 4344.12
1 39 1 1 3637.18
1 39 4 1 4316.34
1 40 1 1 3634.87
1 40 4 1 4292.03
1 41 1 1 3640.16
1 41 4 1 4280.24
1 42 1 1 3646.46
1 42 4 1 4268.41
2 1 2 1 1361.73
2 1 3 1 472.797
2 2 2 1 721.539
2 2 3 1 276.222
2 3 2 1 1388.57
2 3 3 1 460.501
2 4 2 1 2729.71
2 4 3 1 732.244
2 5 2 1 3875.58
2 5 3 1 954.148
2 6 2 1 4563.53
2 6 3 1 1095.37
2 7 2 1 4883.98
2 7 3 1 1170.5
2 8 2 1 5008.94
2 8 3 1 1206.64
2 9 2 1 5045.85
2 9 3 1 1222.51
2 10 2 1 5099.46
2 10 3 1 1237.9
2 11 2 1 5155.39
2 11 3 1 1250.04
2 12 2 1 5178.79
2 12 3 1 1254.51
2 13 2 1 5166.86
2 13 3 1 1251.88
2 14 2 1 5125.75
2 14 3 1 1244.38
2 15 2 1 5119.9
2 15 3 1 1243.94
2 16 2 1 5133.78
2 16 3 1 1246.37
2 17 2 1 5098.93
2 17 3 1 1239.04
2 18 2 1 5017.34
2 18 3 1 1224.01
2 19 2 1 4997.12
2 19 3 1 1221.99
2 20 2 1 5034.18
2 20 3 1 1229.21
2 21 2 1 5035.31
2 21 3 1 1228.77
2 22 2 1 4977.03
2 22 3 1 1216.87
2 23 2 1 4892.18
2 23 3 1 1200.83
2 24 2 1 4848.37
2 24 3 1 1192.34
2 25 2 1 4780.21
2 25 3 1 1178.13
2 26 2 1 4743.02
2 26 3 1 1171.37
2 27 2 1 4807.51
2 27 3 1 1183.94
2 28 2 1 4870.53
2 28 3 1 1194.28
2 29 2 1 4846.36
2 29 3 1 1187.65
2 30 2 1 4808.79
2 30 3 1 1181.01
2 31 2 1 4808.34
2 31 3 1 1181.24
2 32 2 1 4781.2
2 32 3 1 1175.85
2 33 2 1 4749.14
2 33 3 1 1169.83
2 34 2 1 4696.14
2 34 3 1 1159.72
2 35 2 1 4610.31
2 35 3 1 1143.49
2 36 2 1 4552.84
2 36 3 1 1134.01
2 37 2 1 4569.98
2 37 3 1 1138.65
2 38 2 1 4610.62
