"","n_sim","fleet","area","year","species","obs_value","cv","pred_value","res","nll"
"1","1",1,1,1,"Atlantic_cod",17791.5,0.05,16221.4,0.092393,9.41698
"2","1",1,1,2,"Atlantic_cod",18836.4,0.05,17409,0.0788032,9.00874
"3","1",1,1,3,"Atlantic_cod",22062.1,0.05,20674.4,0.0649627,8.76885
"4","1",1,1,4,"Atlantic_cod",19562.9,0.05,18723.3,0.0438667,8.18945
"5","1",1,1,5,"Atlantic_cod",29134.2,0.05,27623.5,0.0532431,8.76984
"6","1",1,1,6,"Atlantic_cod",21516,0.05,20266,0.059849,8.61614
"7","1",1,1,7,"Atlantic_cod",15012.9,0.05,14530.6,0.0326553,7.75315
"8","1",1,1,8,"Atlantic_cod",16960.1,0.05,13766.3,0.208643,16.3682
"9","1",1,1,9,"Atlantic_cod",15004.9,0.05,13500.4,0.10566,9.77216
"10","1",1,1,10,"Atlantic_cod",18171.5,0.05,16997.3,0.0668022,8.62332
"11","1",1,1,11,"Atlantic_cod",19922.4,0.05,16139.5,0.210575,16.6912
"12","1",1,1,12,"Atlantic_cod",16950,0.05,15219.4,0.107701,9.98112
"13","1",1,1,13,"Atlantic_cod",19148,0.05,14464.2,0.280523,23.5218
"14","1",1,1,14,"Atlantic_cod",16184.9,0.05,11602.4,0.332865,29.7749
"15","1",1,1,15,"Atlantic_cod",12772.7,0.05,8503.44,0.406836,40.4813
"16","1",1,1,16,"Atlantic_cod",7632.19,0.05,3852,0.683782,100.375
"17","1",1,1,17,"Atlantic_cod",6914.25,0.05,6081.79,0.128286,10.056
"18","1",1,1,18,"Atlantic_cod",5138.89,0.05,4665.92,0.0965514,8.33223
"19","1",1,1,19,"Atlantic_cod",4214.61,0.05,2590.46,0.48672,53.6489
"20","1",1,1,20,"Atlantic_cod",5046.52,0.05,4090.37,0.210064,15.275
"21","1",1,1,21,"Atlantic_cod",4646.51,0.05,3928.91,0.167754,11.9953
"22","1",1,1,22,"Atlantic_cod",4982.25,0.05,4055.29,0.205859,14.9125
"23","1",1,1,23,"Atlantic_cod",4803,0.05,3705.73,0.25936,19.8537
"24","1",1,1,24,"Atlantic_cod",6150.21,0.05,5012.12,0.204627,15.0219
"25","1",1,1,25,"Atlantic_cod",5183.66,0.05,3424,0.414702,40.8721
"26","1",1,1,26,"Atlantic_cod",5392.29,0.05,4219.87,0.245165,18.5371
"27","1",1,1,27,"Atlantic_cod",2445.86,0.05,1917.79,0.243226,17.5571
