"","n_sim","survey","year","species","obs_value","cv","pred_value","res","nll"
"1","1",1,1,"Spiny_dogfish",237835,0.212721,140876,0.523696,14.781
"2","1",2,1,"Spiny_dogfish",217382,0.253632,129124,0.52088,13.9453
"3","1",1,2,"Spiny_dogfish",88890.9,0.222169,40678.1,0.78172,17
"4","1",2,2,"Spiny_dogfish",80120.1,0.187773,36928.8,0.774534,19.0448
"5","1",1,3,"Spiny_dogfish",47663.3,0.394113,22238.7,0.76233,12.6305
"6","1",2,3,"Spiny_dogfish",34283.4,0.423618,12542.9,1.0055,13.3194
"7","1",1,4,"Spiny_dogfish",72934.2,0.310035,54477.1,0.291776,11.388
"8","1",2,4,"Spiny_dogfish",42131.1,0.32707,21534.2,0.671143,12.5552
"9","1",1,5,"Spiny_dogfish",86003.6,0.378629,65210.7,0.276767,11.577
"10","1",2,5,"Spiny_dogfish",61360.9,0.391317,40220.2,0.422404,11.5878
"11","1",1,6,"Spiny_dogfish",75309.7,0.494428,53039.6,0.35057,11.6953
"12","1",2,6,"Spiny_dogfish",53569.9,0.376281,34243.8,0.44748,11.5374
"13","1",1,7,"Spiny_dogfish",47551.4,0.759062,25310.3,0.630598,11.7579
"14","1",2,7,"Spiny_dogfish",37810.7,0.665353,19598.3,0.657149,11.5396
"15","1",1,8,"Spiny_dogfish",13120,0.383151,2495.01,1.65985,18.8251
"16","1",2,8,"Spiny_dogfish",11094.5,0.433685,2094.49,1.66714,16.7864
"17","1",1,9,"Spiny_dogfish",17731.9,0.48935,11650.4,0.420022,10.3557
"18","1",2,9,"Spiny_dogfish",8612.68,0.392371,3050.7,1.03787,12.5427
"19","1",1,10,"Spiny_dogfish",24698,0.382452,14297.6,0.546626,11.0937
"20","1",2,10,"Spiny_dogfish",15703.1,0.333799,7448.9,0.745793,11.9793
"21","1",1,11,"Spiny_dogfish",15554.8,0.566793,5009.23,1.13309,12.0016
"22","1",2,11,"Spiny_dogfish",11063.4,0.868042,3076.19,1.27995,11.1759
"23","1",1,12,"Spiny_dogfish",15067.5,0.381519,6418.11,0.853417,12.0775
"24","1",2,12,"Spiny_dogfish",8292.92,0.445145,2198.5,1.32763,13.5803
"25","1",1,13,"Spiny_dogfish",10201.4,0.438381,2008.7,1.62503,16.1951
"26","1",2,13,"Spiny_dogfish",6324.31,0.947226,962.181,1.88295,11.5927
"27","1",1,14,"Spiny_dogfish",11258.9,0.482346,6423.78,0.561151,10.1955
"28","1",2,14,"Spiny_dogfish",5711.55,0.377076,1758.49,1.17804,13.474
"29","1",1,15,"Spiny_dogfish",7102.43,0.420835,3144.79,0.814691,10.7955
"30","1",2,15,"Spiny_dogfish",4709.1,0.614716,1801.73,0.960751,10.111
