full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 100732
1 1 2 1 1876.37
1 1 3 1 420.665
1 1 4 1 88742
1 2 1 1 143702
1 2 2 1 1005.98
1 2 3 1 338.269
1 2 4 1 91233
1 3 1 1 152352
1 3 2 1 1715.86
1 3 3 1 589.779
1 3 4 1 91680.5
1 4 1 1 135635
1 4 2 1 3471.04
1 4 3 1 883.579
1 4 4 1 91057.3
1 5 1 1 108730
1 5 2 1 4966.52
1 5 3 1 1104.35
1 5 4 1 89996.5
1 6 1 1 81952.5
1 6 2 1 5936.84
1 6 3 1 1241.66
1 6 4 1 88856.5
1 7 1 1 59981.5
1 7 2 1 6497.24
1 7 3 1 1318.69
1 7 4 1 87859.8
1 8 1 1 43823.7
1 8 2 1 6800.92
1 8 3 1 1358.89
1 8 4 1 87092.3
1 9 1 1 32773.7
1 9 2 1 6961.83
1 9 3 1 1379.2
1 9 4 1 86593.5
1 10 1 1 25599.9
1 10 2 1 7047.51
1 10 3 1 1389.42
1 10 4 1 86353.8
1 11 1 1 21120.3
1 11 2 1 7091.89
1 11 3 1 1394.28
1 11 4 1 86326.2
1 12 1 1 18408
1 12 2 1 7115.25
1 12 3 1 1396.63
1 12 4 1 86473.4
1 13 1 1 16804.6
1 13 2 1 7125.86
1 13 3 1 1397.5
1 13 4 1 86742.8
1 14 1 1 15876
1 14 2 1 7131.18
1 14 3 1 1397.91
1 14 4 1 87104.4
1 15 1 1 15348.2
1 15 2 1 7134.91
1 15 3 1 1398.26
1 15 4 1 87528.5
1 16 1 1 15052
1 16 2 1 7136.67
1 16 3 1 1398.38
1 16 4 1 87979.6
1 17 1 1 14886
1 17 2 1 7135.2
1 17 3 1 1398.05
1 17 4 1 88426.3
1 18 1 1 14793
1 18 2 1 7132.74
1 18 3 1 1397.67
1 18 4 1 88859.4
1 19 1 1 14743.6
1 19 2 1 7133.71
1 19 3 1 1397.9
1 19 4 1 89287.1
1 20 1 1 14716.5
1 20 2 1 7133.69
1 20 3 1 1397.88
1 20 4 1 89681.3
1 21 1 1 17385.8
1 21 2 1 7133.07
1 21 3 1 1397.76
1 21 4 1 95045.9
1 22 1 1 19598
1 22 2 1 7128.96
1 22 3 1 1397.1
1 22 4 1 100048
1 23 1 1 21342.2
1 23 2 1 7126.11
1 23 3 1 1396.72
1 23 4 1 104689
1 24 1 1 22666.8
1 24 2 1 7123.03
1 24 3 1 1396.28
1 24 4 1 108951
1 25 1 1 23643
1 25 2 1 7117.75
1 25 3 1 1395.47
1 25 4 1 112824
1 26 1 1 24351.2
1 26 2 1 7116.66
1 26 3 1 1395.41
1 26 4 1 116357
1 27 1 1 24857.6
1 27 2 1 7117.93
1 27 3 1 1395.64
1 27 4 1 119561
1 28 1 1 25212.9
1 28 2 1 7117.53
1 28 3 1 1395.5
1 28 4 1 122433
1 29 1 1 25455.9
1 29 2 1 7113.29
1 29 3 1 1394.77
1 29 4 1 124980
1 30 1 1 25623.9
1 30 2 1 7112.18
1 30 3 1 1394.68
1 30 4 1 127267
1 31 1 1 25735.9
1 31 2 1 7109.59
1 31 3 1 1394.29
1 31 4 1 129285
1 32 1 1 25809.4
1 32 2 1 7106.88
1 32 3 1 1393.9
1 32 4 1 131066
1 33 1 1 25855.9
1 33 2 1 7103.7
1 33 3 1 1393.46
1 33 4 1 132627
1 34 1 1 25882.1
1 34 2 1 7098.9
1 34 3 1 1392.76
1 34 4 1 133981
1 35 1 1 25892.8
1 35 2 1 7092.35
1 35 3 1 1391.82
1 35 4 1 135140
1 36 1 1 25897.5
1 36 2 1 7089.38
1 36 3 1 1391.53
1 36 4 1 136161
1 37 1 1 25899.2
1 37 2 1 7088.76
1 37 3 1 1391.55
1 37 4 1 137055
1 38 1 1 25899.2
1 38 2 1 7088.77
1 38 3 1 1391.58
1 38 4 1 137832
1 39 1 1 25895.2
1 39 2 1 7085.99
1 39 3 1 1391.12
1 39 4 1 138482
1 40 1 1 25893.6
1 40 2 1 7086.69
1 40 3 1 1391.31
1 40 4 1 139065
1 41 1 1 25890.4
1 41 2 1 7085.59
1 41 3 1 1391.12
1 41 4 1 139554
1 42 1 1 25888
1 42 2 1 7085.44
1 42 3 1 1391.12
1 42 4 1 139980
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 17618
1 1 4 1 5451.2
1 2 1 1 19995.4
1 2 4 1 7050.94
1 3 1 1 37003.8
1 3 4 1 7910.37
1 4 1 1 44507.1
1 4 4 1 8313.88
1 5 1 1 42155.7
1 5 4 1 8450.53
1 6 1 1 34893.9
1 6 4 1 8443.15
1 7 1 1 26702.7
1 7 4 1 8368.77
1 8 1 1 19608.7
1 8 4 1 8274.05
1 9 1 1 14235.2
1 9 4 1 8184.76
1 10 1 1 10491.6
1 10 4 1 8114.21
1 11 1 1 8030.38
1 11 4 1 8066.76
1 12 1 1 6479.91
1 12 4 1 8041.91
1 13 1 1 5534.87
1 13 4 1 8036.97
1 14 1 1 4973.59
1 14 4 1 8048.11
1 15 1 1 4647.3
1 15 4 1 8071.91
1 16 1 1 4461.07
1 16 4 1 8104.66
1 17 1 1 4356.26
1 17 4 1 8142.55
1 18 1 1 4297.66
1 18 4 1 8182.7
1 19 1 1 4265.07
1 19 4 1 8223.86
1 20 1 1 4247.3
1 20 4 1 8264.73
1 21 1 1 1949.54
1 21 4 1 3489.92
1 22 1 1 2374.71
1 22 4 1 3726.11
1 23 1 1 2733.88
1 23 4 1 3949.4
1 24 1 1 3019.94
1 24 4 1 4158.26
1 25 1 1 3238.56
1 25 4 1 4351.36
1 26 1 1 3400.65
1 26 4 1 4528.64
1 27 1 1 3518.39
1 27 4 1 4690.82
1 28 1 1 3602.54
1 28 4 1 4838.04
1 29 1 1 3661.67
1 29 4 1 4970.38
1 30 1 1 3702.55
1 30 4 1 5088.96
1 31 1 1 3730.56
1 31 4 1 5195.03
1 32 1 1 3749.38
1 32 4 1 5289.09
1 33 1 1 3761.77
1 33 4 1 5372.24
1 34 1 1 3769.63
1 34 4 1 5445.21
1 35 1 1 3774.16
1 35 4 1 5508.64
1 36 1 1 3776.38
1 36 4 1 5563.82
1 37 1 1 3777.33
1 37 4 1 5612.19
1 38 1 1 3777.64
1 38 4 1 5654.39
1 39 1 1 3777.54
1 39 4 1 5690.72
1 40 1 1 3777.15
1 40 4 1 5722.08
1 41 1 1 3776.77
1 41 4 1 5749.35
1 42 1 1 3776.32
1 42 4 1 5772.69
2 1 2 1 1382.5
2 1 3 1 477.103
2 2 2 1 723.354
2 2 3 1 277.367
2 3 2 1 1250.81
2 3 3 1 449.14
2 4 2 1 2410.66
2 4 3 1 703.378
2 5 2 1 3463.41
2 5 3 1 910.607
2 6 2 1 4170.43
2 6 3 1 1046.24
2 7 2 1 4585.43
2 7 3 1 1124.87
2 8 2 1 4813.01
2 8 3 1 1167.12
2 9 2 1 4933.37
2 9 3 1 1188.7
2 10 2 1 4996.95
2 10 3 1 1199.54
2 11 2 1 5030.54
2 11 3 1 1204.89
2 12 2 1 5047.92
2 12 3 1 1207.43
2 13 2 1 5056.56
2 13 3 1 1208.56
2 14 2 1 5060.43
2 14 3 1 1208.99
2 15 2 1 5062.76
2 15 3 1 1209.26
2 16 2 1 5064.28
2 16 3 1 1209.44
2 17 2 1 5064.22
2 17 3 1 1209.35
2 18 2 1 5062.8
2 18 3 1 1209.06
2 19 2 1 5062.3
2 19 3 1 1209
2 20 2 1 5062.8
2 20 3 1 1209.1
2 21 2 1 5062.57
2 21 3 1 1209.04
2 22 2 1 5061.05
2 22 3 1 1208.74
2 23 2 1 5058.78
2 23 3 1 1208.32
2 24 2 1 5057.1
2 24 3 1 1208.02
2 25 2 1 5054.62
2 25 3 1 1207.55
2 26 2 1 5052.67
2 26 3 1 1207.21
2 27 2 1 5053.03
2 27 3 1 1207.3
2 28 2 1 5053.49
2 28 3 1 1207.35
2 29 2 1 5051.99
2 29 3 1 1207.02
2 30 2 1 5050.21
2 30 3 1 1206.69
2 31 2 1 5049.26
2 31 3 1 1206.52
2 32 2 1 5047.64
2 32 3 1 1206.23
2 33 2 1 5045.87
2 33 3 1 1205.91
2 34 2 1 5043.45
2 34 3 1 1205.47
2 35 2 1 5039.95
2 35 3 1 1204.84
2 36 2 1 5037.05
2 36 3 1 1204.37
2 37 2 1 5036.22
2 37 3 1 1204.29
2 38 2 1 5036.23
2 38 3 1 1204.33
2 39 2 1 5035.42
2 39 3 1 1204.16
2 40 2 1 5034.7
2 40 3 1 1204.05
2 41 2 1 5034.73
2 41 3 1 1204.06
2 42 2 1 5034.31
2 42 3 1 1203.99
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  554.139 12057.9 847.346 190.35 32.6521
1 1 2 2  0 0.982132 72.7427 746.365 330.082
1 1 3 2  0.555476 83.355 59.6885 98.8673 0.104665
1 1 4 2  5.12282e-15 121167 26928 3311.67 9.22093
1 2 1 2  247.657 10888.2 3219.9 174.916 16.2134
1 2 2 2  0 303.222 31.7665 402.796 163.623
1 2 3 2  2.7585 436.345 72.2966 41.7172 0.0404459
1 2 4 2  1085.62 96272.3 33654 3739.52 7.34707
1 3 1 2  116.9 7600.29 3895.21 392.382 8.05078
1 3 2 2  0 352.471 2471.37 213.924 81.0929
1 3 3 2  3.59326 656.478 299.647 20.3869 0.0156284
1 3 4 2  1868.1 81111.8 35997.7 4355.3 5.85402
1 4 1 2  61.117 4876.2 3381.53 564.389 3.99756
1 4 2 2  0 360.43 3668.02 1227.83 40.1776
1 4 3 2  3.90963 763.076 513.259 25.5923 0.00603781
