"","number","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll","pearson"
"1",1,1,"Atlantic_cod",0,57,1,0.0126622481131997,"survey",0.0127099,0.00262304,-0.00319114444337498
"2",1,1,"Atlantic_cod",0,57,2,0.12763856535117,"survey",0.71478,-12.5353,-5.24317026923672
"3",1,1,"Atlantic_cod",0,57,3,0.675947937325155,"survey",0.236024,40.5118,6.83654911719612
"4",1,1,"Atlantic_cod",0,57,4,0.183751249210475,"survey",0.0319203,18.334,6.41599848593713
"5",1,1,"Atlantic_cod",0,57,5,0,"survey",0.00456588,-0.0217728,-0.510152094967765
"6",1,2,"Atlantic_cod",0,65,1,0.00462980513738121,"survey",0.00653524,-0.0995061,-0.190029057645606
"7",1,2,"Atlantic_cod",0,65,2,0.0828726159122756,"survey",0.628511,-10.9177,-5.54887767531682
"8",1,2,"Atlantic_cod",0,65,3,0.758539498778964,"survey",0.314763,43.3334,6.37718681913391
"9",1,2,"Atlantic_cod",0,65,4,0.153958080171379,"survey",0.0473362,11.8059,3.95099353754642
"10",1,2,"Atlantic_cod",0,65,5,0,"survey",0.00285396,-0.0217758,-0.430705699985501
"11",1,3,"Atlantic_cod",0,32,1,0.00725571073642569,"survey",0.00458428,0.111126,0.223194423602847
"12",1,3,"Atlantic_cod",0,32,2,0.158242677151426,"survey",0.551656,-6.32377,-2.99633163283
"13",1,3,"Atlantic_cod",0,32,3,0.834501612112148,"survey",0.368169,21.8333,4.3475758564475
"14",1,3,"Atlantic_cod",0,32,4,0,"survey",0.0736058,-0.0211152,-1.53472655544889
"15",1,3,"Atlantic_cod",0,32,5,0,"survey",0.00198517,-0.00955935,-0.252042536092621
"16",1,4,"Atlantic_cod",0,32,1,0.0278005746232336,"survey",0.0139252,0.619707,0.665149066607676
"17",1,4,"Atlantic_cod",0,32,2,0.155967532217295,"survey",0.703891,-7.52162,-3.6943852772626
"18",1,4,"Atlantic_cod",0,32,3,0.559890841567554,"survey",0.222588,16.5154,4.04430700268457
"19",1,4,"Atlantic_cod",0,32,4,0.256341051591918,"survey",0.0587727,12.0793,4.61003841385961
"20",1,4,"Atlantic_cod",0,32,5,0,"survey",0.000822296,-0.00674041,-0.162214278039882
