# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 76521.0641761414 0.2
  1 2 4 84624.0015244953 0.2
  1 3 4 97381.6137990452 0.2
  1 4 4 73047.5506526437 0.2
  1 5 4 101929.878755688 0.2
  1 6 4 103110.532228309 0.2
  1 7 4 106361.171892294 0.2
  1 8 4 127141.590577696 0.2
  1 9 4 107562.957967536 0.2
  1 10 4 94602.1237820126 0.2
  1 11 4 104759.189509007 0.2
  1 12 4 106967.161193542 0.2
  1 13 4 98369.6381110928 0.2
  1 14 4 127670.68084513 0.2
  1 15 4 130872.417561027 0.2
  1 16 4 132539.308140794 0.2
  1 17 4 114655.085270357 0.2
  1 18 4 144816.940561046 0.2
  1 19 4 132936.898480126 0.2
  1 20 4 174785.363577918 0.2
  1 21 4 160711.33134504 0.2
  1 22 4 175359.599199732 0.2
  1 23 4 120047.43331303 0.2
  1 24 4 157458.090632728 0.2
  1 25 4 219713.767229416 0.2
  1 26 4 156157.762438278 0.2
  1 27 4 141788.330286355 0.2
  1 28 4 206939.848879715 0.2
  1 29 4 205179.832656812 0.2
  1 30 4 235629.810099962 0.2
  1 31 4 211067.752354893 0.2
  1 32 4 150156.788201393 0.2
  1 33 4 226927.386027792 0.2
  1 34 4 132745.892893711 0.2
  1 35 4 221909.683763294 0.2
  1 36 4 236968.983254251 0.2
  1 37 4 170620.826003944 0.2
  1 38 4 218576.931715766 0.2
  1 39 4 184516.041592048 0.2
  1 40 4 208401.369101491 0.2
  1 41 4 231139.828665223 0.2
  1 42 4 224183.088118221 0.2
  1 1 2 126.37299687335 0.2
  1 4 2 173.310923949168 0.2
  1 5 2 134.560817371764 0.2
  1 6 2 144.359845408716 0.2
  1 7 2 149.946828006476 0.2
  1 8 2 290.824620116081 0.2
  1 9 2 173.918715869447 0.2
  1 10 2 174.881488028709 0.2
  1 11 2 316.084441252333 0.2
  1 12 2 433.270637061659 0.2
  1 13 2 389.251872631347 0.2
  1 14 2 328.377938974291 0.2
  1 15 2 270.546370840971 0.2
  1 16 2 508.412532099608 0.2
  1 17 2 331.514555043342 0.2
  1 18 2 727.835547921555 0.2
  1 19 2 1227.91440092515 0.2
  1 20 2 2863.42605627164 0.2
  1 21 2 3120.29292866777 0.2
  1 22 2 2468.33035167892 0.2
  1 23 2 2550.82370049462 0.2
  1 24 2 2204.14918016462 0.2
  1 25 2 1824.94388687768 0.2
  1 26 2 2083.4863201719 0.2
  1 27 2 2076.94724429245 0.2
  1 28 2 2810.33296055176 0.2
  1 29 2 2111.4673393648 0.2
  1 30 2 2482.34918576451 0.2
  1 31 2 1711.16956419435 0.2
  1 32 2 2171.32732283861 0.2
  1 33 2 3544.27676839558 0.2
  1 34 2 3863.29025420628 0.2
  1 35 2 2752.71819693737 0.2
  1 36 2 3088.33138710828 0.2
  1 37 2 2921.34030797344 0.2
  1 38 2 1403.1049706352 0.2
  1 39 2 1558.64608282616 0.2
  1 40 2 1282.69133767879 0.2
  1 41 2 899.005142989519 0.2
  1 42 2 737.725095264423 0.2
  1 1 1 23733.1635461641 0.2
  1 2 1 16228.2966752156 0.2
  1 3 1 17569.0729871315 0.2
  1 4 1 9832.48941544267 0.2
  1 5 1 12206.2784910724 0.2
  1 6 1 11280.6957901381 0.2
  1 7 1 13687.9140664024 0.2
  1 8 1 9456.21969926729 0.2
  1 9 1 7332.32207493872 0.2
  1 10 1 9603.03952570809 0.2
  1 11 1 14158.4718929973 0.2
  1 12 1 13444.1884380531 0.2
  1 13 1 8022.64041868307 0.2
  1 14 1 8989.99976775604 0.2
  1 15 1 7565.15485324601 0.2
  1 16 1 4918.73321811613 0.2
  1 17 1 5377.04997185665 0.2
  1 18 1 3244.26394898815 0.2
  1 19 1 5244.44908183432 0.2
  1 20 1 6321.90850469377 0.2
  1 21 1 4352.21313205759 0.2
  1 22 1 6395.42003819873 0.2
  1 23 1 5219.30637250383 0.2
  1 24 1 6159.17773053675 0.2
  1 25 1 4955.33027163033 0.2
  1 26 1 6435.03879971636 0.2
  1 27 1 4692.87274302132 0.2
  1 28 1 6959.33756163613 0.2
  1 29 1 3974.5147200439 0.2
  1 30 1 3993.95926640147 0.2
  1 31 1 4914.82596533522 0.2
  1 32 1 3198.09606240677 0.2
  1 33 1 3663.4599651159 0.2
  1 34 1 3339.19411539437 0.2
  1 35 1 2429.53890614617 0.2
  1 36 1 2303.31371693762 0.2
  1 37 1 2486.89521289957 0.2
  1 38 1 2276.11538505625 0.2
  1 39 1 2254.40753596188 0.2
  1 40 1 2192.82756780147 0.2
  1 41 1 2545.63823788803 0.2
  1 42 1 1782.22829810649 0.2
  1 1 3 161.513064586164 0.2
  1 2 3 114.161992921314 0.2
  1 3 3 134.177605730894 0.2
  1 4 3 242.633543314465 0.2
  1 5 3 501.161575231096 0.2
  1 6 3 462.676845331914 0.2
  1 7 3 619.575038008008 0.2
  1 8 3 851.905834537361 0.2
  1 9 3 416.953109482216 0.2
  1 10 3 533.077563046434 0.2
  1 11 3 351.761165689428 0.2
  1 12 3 242.18740087409 0.2
  1 13 3 261.05800352256 0.2
  1 14 3 371.102676202442 0.2
  1 15 3 482.107733002457 0.2
  1 16 3 382.496729784248 0.2
  1 17 3 472.989753908454 0.2
  1 18 3 488.863766408714 0.2
  1 19 3 307.459069852589 0.2
  1 20 3 339.625847657494 0.2
  1 21 3 357.458044005128 0.2
  1 22 3 154.768642207405 0.2
  1 23 3 318.274210852807 0.2
  1 24 3 295.656851133877 0.2
  1 25 3 373.384050330214 0.2
  1 26 3 333.808888983659 0.2
  1 27 3 304.541792725881 0.2
  1 28 3 161.724963673037 0.2
  1 29 3 277.555408304863 0.2
  1 30 3 200.273480608085 0.2
  1 31 3 124.137157407248 0.2
  1 32 3 130.630997911878 0.2
  1 33 3 143.878316435034 0.2
  1 34 3 194.878727748575 0.2
  1 35 3 223.886199739581 0.2
  1 36 3 228.171003524232 0.2
  1 37 3 317.672305195819 0.2
  1 38 3 483.817983643366 0.2
  1 39 3 649.943909270619 0.2
  1 40 3 411.568309205254 0.2
  1 41 3 295.887454136477 0.2
  1 42 3 412.105933852077 0.2
# end survey index observations 
#  
# Survey size comp data 
# Number of observations, init_int Nsurvey_size_obs 
  166
# init_matrix obs_survey_size(1,Nsurvey_size_obs,1,ncol) 
# Survey  Year  Species Type (0=whole, 1=retained, 2=discard) InpN, proportion by length bin 
  1 1 1 0 25 0 0.2 0.56 0.16 0.08
  1 2 1 0 25 0 0.28 0.64 0.08 0
  1 3 1 0 25 0 0.08 0.56 0.36 0
  1 4 1 0 25 0 0.36 0.48 0.16 0
  1 5 1 0 25 0 0.16 0.64 0.2 0
  1 6 1 0 25 0 0.12 0.6 0.28 0
  1 7 1 0 25 0 0.48 0.48 0.04 0
  1 8 1 0 25 0 0.28 0.6 0.12 0
  1 9 1 0 25 0 0.44 0.4 0.16 0
  1 10 1 0 25 0 0.28 0.64 0.08 0
  1 11 1 0 25 0 0.12 0.8 0.08 0
  1 12 1 0 25 0.04 0.2 0.6 0.16 0
  1 13 1 0 25 0 0.16 0.76 0.08 0
  1 14 1 0 25 0 0.12 0.8 0.08 0
  1 15 1 0 25 0 0.2 0.6 0.2 0
  1 16 1 0 25 0 0.24 0.64 0.12 0
  1 17 1 0 25 0 0.2 0.64 0.16 0
  1 18 1 0 25 0 0.4 0.56 0.04 0
  1 19 1 0 25 0.04 0.2 0.76 0 0
  1 20 1 0 25 0.04 0.2 0.56 0.2 0
  1 21 1 0 25 0 0.36 0.48 0.16 0
  1 22 1 0 25 0 0.24 0.48 0.28 0
  1 23 1 0 25 0 0.12 0.76 0.12 0
  1 24 1 0 25 0 0.04 0.72 0.24 0
  1 25 1 0 25 0 0.12 0.68 0.2 0
  1 26 1 0 25 0 0.16 0.44 0.4 0
  1 27 1 0 25 0 0.08 0.68 0.24 0
  1 28 1 0 25 0 0.36 0.52 0.12 0
  1 29 1 0 25 0 0.24 0.6 0.16 0
  1 30 1 0 25 0 0.16 0.6 0.24 0
  1 31 1 0 25 0 0.2 0.36 0.44 0
  1 32 1 0 25 0 0.32 0.4 0.28 0
  1 33 1 0 25 0 0.08 0.52 0.4 0
  1 34 1 0 25 0 0.08 0.56 0.36 0
  1 35 1 0 25 0 0.2 0.56 0.24 0
  1 36 1 0 25 0.04 0.44 0.32 0.2 0
  1 37 1 0 25 0 0.28 0.56 0.16 0
  1 38 1 0 25 0.04 0.24 0.52 0.2 0
  1 39 1 0 25 0.08 0.2 0.44 0.28 0
  1 40 1 0 25 0 0.28 0.44 0.28 0
  1 41 1 0 25 0 0.32 0.44 0.24 0
  1 42 1 0 25 0.04 0.32 0.48 0.16 0
  1 1 2 0 25 0 0.04 0.2 0.64 0.12
  1 4 2 0 25 0 0.2 0.28 0.44 0.08
  1 5 2 0 25 0 0.12 0.32 0.56 0
  1 6 2 0 25 0 0.08 0.44 0.48 0
  1 7 2 0 25 0 0.16 0.44 0.4 0
  1 8 2 0 25 0 0.4 0.2 0.4 0
  1 9 2 0 25 0 0.44 0.16 0.4 0
  1 10 2 0 25 0 0.2 0.36 0.44 0
  1 11 2 0 25 0 0.24 0.36 0.4 0
  1 12 2 0 25 0 0.12 0.48 0.4 0
  1 13 2 0 25 0 0.08 0.44 0.48 0
  1 14 2 0 25 0 0.08 0.28 0.64 0
  1 15 2 0 25 0 0.2 0.2 0.6 0
  1 16 2 0 25 0 0.16 0.16 0.68 0
  1 17 2 0 25 0 0.64 0.16 0.2 0
  1 18 2 0 25 0 0.44 0.4 0.16 0
  1 19 2 0 25 0 0.2 0.44 0.36 0
  1 20 2 0 25 0 0.2 0.28 0.52 0
  1 21 2 0 25 0 0.24 0.28 0.48 0
  1 22 2 0 25 0 0.12 0.32 0.56 0
  1 23 2 0 25 0 0.08 0.2 0.72 0
  1 24 2 0 25 0 0.04 0.32 0.64 0
  1 25 2 0 25 0 0.12 0.28 0.6 0
  1 26 2 0 25 0 0.32 0.28 0.4 0
  1 27 2 0 25 0 0.08 0.2 0.72 0
  1 28 2 0 25 0 0.12 0.32 0.56 0
  1 29 2 0 25 0 0.08 0.36 0.56 0
  1 30 2 0 25 0 0.04 0.16 0.8 0
  1 31 2 0 25 0 0.56 0.16 0.28 0
  1 32 2 0 25 0 0.12 0.56 0.32 0
  1 33 2 0 25 0 0.08 0.56 0.36 0
  1 34 2 0 25 0 0.04 0.44 0.52 0
  1 35 2 0 25 0 0 0.24 0.76 0
  1 36 2 0 25 0 0.04 0.12 0.84 0
  1 37 2 0 25 0 0.04 0.12 0.84 0
  1 38 2 0 25 0 0.08 0.2 0.72 0
  1 39 2 0 25 0 0.04 0.24 0.72 0
  1 40 2 0 25 0 0 0.2 0.8 0
  1 41 2 0 25 0 0.12 0.24 0.64 0
  1 42 2 0 25 0 0.44 0.12 0.44 0
  1 1 3 0 25 0.08 0.24 0.28 0.4 0
  1 2 3 0 25 0.04 0.32 0.44 0.2 0
  1 3 3 0 25 0.12 0.64 0.2 0.04 0
  1 4 3 0 25 0.16 0.56 0.2 0.08 0
  1 5 3 0 25 0.04 0.44 0.44 0.08 0
  1 6 3 0 25 0.04 0.2 0.44 0.32 0
  1 7 3 0 25 0.04 0.12 0.52 0.32 0
  1 8 3 0 25 0 0.16 0.48 0.36 0
  1 9 3 0 25 0 0.12 0.52 0.36 0
  1 10 3 0 25 0.08 0.24 0.4 0.28 0
  1 11 3 0 25 0.04 0.24 0.44 0.28 0
  1 12 3 0 25 0.04 0.48 0.36 0.12 0
  1 13 3 0 25 0.08 0.36 0.4 0.16 0
  1 14 3 0 25 0.12 0.36 0.44 0.08 0
  1 15 3 0 25 0.04 0.28 0.48 0.2 0
  1 16 3 0 25 0 0.2 0.6 0.2 0
  1 17 3 0 25 0.04 0.32 0.36 0.28 0
  1 18 3 0 25 0.04 0.2 0.56 0.2 0
  1 19 3 0 25 0.04 0.2 0.44 0.32 0
  1 20 3 0 25 0.04 0.28 0.48 0.2 0
  1 21 3 0 25 0.08 0.28 0.36 0.28 0
  1 22 3 0 25 0 0.16 0.68 0.16 0
  1 23 3 0 25 0.04 0.52 0.32 0.12 0
  1 24 3 0 25 0.08 0.28 0.4 0.24 0
  1 25 3 0 25 0.04 0.04 0.68 0.24 0
  1 26 3 0 25 0 0.28 0.48 0.24 0
  1 27 3 0 25 0 0.28 0.52 0.2 0
  1 28 3 0 25 0.04 0.04 0.52 0.4 0
  1 29 3 0 25 0.04 0.04 0.64 0.28 0
  1 30 3 0 25 0.04 0.16 0.4 0.4 0
  1 31 3 0 25 0 0.32 0.56 0.12 0
  1 32 3 0 25 0.04 0.2 0.32 0.44 0
  1 33 3 0 25 0.08 0.44 0.24 0.24 0
  1 34 3 0 25 0.12 0.6 0.2 0.08 0
  1 35 3 0 25 0.04 0.32 0.56 0.08 0
  1 36 3 0 25 0.08 0.44 0.36 0.12 0
  1 37 3 0 25 0 0.52 0.24 0.24 0
  1 38 3 0 25 0 0.2 0.68 0.12 0
  1 39 3 0 25 0.08 0.32 0.36 0.24 0
  1 40 3 0 25 0.08 0.24 0.48 0.2 0
  1 41 3 0 25 0 0.28 0.36 0.36 0
