# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 76521.0641761414 0.2
  1 2 4 84624.0015244953 0.2
  1 3 4 97381.6137990452 0.2
  1 4 4 73047.5506526437 0.2
  1 5 4 101929.878755688 0.2
  1 6 4 103110.532228309 0.2
  1 7 4 106361.171892294 0.2
  1 8 4 127141.590577696 0.2
  1 9 4 107562.957967536 0.2
  1 10 4 94602.1237820126 0.2
  1 11 4 104759.189509007 0.2
  1 12 4 106967.161193542 0.2
  1 13 4 98369.6381110928 0.2
  1 14 4 127670.68084513 0.2
  1 15 4 130872.417561027 0.2
  1 16 4 132539.308140794 0.2
  1 17 4 114655.085270357 0.2
  1 18 4 144816.940561046 0.2
  1 19 4 132936.898480126 0.2
  1 20 4 174785.363577918 0.2
  1 21 4 160711.33134504 0.2
  1 22 4 175359.599199732 0.2
  1 23 4 120047.43331303 0.2
  1 24 4 157458.090632728 0.2
  1 25 4 219713.767229416 0.2
  1 26 4 156157.762438278 0.2
  1 27 4 141788.330286355 0.2
  1 28 4 206939.848879715 0.2
  1 29 4 205179.832656812 0.2
  1 30 4 235629.810099962 0.2
  1 31 4 211067.752354893 0.2
  1 32 4 150156.788201393 0.2
  1 33 4 226927.386027792 0.2
  1 34 4 132745.892893711 0.2
  1 35 4 221909.683763294 0.2
  1 36 4 236968.983254251 0.2
  1 37 4 170620.826003944 0.2
  1 38 4 218576.931715766 0.2
  1 39 4 184516.041592048 0.2
  1 40 4 208401.369101491 0.2
  1 41 4 231139.828665223 0.2
  1 42 4 224183.088118221 0.2
  1 1 2 131.005518782073 0.2
  1 4 2 192.399572604634 0.2
  1 5 2 150.702744126831 0.2
  1 6 2 163.486185029465 0.2
  1 7 2 171.398383610547 0.2
  1 8 2 334.908831364839 0.2
  1 9 2 199.846633348979 0.2
  1 10 2 199.078785260011 0.2
  1 11 2 359.447825866948 0.2
  1 12 2 496.54095993882 0.2
  1 13 2 452.935511023019 0.2
  1 14 2 388.231984775213 0.2
  1 15 2 323.839969941254 0.2
  1 16 2 613.703743341823 0.2
  1 17 2 391.937380258985 0.2
  1 18 2 819.384874826165 0.2
  1 19 2 1359.50134437965 0.2
  1 20 2 3208.72835748991 0.2
  1 21 2 3569.82976778649 0.2
  1 22 2 2893.81827181163 0.2
  1 23 2 3053.24623262521 0.2
  1 24 2 2697.41372354892 0.2
  1 25 2 2291.79252665859 0.2
  1 26 2 2640.7894351047 0.2
  1 27 2 2600.79097935813 0.2
  1 28 2 3490.2706191525 0.2
  1 29 2 2659.67317151003 0.2
  1 30 2 3169.51568216889 0.2
  1 31 2 2181.11135489905 0.2
  1 32 2 2663.81008413281 0.2
  1 33 2 4259.49175545199 0.2
  1 34 2 4716.5466669352 0.2
  1 35 2 3470.24853472114 0.2
  1 36 2 4031.52783158021 0.2
  1 37 2 3953.09754695803 0.2
  1 38 2 1966.53535202853 0.2
  1 39 2 2265.78967443437 0.2
  1 40 2 1914.28321858724 0.2
  1 41 2 1370.68946635517 0.2
  1 42 2 1114.264226419 0.2
  1 1 1 23733.1635461641 0.2
  1 2 1 16228.2966752156 0.2
  1 3 1 17569.0729871315 0.2
  1 4 1 9832.48941544267 0.2
  1 5 1 12206.2784910724 0.2
  1 6 1 11280.6957901381 0.2
  1 7 1 13687.9140664024 0.2
  1 8 1 9456.21969926729 0.2
  1 9 1 7332.32207493872 0.2
  1 10 1 9603.03952570809 0.2
  1 11 1 14158.4718929973 0.2
  1 12 1 13444.1884380531 0.2
  1 13 1 8022.64041868307 0.2
  1 14 1 8989.99976775604 0.2
  1 15 1 7565.15485324601 0.2
  1 16 1 4918.73321811613 0.2
  1 17 1 5377.04997185665 0.2
  1 18 1 3244.26394898815 0.2
  1 19 1 5244.44908183432 0.2
  1 20 1 6321.90850469377 0.2
  1 21 1 4352.21313205759 0.2
  1 22 1 6395.42003819873 0.2
  1 23 1 5219.30637250383 0.2
  1 24 1 6159.17773053675 0.2
  1 25 1 4955.33027163033 0.2
  1 26 1 6435.03879971636 0.2
  1 27 1 4692.87274302132 0.2
  1 28 1 6959.33756163613 0.2
  1 29 1 3974.5147200439 0.2
  1 30 1 3993.95926640147 0.2
  1 31 1 4914.82596533522 0.2
  1 32 1 3198.09606240677 0.2
  1 33 1 3663.4599651159 0.2
  1 34 1 3339.19411539437 0.2
  1 35 1 2429.53890614617 0.2
  1 36 1 2303.31371693762 0.2
  1 37 1 2486.89521289957 0.2
  1 38 1 2276.11538505625 0.2
  1 39 1 2254.40753596188 0.2
  1 40 1 2192.82756780147 0.2
  1 41 1 2545.63823788803 0.2
  1 42 1 1782.22829810649 0.2
  1 1 3 166.700285646015 0.2
  1 2 3 120.834114986533 0.2
  1 3 3 142.713195891667 0.2
  1 4 3 259.404012993929 0.2
  1 5 3 543.065758830136 0.2
  1 6 3 511.725495719951 0.2
  1 7 3 699.898129912126 0.2
  1 8 3 983.679887639882 0.2
  1 9 3 490.3806719688 0.2
  1 10 3 634.610700264712 0.2
  1 11 3 421.940526790958 0.2
  1 12 3 290.092554023293 0.2
  1 13 3 309.554487183294 0.2
  1 14 3 434.757041611745 0.2
  1 15 3 562.496470777355 0.2
  1 16 3 449.321471532992 0.2
  1 17 3 564.407031179191 0.2
  1 18 3 592.792675641881 0.2
  1 19 3 374.55323160269 0.2
  1 20 3 413.015275271657 0.2
  1 21 3 432.430928038083 0.2
  1 22 3 186.837757331387 0.2
  1 23 3 382.163391979126 0.2
  1 24 3 353.384673368163 0.2
  1 25 3 448.625571086428 0.2
  1 26 3 404.525535465257 0.2
  1 27 3 373.001380928386 0.2
  1 28 3 200.962636965536 0.2
  1 29 3 351.853547185801 0.2
  1 30 3 257.981913886925 0.2
  1 31 3 162.557671249278 0.2
  1 32 3 172.930333851807 0.2
  1 33 3 186.861596009612 0.2
  1 34 3 239.825943156838 0.2
  1 35 3 267.33268472324 0.2
  1 36 3 272.634171719021 0.2
  1 37 3 384.108182369067 0.2
  1 38 3 592.688208315495 0.2
  1 39 3 809.496304477345 0.2
  1 40 3 519.119968572055 0.2
  1 41 3 380.248281702272 0.2
  1 42 3 541.447076652701 0.2
# end survey index observations 
#  
# Survey size comp data 
# Number of observations, init_int Nsurvey_size_obs 
  166
# init_matrix obs_survey_size(1,Nsurvey_size_obs,1,ncol) 
# Survey  Year  Species Type (0=whole, 1=retained, 2=discard) InpN, proportion by length bin 
  1 1 1 0 25 0 0.2 0.56 0.16 0.08
  1 2 1 0 25 0 0.28 0.64 0.08 0
  1 3 1 0 25 0 0.08 0.56 0.36 0
  1 4 1 0 25 0 0.36 0.48 0.16 0
  1 5 1 0 25 0 0.16 0.64 0.2 0
  1 6 1 0 25 0 0.12 0.6 0.28 0
  1 7 1 0 25 0 0.48 0.48 0.04 0
  1 8 1 0 25 0 0.28 0.6 0.12 0
  1 9 1 0 25 0 0.44 0.4 0.16 0
  1 10 1 0 25 0 0.28 0.64 0.08 0
  1 11 1 0 25 0 0.12 0.8 0.08 0
  1 12 1 0 25 0.04 0.2 0.6 0.16 0
  1 13 1 0 25 0 0.16 0.76 0.08 0
  1 14 1 0 25 0 0.12 0.8 0.08 0
  1 15 1 0 25 0 0.2 0.6 0.2 0
  1 16 1 0 25 0 0.24 0.64 0.12 0
  1 17 1 0 25 0 0.2 0.64 0.16 0
  1 18 1 0 25 0 0.4 0.56 0.04 0
  1 19 1 0 25 0.04 0.2 0.76 0 0
  1 20 1 0 25 0.04 0.2 0.56 0.2 0
  1 21 1 0 25 0 0.36 0.48 0.16 0
  1 22 1 0 25 0 0.24 0.48 0.28 0
  1 23 1 0 25 0 0.12 0.76 0.12 0
  1 24 1 0 25 0 0.04 0.72 0.24 0
  1 25 1 0 25 0 0.12 0.68 0.2 0
  1 26 1 0 25 0 0.16 0.44 0.4 0
  1 27 1 0 25 0 0.08 0.68 0.24 0
  1 28 1 0 25 0 0.36 0.52 0.12 0
  1 29 1 0 25 0 0.24 0.6 0.16 0
  1 30 1 0 25 0 0.16 0.6 0.24 0
  1 31 1 0 25 0 0.2 0.36 0.44 0
  1 32 1 0 25 0 0.32 0.4 0.28 0
  1 33 1 0 25 0 0.08 0.52 0.4 0
  1 34 1 0 25 0 0.08 0.56 0.36 0
  1 35 1 0 25 0 0.2 0.56 0.24 0
  1 36 1 0 25 0.04 0.44 0.32 0.2 0
  1 37 1 0 25 0 0.28 0.56 0.16 0
  1 38 1 0 25 0.04 0.24 0.52 0.2 0
  1 39 1 0 25 0.08 0.2 0.44 0.28 0
  1 40 1 0 25 0 0.28 0.44 0.28 0
  1 41 1 0 25 0 0.32 0.44 0.24 0
  1 42 1 0 25 0.04 0.32 0.48 0.16 0
  1 1 2 0 25 0 0.04 0.2 0.64 0.12
  1 4 2 0 25 0 0.2 0.28 0.44 0.08
  1 5 2 0 25 0 0.12 0.32 0.56 0
  1 6 2 0 25 0 0.04 0.44 0.52 0
  1 7 2 0 25 0 0.12 0.44 0.44 0
  1 8 2 0 25 0 0.36 0.2 0.44 0
  1 9 2 0 25 0 0.4 0.16 0.44 0
  1 10 2 0 25 0 0.2 0.36 0.44 0
  1 11 2 0 25 0 0.24 0.36 0.4 0
  1 12 2 0 25 0 0.12 0.48 0.4 0
  1 13 2 0 25 0 0.04 0.44 0.52 0
  1 14 2 0 25 0 0.08 0.28 0.64 0
  1 15 2 0 25 0 0.2 0.2 0.6 0
  1 16 2 0 25 0 0.12 0.16 0.72 0
  1 17 2 0 25 0 0.6 0.16 0.24 0
  1 18 2 0 25 0 0.44 0.4 0.16 0
  1 19 2 0 25 0 0.2 0.44 0.36 0
  1 20 2 0 25 0 0.2 0.28 0.52 0
  1 21 2 0 25 0 0.2 0.28 0.52 0
  1 22 2 0 25 0 0.12 0.32 0.56 0
  1 23 2 0 25 0 0.04 0.2 0.76 0
  1 24 2 0 25 0 0.04 0.32 0.64 0
  1 25 2 0 25 0 0.12 0.24 0.64 0
  1 26 2 0 25 0 0.28 0.24 0.48 0
  1 27 2 0 25 0 0.08 0.2 0.72 0
  1 28 2 0 25 0 0.12 0.28 0.6 0
  1 29 2 0 25 0 0.04 0.36 0.6 0
  1 30 2 0 25 0 0.04 0.12 0.84 0
  1 31 2 0 25 0 0.48 0.16 0.36 0
  1 32 2 0 25 0 0.12 0.52 0.36 0
  1 33 2 0 25 0 0.08 0.36 0.56 0
  1 34 2 0 25 0 0.04 0.4 0.56 0
  1 35 2 0 25 0 0 0.2 0.8 0
  1 36 2 0 25 0 0.04 0.12 0.84 0
  1 37 2 0 25 0 0 0.12 0.88 0
  1 38 2 0 25 0 0.08 0.16 0.76 0
  1 39 2 0 25 0 0 0.2 0.8 0
  1 40 2 0 25 0 0 0.16 0.84 0
  1 41 2 0 25 0 0.08 0.2 0.72 0
  1 42 2 0 25 0 0.32 0.08 0.6 0
  1 1 3 0 25 0.08 0.24 0.28 0.4 0
  1 2 3 0 25 0.04 0.28 0.44 0.24 0
  1 3 3 0 25 0.12 0.6 0.24 0.04 0
  1 4 3 0 25 0.12 0.56 0.2 0.12 0
  1 5 3 0 25 0.04 0.44 0.44 0.08 0
  1 6 3 0 25 0.04 0.2 0.44 0.32 0
  1 7 3 0 25 0.04 0.12 0.52 0.32 0
  1 8 3 0 25 0 0.16 0.48 0.36 0
  1 9 3 0 25 0 0.08 0.52 0.4 0
  1 10 3 0 25 0.08 0.2 0.44 0.28 0
  1 11 3 0 25 0.04 0.2 0.44 0.32 0
  1 12 3 0 25 0.04 0.48 0.36 0.12 0
  1 13 3 0 25 0.04 0.36 0.4 0.2 0
  1 14 3 0 25 0.12 0.32 0.44 0.12 0
  1 15 3 0 25 0.04 0.28 0.48 0.2 0
  1 16 3 0 25 0 0.2 0.6 0.2 0
  1 17 3 0 25 0.04 0.32 0.36 0.28 0
  1 18 3 0 25 0.04 0.16 0.6 0.2 0
  1 19 3 0 25 0 0.2 0.48 0.32 0
  1 20 3 0 25 0.04 0.24 0.48 0.24 0
  1 21 3 0 25 0.04 0.28 0.36 0.32 0
  1 22 3 0 25 0 0.16 0.68 0.16 0
  1 23 3 0 25 0 0.52 0.32 0.16 0
  1 24 3 0 25 0.08 0.28 0.4 0.24 0
  1 25 3 0 25 0.04 0.04 0.68 0.24 0
  1 26 3 0 25 0 0.28 0.48 0.24 0
  1 27 3 0 25 0 0.24 0.56 0.2 0
  1 28 3 0 25 0.04 0 0.56 0.4 0
  1 29 3 0 25 0.04 0.04 0.64 0.28 0
  1 30 3 0 25 0.04 0.16 0.4 0.4 0
  1 31 3 0 25 0 0.28 0.56 0.16 0
  1 32 3 0 25 0.04 0.16 0.32 0.48 0
  1 33 3 0 25 0.08 0.44 0.24 0.24 0
  1 34 3 0 25 0.08 0.32 0.44 0.16 0
  1 35 3 0 25 0.04 0.28 0.56 0.12 0
  1 36 3 0 25 0.04 0.44 0.4 0.12 0
  1 37 3 0 25 0 0.52 0.24 0.24 0
  1 38 3 0 25 0 0.16 0.68 0.16 0
  1 39 3 0 25 0.08 0.32 0.36 0.24 0
  1 40 3 0 25 0.04 0.24 0.48 0.24 0
  1 41 3 0 25 0 0.24 0.36 0.4 0
  1 42 3 0 25 0 0.12 0.48 0.4 0
