# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 104919.53136803 0.212720515437525
  1 2 4 94322.3564306553 0.222168779300385
  1 3 4 121555.542888602 0.394113240257454
  1 4 4 95621.2457060271 0.310035034727007
  1 5 4 114651.029055396 0.378629084128514
  1 6 4 242854.307861953 0.494427832556011
  1 7 4 199933.649023678 0.759062286891916
  1 8 4 278344.441810229 0.383150869515862
  1 9 4 175057.396924245 0.48934963094834
  1 10 4 151940.617935456 0.382452035825211
  1 11 4 194806.455667098 0.566792532611316
  1 12 4 88852.3200011331 0.381518572031255
  1 13 4 187406.064130391 0.438380584739347
  1 14 4 147895.373637512 0.482345652338289
  1 15 4 117108.642097212 0.420835086749712
  1 16 4 197761.430862382 0.515165860253858
  1 17 4 106907.093760966 0.559532625975744
  1 18 4 163086.28510482 0.479008946214672
  1 19 4 247769.164710468 0.429419179801904
  1 20 4 163547.7840607 0.477074256852948
  1 21 4 281527.732772052 0.410621521476155
  1 22 4 189953.627796693 0.294672690077384
  1 23 4 230254.856494017 0.477447511398437
  1 24 4 154002.155562296 0.384568504019134
  1 25 4 123736.143236723 0.333261603198005
  1 26 4 141515.043605686 0.685474246042822
  1 27 4 143618.00718322 0.286882992344226
  1 28 4 156394.114189816 0.371822434434906
  1 29 4 177480.890612497 0.592639130460935
  1 30 4 177165.707575548 0.374062101432949
  1 31 4 110030.512148917 0.304499664309564
  1 32 4 99194.5721791158 0.233962995093855
  1 33 4 156584.576102009 0.270006842918168
  1 34 4 86943.0923571357 0.350007507053818
  1 35 4 248445.77805764 0.34274593698132
  1 36 4 158487.179288672 0.261906583866089
  1 37 4 355052.41128225 0.417429035160016
  1 38 4 273046.727710188 0.441211421515246
  1 39 4 128695.467563184 0.495234601454268
  1 40 4 145244.394228833 0.237858203733512
  1 41 4 167394.597878657 0.327346172729995
  1 42 4 340583.082938125 0.368315456462939
  1 1 2 476.217537951002 0.601375663623589
  1 4 2 1157.81589666426 1
  1 5 2 145.896553367699 0.611089023955187
  1 6 2 144.08497661314 0.702037850017464
  1 7 2 57.4154077967992 0.948289691951521
  1 8 2 103.176755838934 0.544380631361087
  1 9 2 125.119059626765 0.5393131982084
  1 10 2 151.115466394791 0.88095039530815
  1 11 2 478.141303071443 0.799987970388403
  1 12 2 489.661889297025 0.774991903603438
  1 13 2 2010.19040409834 0.863215133786584
  1 14 2 300.282497826924 0.704083892007286
  1 15 2 383.321716591275 0.457459057188701
  1 16 2 331.720569461749 0.853197309912465
  1 17 2 62.8397226378405 0.61116783920211
  1 18 2 143.98883642792 0.416775375911518
  1 19 2 2893.77097784259 0.69077510766454
  1 20 2 3448.8080271435 0.793751288508348
  1 21 2 1053.87315478448 0.339376634127756
  1 22 2 2420.41206060933 0.601950919776798
  1 23 2 6011.94591736771 0.658556209578282
  1 24 2 1847.88872666299 0.637453135075156
  1 25 2 5603.64926557064 0.510473149998029
  1 26 2 4283.12517601508 0.548437091427541
  1 27 2 3103.77404581834 0.492912195981742
  1 28 2 5452.09675927796 0.747597319880804
  1 29 2 444.09034905886 0.451616070879294
  1 30 2 684.453000994834 0.797269558848634
  1 31 2 3650.19166485425 0.666772556553203
  1 32 2 1537.15856006038 0.96787270074405
  1 33 2 4207.64030039251 0.404694020855087
  1 34 2 2258.04388581616 0.814873375751391
  1 35 2 2006.91338781903 0.533219898766676
  1 36 2 5850.07977192202 0.371953858881132
  1 37 2 5975.86553059308 0.791301167226987
  1 38 2 1708.45453381913 0.633364993316759
  1 39 2 7986.75593772058 0.827253682697507
  1 40 2 725.483049314504 0.900216415173481
  1 41 2 488.305403185894 0.957770995377006
  1 42 2 204.605434560951 0.55870584954739
  1 1 1 22671.0048596349 0.241799049430762
  1 2 1 13431.4263596009 0.142636213550947
  1 3 1 11104.5092972398 0.225478190042395
  1 4 1 16202.1250696167 0.323579734794357
  1 5 1 16160.8732788619 0.320666395151501
  1 6 1 6361.01855851804 0.452044832991261
  1 7 1 14889.7309972261 0.28209645893665
  1 8 1 4071.51076221013 0.414010381101596
  1 9 1 10431.9327655165 0.40638853202345
  1 10 1 14331.5451796758 0.290993157294119
  1 11 1 19782.9361188549 0.324615016521962
  1 12 1 16544.1533419139 0.294780938380682
  1 13 1 13260.3356381564 0.440402569626277
  1 14 1 22057.6176438892 0.372421878022742
  1 15 1 10736.4146416396 0.341871348717721
  1 16 1 5134.83916678425 0.416897355424411
  1 17 1 6029.52331628701 0.500820840736393
  1 18 1 2792.98121728488 0.389853340834037
  1 19 1 8127.73741351783 0.293941849282161
  1 20 1 5735.32644366188 0.525509720403112
  1 21 1 6367.86539128998 0.266433769579894
  1 22 1 6318.68113467629 0.374831371194202
  1 23 1 7193.74444897886 0.352011231642473
  1 24 1 11373.8299517121 0.34725908523047
  1 25 1 2661.57777452805 0.578696888706846
  1 26 1 4256.76336396225 0.459728456052307
  1 27 1 2441.18533249563 0.539982548576019
  1 28 1 2535.45539969728 0.364309332200766
  1 29 1 2880.8675895409 0.562793580097325
  1 30 1 5166.55979846301 0.420348818797864
  1 31 1 2567.06296342613 0.403753427903273
  1 32 1 2421.52832100474 0.491331418922754
  1 33 1 3980.66465528363 0.537081122476055
  1 34 1 1263.58464804026 0.379030815152119
  1 35 1 1819.69126923492 0.519511456600017
  1 36 1 2425.00487699533 0.556056214854877
  1 37 1 2728.16974629025 0.588197671943964
  1 38 1 1293.90787678731 0.324588369174256
  1 39 1 934.451467469202 0.501841796783066
  1 40 1 710.324135510833 0.403101009292275
  1 41 1 947.181545714658 0.478602624152216
  1 42 1 740.445955338428 0.646634922078809
  1 1 3 152.826788024533 0.499484636786782
  1 2 3 225.079978278002 0.358153914340203
  1 3 3 211.899077869525 0.678339172154909
  1 4 3 1100.16661312305 1
  1 5 3 1126.23015909389 0.693225535250834
  1 6 3 247.29998709001 1
  1 7 3 856.052080502492 0.912293822979085
