full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 118338
1 1 2 1 1454.8
1 1 3 1 266.484
1 1 4 1 56952.7
1 2 1 1 137659
1 2 2 1 714.782
1 2 3 1 213.565
1 2 4 1 56545.6
1 3 1 1 121631
1 3 2 1 1390.83
1 3 3 1 578.882
1 3 4 1 57261
1 4 1 1 93268.5
1 4 2 1 3020.82
1 4 3 1 901.018
1 4 4 1 58241.1
1 5 1 1 66460.3
1 5 2 1 4063.57
1 5 3 1 1095.3
1 5 4 1 59664.2
1 6 1 1 45688.1
1 6 2 1 4472.96
1 6 3 1 1180.99
1 6 4 1 60935.8
1 7 1 1 31409.4
1 7 2 1 4618.12
1 7 3 1 1223.17
1 7 4 1 62505.8
1 8 1 1 22160.9
1 8 2 1 4631.17
1 8 3 1 1236.04
1 8 4 1 63933.4
1 9 1 1 16479.4
1 9 2 1 4657.64
1 9 3 1 1248.97
1 9 4 1 65573.9
1 10 1 1 13130.2
1 10 2 1 4738.77
1 10 3 1 1269.13
1 10 4 1 67494.9
1 11 1 1 11167.2
1 11 2 1 4778.74
1 11 3 1 1275.57
1 11 4 1 69095
1 12 1 1 10041.4
1 12 2 1 4798.85
1 12 3 1 1278.25
1 12 4 1 70517.5
1 13 1 1 9355.71
1 13 2 1 4743
1 13 3 1 1265.43
1 13 4 1 71317.6
1 14 1 1 8953.51
1 14 2 1 4699.91
1 14 3 1 1257.62
1 14 4 1 71948.7
1 15 1 1 8743.15
1 15 2 1 4711.26
1 15 3 1 1261.07
1 15 4 1 72647.1
1 16 1 1 8615.3
1 16 2 1 4712.07
1 16 3 1 1259.66
1 16 4 1 73078.3
1 17 1 1 8478.79
1 17 2 1 4627.23
1 17 3 1 1240.22
1 17 4 1 72833.6
1 18 1 1 8355.35
1 18 2 1 4531.25
1 18 3 1 1222.09
1 18 4 1 72333.1
1 19 1 1 8340.35
1 19 2 1 4574.7
1 19 3 1 1235.15
1 19 4 1 72519.4
1 20 1 1 8322.83
1 20 2 1 4593.73
1 20 3 1 1237.04
1 20 4 1 72438.5
1 21 1 1 11169.3
1 21 2 1 4586.52
1 21 3 1 1233.89
1 21 4 1 77819.5
1 22 1 1 14193.6
1 22 2 1 4450.94
1 22 3 1 1203.43
1 22 4 1 82259
1 23 1 1 17149.5
1 23 2 1 4360.28
1 23 3 1 1185.64
1 23 4 1 86496.5
1 24 1 1 19742.4
1 24 2 1 4272.4
1 24 3 1 1165.47
1 24 4 1 89910.3
1 25 1 1 21748.6
1 25 2 1 4124.61
1 25 3 1 1130.19
1 25 4 1 91858.4
1 26 1 1 23449
1 26 2 1 4119.93
1 26 3 1 1130.41
1 26 4 1 94213.3
1 27 1 1 24867.7
1 27 2 1 4192.77
1 27 3 1 1143.86
1 27 4 1 96641
1 28 1 1 25896.5
1 28 2 1 4201.92
1 28 3 1 1139.79
1 28 4 1 98197.8
1 29 1 1 26455.9
1 29 2 1 4084.98
1 29 3 1 1110.68
1 29 4 1 98310.7
1 30 1 1 26925.5
1 30 2 1 4076.48
1 30 3 1 1112.01
1 30 4 1 99030.3
1 31 1 1 27153.7
1 31 2 1 4038.71
1 31 3 1 1102.59
1 31 4 1 98987.8
1 32 1 1 27244.7
1 32 2 1 4002.77
1 32 3 1 1094.1
1 32 4 1 98682.1
1 33 1 1 27219.8
1 33 2 1 3958.72
1 33 3 1 1084.65
1 33 4 1 98062.7
1 34 1 1 27045
1 34 2 1 3879.27
1 34 3 1 1067.3
1 34 4 1 96835
1 35 1 1 26722.8
1 35 2 1 3768.8
1 35 3 1 1044.03
1 35 4 1 94988.5
1 36 1 1 26516
1 36 2 1 3765.81
1 36 3 1 1047.32
1 36 4 1 93941.2
1 37 1 1 26423.1
1 37 2 1 3822.39
1 37 3 1 1060.69
1 37 4 1 93420.5
1 38 1 1 26402.8
1 38 2 1 3878.1
1 38 3 1 1071.5
1 38 4 1 93136
1 39 1 1 26300.9
1 39 2 1 3845.85
1 39 3 1 1062.46
1 39 4 1 92304.4
1 40 1 1 26361.2
1 40 2 1 3891.36
1 40 3 1 1075.25
1 40 4 1 92412.4
1 41 1 1 26369.5
1 41 2 1 3888.54
1 41 3 1 1073.66
1 41 4 1 92148.1
1 42 1 1 26422
1 42 2 1 3902.27
1 42 3 1 1077.05
1 42 4 1 92170.3
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 26876.2
1 1 4 1 7068.2
1 2 1 1 47182.2
1 2 4 1 6843.47
1 3 1 1 52013.1
1 3 4 1 6809.29
1 4 1 1 45533.8
1 4 4 1 6870.81
1 5 1 1 34976.5
1 5 4 1 6983.8
1 6 1 1 25013
1 6 4 1 7126.96
1 7 1 1 17317.3
1 7 4 1 7282
1 8 1 1 12002.3
1 8 4 1 7453.44
1 9 1 1 8561.94
1 9 4 1 7628.91
1 10 1 1 6447.72
1 10 4 1 7833.82
1 11 1 1 5193.14
1 11 4 1 8041.81
1 12 1 1 4458.7
1 12 4 1 8220.31
1 13 1 1 4031.37
1 13 4 1 8356.54
1 14 1 1 3774.56
