# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 158872.32367968 0.2
  1 2 4 81538.3370424432 0.2
  1 3 4 114989.481948119 0.2
  1 4 4 113780.668176202 0.2
  1 5 4 60379.8983251832 0.2
  1 6 4 386566.449367478 0.2
  1 7 4 19929.0147960335 0.2
  1 8 4 105146.552416782 0.2
  1 9 4 92131.4805996498 0.2
  1 10 4 70456.9099649372 0.2
  1 11 4 190402.217661844 0.2
  1 12 4 97740.9482648989 0.2
  1 13 4 66540.0480642683 0.2
  1 14 4 120617.727520247 0.2
  1 15 4 103451.943172402 0.2
  1 16 4 96562.9054845928 0.2
  1 17 4 91694.8276819856 0.2
  1 18 4 242006.127378868 0.2
  1 19 4 73375.995953846 0.2
  1 20 4 216253.878781148 0.2
  1 21 4 131538.570319973 0.2
  1 22 4 134267.274766889 0.2
  1 23 4 160212.394521815 0.2
  1 24 4 192268.336420612 0.2
  1 25 4 148995.413010332 0.2
  1 26 4 81358.9810008653 0.2
  1 27 4 186531.225266625 0.2
  1 28 4 269830.615611689 0.2
  1 29 4 246314.349256856 0.2
  1 30 4 289514.569632722 0.2
  1 31 4 204420.844108965 0.2
  1 32 4 177963.908622043 0.2
  1 33 4 196952.965685599 0.2
  1 34 4 163585.870288037 0.2
  1 35 4 340496.491367319 0.2
  1 36 4 180390.197888682 0.2
  1 37 4 209844.717869714 0.2
  1 38 4 126116.068435032 0.2
  1 39 4 53228.6620189652 0.2
  1 40 4 172553.108999007 0.2
  1 41 4 212746.310758563 0.2
  1 42 4 480185.979663071 0.2
  1 1 2 254.381192714419 0.2
  1 4 2 1942.62214227175 0.2
  1 5 2 375.451802728592 0.2
  1 6 2 743.751145776399 0.2
  1 7 2 153.842147108484 0.2
  1 8 2 261.490061135684 0.2
  1 9 2 354.034566030797 0.2
  1 10 2 448.995756637188 0.2
  1 11 2 254.163115748833 0.2
  1 12 2 394.696939434742 0.2
  1 13 2 563.708430196571 0.2
  1 14 2 607.114354064377 0.2
  1 15 2 376.107472081046 0.2
  1 16 2 429.587384997703 0.2
  1 17 2 1049.87700557952 0.2
  1 18 2 644.770100233783 0.2
  1 19 2 1372.44964612866 0.2
  1 20 2 4261.49335308444 0.2
  1 21 2 2340.27213483279 0.2
  1 22 2 5301.66452233621 0.2
  1 23 2 5423.89267260225 0.2
  1 24 2 2732.95459247506 0.2
  1 25 2 2122.82795448099 0.2
  1 26 2 1390.44823363428 0.2
  1 27 2 2061.89152024829 0.2
  1 28 2 2954.65925495419 0.2
  1 29 2 1715.3781122845 0.2
  1 30 2 2131.23690435178 0.2
  1 31 2 1594.03650672405 0.2
  1 32 2 4211.73545491323 0.2
  1 33 2 6121.35658779689 0.2
  1 34 2 9392.4703102056 0.2
  1 35 2 1686.1445385775 0.2
  1 36 2 2119.69110340836 0.2
  1 37 2 1464.27332662646 0.2
  1 38 2 2070.2454220083 0.2
  1 39 2 3452.685148641 0.2
