# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 96538.8735549731 0.2
  1 2 4 99356.0792412501 0.2
  1 3 4 118818.586245067 0.2
  1 4 4 72392.7285141463 0.2
  1 5 4 123517.953659107 0.2
  1 6 4 127602.1438921 0.2
  1 7 4 142997.837306429 0.2
  1 8 4 169283.75982232 0.2
  1 9 4 117391.96044909 0.2
  1 10 4 86519.9974049819 0.2
  1 11 4 93064.1749441842 0.2
  1 12 4 99517.0636571922 0.2
  1 13 4 76516.7295398465 0.2
  1 14 4 131109.992826457 0.2
  1 15 4 131006.598818971 0.2
  1 16 4 132309.170560202 0.2
  1 17 4 84992.4527176337 0.2
  1 18 4 151921.89876473 0.2
  1 19 4 119851.578049725 0.2
  1 20 4 226674.116426358 0.2
  1 21 4 169459.260780223 0.2
  1 22 4 180405.447207134 0.2
  1 23 4 78975.0939972476 0.2
  1 24 4 148406.167117974 0.2
  1 25 4 258984.457874398 0.2
  1 26 4 113054.590458595 0.2
  1 27 4 126852.773873564 0.2
  1 28 4 225965.116848393 0.2
  1 29 4 235236.453673375 0.2
  1 30 4 277331.904903754 0.2
  1 31 4 216076.30286894 0.2
  1 32 4 140132.264679682 0.2
  1 33 4 231036.337099919 0.2
  1 34 4 92131.8517677359 0.2
  1 35 4 224551.624296901 0.2
  1 36 4 237332.080700279 0.2
  1 37 4 126719.587101095 0.2
  1 38 4 209463.520422356 0.2
  1 39 4 133755.427878967 0.2
  1 40 4 196648.429545415 0.2
  1 41 4 222892.314684759 0.2
  1 42 4 208681.597557715 0.2
  1 1 2 150.89401852818 0.2
  1 4 2 799.156932391873 0.2
  1 5 2 170.051443133137 0.2
  1 6 2 164.338826694992 0.2
  1 7 2 131.701825912202 0.2
  1 8 2 864.509943411696 0.2
  1 9 2 154.885693943285 0.2
  1 10 2 47.1483307063176 0.2
  1 11 2 285.739229268343 0.2
  1 12 2 646.061128698138 0.2
  1 13 2 360.479131625797 0.2
  1 14 2 216.413926325769 0.2
  1 15 2 197.627847989338 0.2
  1 16 2 1625.06477229171 0.2
  1 17 2 200.114098642076 0.2
  1 18 2 591.508030665788 0.2
  1 19 2 553.094084754498 0.2
  1 20 2 4687.41438299028 0.2
  1 21 2 2971.75164811547 0.2
  1 22 2 2018.37367654066 0.2
  1 23 2 2503.20980961338 0.2
  1 24 2 1907.7149321066 0.2
  1 25 2 1472.36642282486 0.2
