full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349442
1 2 2 1 320200
1 2 3 1 49513.7
1 2 4 1 170000
1 3 1 1 214037
1 3 2 1 168204
1 3 3 1 19392.7
1 3 4 1 147096
1 4 1 1 135259
1 4 2 1 90657.6
1 4 3 1 8087.85
1 4 4 1 128781
1 5 1 1 87073
1 5 2 1 50343.1
1 5 3 1 3703.69
1 5 4 1 114241
1 6 1 1 57181.1
1 6 2 1 29129.4
1 6 3 1 1920.2
1 6 4 1 102784
1 7 1 1 38790.9
1 7 2 1 18312.8
1 7 3 1 1176.01
1 7 4 1 93825.3
1 8 1 1 27685.2
1 8 2 1 12817.1
1 8 3 1 852.884
1 8 4 1 86877.4
1 9 1 1 21123.7
1 9 2 1 10121.3
1 9 3 1 712.596
1 9 4 1 81535.7
1 10 1 1 17330.1
1 10 2 1 8850.43
1 10 3 1 653.746
1 10 4 1 77467.8
1 11 1 1 15180.7
1 11 2 1 8244.25
1 11 3 1 628.52
1 11 4 1 74402.8
1 12 1 1 13984.7
1 12 2 1 7974.8
1 12 3 1 619
1 12 4 1 72121.4
1 13 1 1 13330
1 13 2 1 7835.03
1 13 3 1 614.182
1 13 4 1 70447.4
1 14 1 1 12976.6
1 14 2 1 7778.08
1 14 3 1 612.799
1 14 4 1 69240.3
1 15 1 1 12788.3
1 15 2 1 7775.72
1 15 3 1 614.012
1 15 4 1 68388.7
1 16 1 1 12689
1 16 2 1 7778.73
1 16 3 1 614.958
1 16 4 1 67805.2
1 17 1 1 12637.2
1 17 2 1 7748.68
1 17 3 1 613.241
1 17 4 1 67421.3
1 18 1 1 12610.4
1 18 2 1 7712.89
1 18 3 1 610.927
1 18 4 1 67184.3
1 19 1 1 12596.7
1 19 2 1 7733.28
1 19 3 1 612.442
1 19 4 1 67053.3
1 20 1 1 12589.7
1 20 2 1 7736.09
1 20 3 1 612.692
1 20 4 1 66997.4
1 21 1 1 14928.6
1 21 2 1 7730.35
1 21 3 1 612.312
1 21 4 1 70928.8
1 22 1 1 16757.6
1 22 2 1 7672.83
1 22 3 1 608.252
1 22 4 1 74628.4
1 23 1 1 18106.9
1 23 2 1 7635.92
1 23 3 1 605.563
1 23 4 1 78078.1
1 24 1 1 19063.5
1 24 2 1 7593.93
1 24 3 1 602.496
1 24 4 1 81269.8
1 25 1 1 19722.5
1 25 2 1 7519.15
1 25 3 1 597.099
1 25 4 1 84203.4
1 26 1 1 20166.6
1 26 2 1 7506.72
1 26 3 1 596.09
1 26 4 1 86884.2
1 27 1 1 20460.8
1 27 2 1 7526.27
1 27 3 1 597.386
1 27 4 1 89321.5
1 28 1 1 20653.1
1 28 2 1 7520.74
1 28 3 1 596.946
1 28 4 1 91527.8
1 29 1 1 20777.4
1 29 2 1 7461.77
1 29 3 1 592.748
1 29 4 1 93516.8
1 30 1 1 20857.1
1 30 2 1 7449.24
1 30 3 1 591.831
1 30 4 1 95303.7
1 31 1 1 20907.7
1 31 2 1 7413.97
1 31 3 1 589.308
1 31 4 1 96903.8
1 32 1 1 20939.7
1 32 2 1 7376.95
1 32 3 1 586.631
1 32 4 1 98332.6
1 33 1 1 20959.9
1 33 2 1 7333.57
1 33 3 1 583.498
1 33 4 1 99605
1 34 1 1 20972.5
1 34 2 1 7267.93
1 34 3 1 578.766
1 34 4 1 100736
1 35 1 1 20980.4
1 35 2 1 7178.91
1 35 3 1 572.341
1 35 4 1 101738
1 36 1 1 20985.3
1 36 2 1 7139.33
1 36 3 1 569.416
1 36 4 1 102624
1 37 1 1 20988.3
1 37 2 1 7130.07
1 37 3 1 568.661
1 37 4 1 103407
1 38 1 1 20990.2
1 38 2 1 7128.68
1 38 3 1 568.481
1 38 4 1 104097
1 39 1 1 20991.3
1 39 2 1 7089.95
1 39 3 1 565.658
1 39 4 1 104705
1 40 1 1 20992.1
1 40 2 1 7099.6
1 40 3 1 566.31
1 40 4 1 105239
1 41 1 1 20992.5
1 41 2 1 7083.82
1 41 3 1 565.165
1 41 4 1 105708
1 42 1 1 20992.8
1 42 2 1 7081.36
1 42 3 1 564.964
1 42 4 1 106119
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215545
1 2 4 1 22727
1 3 1 1 126199
1 3 4 1 19503.6
1 4 1 1 77908
1 4 4 1 16908.4
1 5 1 1 49463
1 5 4 1 14835
1 6 1 1 31927.3
1 6 4 1 13191.5
1 7 1 1 21014.2
1 7 4 1 11898.8
1 8 1 1 14299
1 8 4 1 10890.5
1 9 1 1 10249.5
1 9 4 1 10110.6
1 10 1 1 7862.01
1 10 4 1 9512.98
1 11 1 1 6484.95
1 11 4 1 9059.6
1 12 1 1 5706.54
1 12 4 1 8719.53
1 13 1 1 5274.41
1 13 4 1 8467.76
1 14 1 1 5038.31
1 14 4 1 8284.25
1 15 1 1 4911.13
1 15 4 1 8153.01
1 16 1 1 4843.46
1 16 4 1 8061.44
1 17 1 1 4807.86
1 17 4 1 7999.63
1 18 1 1 4789.3
1 18 4 1 7959.87
1 19 1 1 4779.72
1 19 4 1 7936.21
1 20 1 1 4774.8
1 20 4 1 7924.1
1 21 1 1 2167.34
1 21 4 1 3322.61
1 22 1 1 2564.17
1 22 4 1 3518.13
1 23 1 1 2871.43
1 23 4 1 3701.45
1 24 1 1 3096.59
1 24 4 1 3871.84
1 25 1 1 3255.44
1 25 4 1 4029.07
1 26 1 1 3364.44
1 26 4 1 4173.21
1 27 1 1 3437.68
1 27 4 1 4304.65
1 28 1 1 3486.09
1 28 4 1 4423.91
1 29 1 1 3517.66
1 29 4 1 4531.67
1 30 1 1 3538.04
1 30 4 1 4628.66
1 31 1 1 3551.09
1 31 4 1 4715.66
1 32 1 1 3559.37
1 32 4 1 4793.46
1 33 1 1 3564.6
1 33 4 1 4862.84
1 34 1 1 3567.89
1 34 4 1 4924.55
1 35 1 1 3569.95
1 35 4 1 4979.32
1 36 1 1 3571.23
1 36 4 1 5027.82
1 37 1 1 3572.03
1 37 4 1 5070.69
1 38 1 1 3572.52
1 38 4 1 5108.51
1 39 1 1 3572.83
1 39 4 1 5141.83
1 40 1 1 3573.02
1 40 4 1 5171.13
1 41 1 1 3573.14
1 41 4 1 5196.87
1 42 1 1 3573.21
1 42 4 1 5219.44
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.4
2 3 2 1 141588
2 3 3 1 37724.6
2 4 2 1 81506.2
2 4 3 1 17011.6
2 5 2 1 47452.9
2 5 3 1 8517.77
2 6 2 1 28037.5
2 6 3 1 4829.54
2 7 2 1 17276.9
2 7 3 1 3147.51
2 8 2 1 11540.3
2 8 3 1 2362.19
2 9 2 1 8567.31
2 9 3 1 1990.59
2 10 2 1 7096.15
2 10 3 1 1823.08
2 11 2 1 6393.17
2 11 3 1 1752.07
2 12 2 1 6064.57
2 12 3 1 1722.74
2 13 2 1 5913.65
2 13 3 1 1711.25
2 14 2 1 5840.94
2 14 3 1 1705.49
2 15 2 1 5819.45
2 15 3 1 1706.35
2 16 2 1 5822.69
2 16 3 1 1710.33
2 17 2 1 5816.47
2 17 3 1 1709.91
2 18 2 1 5791.93
2 18 3 1 1703.78
2 19 2 1 5782.06
2 19 3 1 1701.54
2 20 2 1 5791.79
2 20 3 1 1704.98
2 21 2 1 5791.82
2 21 3 1 1704.91
2 22 2 1 5769.68
2 22 3 1 1699.14
2 23 2 1 5729.59
2 23 3 1 1688.52
2 24 2 1 5695.73
2 24 3 1 1680.59
2 25 2 1 5648.57
2 25 3 1 1669.22
2 26 2 1 5607.4
2 26 3 1 1659.02
2 27 2 1 5605.35
2 27 3 1 1659.85
2 28 2 1 5611.39
2 28 3 1 1662.23
2 29 2 1 5588.8
2 29 3 1 1656.32
2 30 2 1 5556.65
2 30 3 1 1647.71
2 31 2 1 5536.72
2 31 3 1 1643.64
2 32 2 1 5506.55
2 32 3 1 1636.29
2 33 2 1 5473.06
2 33 3 1 1628.19
2 34 2 1 5428.84
2 34 3 1 1617.4
2 35 2 1 5366.03
2 35 3 1 1601.77
2 36 2 1 5308.68
2 36 3 1 1587.68
2 37 2 1 5283.95
2 37 3 1 1582.83
2 38 2 1 5277.33
2 38 3 1 1582.18
2 39 2 1 5262.81
2 39 3 1 1578.81
2 40 2 1 5247.86
2 40 3 1 1574.7
2 41 2 1 5245.79
2 41 3 1 1574.92
2 42 2 1 5237.53
2 42 3 1 1572.71
full time series of survey length comp
survey year spp area catch-at-size
