# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 96123.1715648268 0.2
  1 2 4 110616.715864434 0.2
  1 3 4 112096.231640697 0.2
  1 4 4 135901.168520616 0.2
  1 5 4 133278.618410655 0.2
  1 6 4 79582.8894367706 0.2
  1 7 4 87280.9568241245 0.2
  1 8 4 130451.709451148 0.2
  1 9 4 168783.06953645 0.2
  1 10 4 127283.357290339 0.2
  1 11 4 140755.682129918 0.2
  1 12 4 148317.649745401 0.2
  1 13 4 126958.5027292 0.2
  1 14 4 95628.7267167303 0.2
  1 15 4 132876.34118629 0.2
  1 16 4 142344.15777831 0.2
  1 17 4 87986.8678135708 0.2
  1 18 4 107422.938860247 0.2
  1 19 4 74368.1579707771 0.2
  1 20 4 111283.177297924 0.2
  1 21 4 132062.219507342 0.2
  1 22 4 118801.644850359 0.2
  1 23 4 149150.363290856 0.2
  1 24 4 217516.085937445 0.2
  1 25 4 179778.738899627 0.2
  1 26 4 149513.211747336 0.2
  1 27 4 184717.80778202 0.2
  1 28 4 263718.06348198 0.2
  1 29 4 171248.300772931 0.2
  1 30 4 129026.309977268 0.2
  1 31 4 163167.892449828 0.2
  1 32 4 122701.907961286 0.2
  1 33 4 330108.059850166 0.2
  1 34 4 161318.223717251 0.2
  1 35 4 320195.49584899 0.2
  1 36 4 167937.661443796 0.2
  1 37 4 182701.296480378 0.2
  1 38 4 195343.836259162 0.2
  1 39 4 218200.143367851 0.2
  1 40 4 204165.751599183 0.2
  1 41 4 199234.993155625 0.2
  1 42 4 179367.580530289 0.2
  1 1 2 372.141431746427 0.2
  1 4 2 321.317123407511 0.2
  1 5 2 198.142823092511 0.2
  1 6 2 239.67017479033 0.2
  1 7 2 182.211910535309 0.2
  1 8 2 164.39421445147 0.2
  1 9 2 410.093083853648 0.2
  1 10 2 264.717167284211 0.2
  1 11 2 378.477545312135 0.2
  1 12 2 434.170991812083 0.2
  1 13 2 556.263587240176 0.2
  1 14 2 275.785792255656 0.2
  1 15 2 445.997784165583 0.2
  1 16 2 416.212656686286 0.2
  1 17 2 412.147875909533 0.2
