# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 104301.379576076 0.2
  1 2 4 80560.8459640398 0.2
  1 3 4 62473.2612490702 0.2
  1 4 4 120979.494574038 0.2
  1 5 4 65668.873591672 0.2
  1 6 4 104781.949927366 0.2
  1 7 4 104483.765647957 0.2
  1 8 4 95256.7779975936 0.2
  1 9 4 94052.3805430548 0.2
  1 10 4 141517.038726422 0.2
  1 11 4 97476.1082592683 0.2
  1 12 4 133978.329804674 0.2
  1 13 4 132197.401002071 0.2
  1 14 4 125115.702437969 0.2
  1 15 4 148512.161720746 0.2
  1 16 4 125286.019325588 0.2
  1 17 4 134899.700546693 0.2
  1 18 4 146479.324674918 0.2
  1 19 4 161810.408014414 0.2
  1 20 4 132667.073346322 0.2
  1 21 4 145213.22628983 0.2
  1 22 4 129453.878354359 0.2
  1 23 4 214160.721571611 0.2
  1 24 4 157254.341877441 0.2
  1 25 4 119493.048852661 0.2
  1 26 4 159300.075156038 0.2
  1 27 4 114553.477940263 0.2
  1 28 4 166858.372456552 0.2
  1 29 4 207389.741748313 0.2
  1 30 4 198728.393748572 0.2
  1 31 4 177659.452813902 0.2
  1 32 4 141088.911723108 0.2
  1 33 4 234360.663962509 0.2
  1 34 4 190609.72987655 0.2
  1 35 4 190619.183716757 0.2
  1 36 4 246232.361330558 0.2
  1 37 4 221595.982555537 0.2
  1 38 4 183582.580885779 0.2
  1 39 4 195267.429303289 0.2
  1 40 4 234669.821395231 0.2
  1 41 4 215205.948611746 0.2
  1 42 4 246116.25931043 0.2
  1 1 2 158.042467169489 0.2
  1 4 2 164.419595622944 0.2
  1 5 2 144.377211314611 0.2
  1 6 2 186.778926038061 0.2
  1 7 2 163.29955368527 0.2
  1 8 2 182.096577548353 0.2
  1 9 2 224.740074009135 0.2
  1 10 2 299.633070814092 0.2
  1 11 2 329.28577470595 0.2
  1 12 2 514.062410367418 0.2
  1 13 2 450.498726052661 0.2
  1 14 2 272.044078797464 0.2
  1 15 2 368.285091346004 0.2
  1 16 2 506.625211985722 0.2
  1 17 2 435.256536855842 0.2
  1 18 2 804.149707762336 0.2
  1 19 2 1300.664622353 0.2
  1 20 2 2621.83837716237 0.2
  1 21 2 2350.87423932233 0.2
  1 22 2 2040.15973845454 0.2
  1 23 2 2248.76636957986 0.2
  1 24 2 2763.48675723853 0.2
  1 25 2 1903.31518433084 0.2
  1 26 2 1713.94302120463 0.2
  1 27 2 2308.77719815806 0.2
  1 28 2 2074.32224005559 0.2
  1 29 2 2215.66613253224 0.2
  1 30 2 1997.3224222526 0.2
  1 31 2 2790.7911130067 0.2
  1 32 2 2137.31886420093 0.2
  1 33 2 2744.08986143121 0.2
  1 34 2 2864.15087395596 0.2
  1 35 2 3925.17878762031 0.2
  1 36 2 3427.47045881568 0.2
  1 37 2 2807.54620507814 0.2
  1 38 2 1785.85905263563 0.2
  1 39 2 1321.23931639797 0.2
  1 40 2 1322.92446801147 0.2
  1 41 2 894.401273842533 0.2
  1 42 2 738.958460698991 0.2
  1 1 1 21084.9065724089 0.2
  1 2 1 14899.8356910919 0.2
  1 3 1 11671.0035440655 0.2
  1 4 1 12538.8537337017 0.2
  1 5 1 14957.6492933456 0.2
  1 6 1 11787.0950390442 0.2
  1 7 1 8167.79751679409 0.2
  1 8 1 14919.3072101528 0.2
  1 9 1 8080.37932560701 0.2
  1 10 1 11785.9297015098 0.2
  1 11 1 9148.30299949798 0.2
  1 12 1 11548.4186015469 0.2
  1 13 1 8990.99322067778 0.2
  1 14 1 7721.29746044586 0.2
  1 15 1 6554.08095048238 0.2
  1 16 1 5075.72635819102 0.2
  1 17 1 4406.95283529161 0.2
  1 18 1 7128.25799204303 0.2
  1 19 1 4250.27535096046 0.2
  1 20 1 3613.39356983208 0.2
  1 21 1 4609.18358860323 0.2
  1 22 1 5544.66440889829 0.2
  1 23 1 5917.92677988006 0.2
  1 24 1 6563.69298708482 0.2
  1 25 1 6231.80489701326 0.2
  1 26 1 8625.05673359539 0.2
  1 27 1 4429.3225266308 0.2
  1 28 1 5806.61364383295 0.2
  1 29 1 4150.24294496886 0.2
  1 30 1 4587.57435865624 0.2
  1 31 1 4461.90945122852 0.2
  1 32 1 3643.10472894333 0.2
  1 33 1 4300.38112339884 0.2
  1 34 1 3500.93669087749 0.2
  1 35 1 2198.65761287488 0.2
  1 36 1 2158.75249180908 0.2
  1 37 1 2078.23322969782 0.2
  1 38 1 2521.50677840232 0.2
  1 39 1 2509.53862025871 0.2
  1 40 1 3137.93396048391 0.2
  1 41 1 2975.78408680858 0.2
  1 42 1 1915.70585884519 0.2
  1 1 3 104.370979557494 0.2
  1 2 3 111.911238243225 0.2
  1 3 3 195.562297732052 0.2
  1 4 3 360.212042559846 0.2
  1 5 3 614.249504338226 0.2
  1 6 3 521.99543558849 0.2
  1 7 3 671.06651794724 0.2
  1 8 3 591.433992740258 0.2
  1 9 3 562.22198154619 0.2
  1 10 3 373.184606213737 0.2
  1 11 3 284.392660599688 0.2
  1 12 3 261.961857050137 0.2
  1 13 3 452.474856547361 0.2
  1 14 3 407.244141432373 0.2
  1 15 3 472.545950295106 0.2
  1 16 3 561.999955757536 0.2
