# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 82711.1265947841 0.2
  1 2 4 122514.297074917 0.2
  1 3 4 87863.8941477104 0.2
  1 4 4 81581.2583476278 0.2
  1 5 4 128738.754198375 0.2
  1 6 4 78438.3353826718 0.2
  1 7 4 116579.987935449 0.2
  1 8 4 99354.4601408686 0.2
  1 9 4 113799.408112017 0.2
  1 10 4 107589.121998006 0.2
  1 11 4 101388.962443011 0.2
  1 12 4 142287.781278937 0.2
  1 13 4 103283.883882619 0.2
  1 14 4 103870.399121532 0.2
  1 15 4 129617.916802954 0.2
  1 16 4 168815.026318152 0.2
  1 17 4 114349.311752436 0.2
  1 18 4 113891.682632299 0.2
  1 19 4 130786.393850327 0.2
  1 20 4 137366.435378998 0.2
  1 21 4 157447.982849993 0.2
  1 22 4 180272.554849106 0.2
  1 23 4 176730.356208353 0.2
  1 24 4 160372.685526833 0.2
  1 25 4 138687.265454166 0.2
  1 26 4 224502.684280952 0.2
  1 27 4 190266.689335592 0.2
  1 28 4 135894.532912849 0.2
  1 29 4 175729.617315922 0.2
  1 30 4 180178.526099555 0.2
  1 31 4 174533.673127456 0.2
  1 32 4 198341.297379669 0.2
  1 33 4 218837.472956606 0.2
  1 34 4 210466.67783851 0.2
  1 35 4 301789.037952471 0.2
  1 36 4 183568.116925619 0.2
  1 37 4 158256.93569293 0.2
  1 38 4 230594.565235279 0.2
  1 39 4 228659.418890755 0.2
  1 40 4 266738.237371618 0.2
  1 41 4 155277.644597256 0.2
  1 42 4 228940.066473463 0.2
  1 1 2 192.498943864935 0.2
  1 4 2 139.208216048767 0.2
  1 5 2 192.541465518321 0.2
  1 6 2 169.012587124231 0.2
  1 7 2 151.451650404611 0.2
  1 8 2 147.260683644746 0.2
  1 9 2 125.172389836822 0.2
  1 10 2 323.815536266683 0.2
  1 11 2 381.547325040425 0.2
  1 12 2 367.271404744562 0.2
  1 13 2 399.107113374803 0.2
  1 14 2 489.04951936742 0.2
  1 15 2 324.67818979013 0.2
  1 16 2 413.524541162728 0.2
  1 17 2 721.576388569464 0.2
  1 18 2 821.800896717874 0.2
  1 19 2 1631.21239176754 0.2
  1 20 2 2613.7184434243 0.2
  1 21 2 2666.9089496059 0.2
  1 22 2 2346.40581028535 0.2
  1 23 2 2247.03612306007 0.2
  1 24 2 2789.37825233283 0.2
  1 25 2 2522.77399969615 0.2
  1 26 2 1536.747080348 0.2
  1 27 2 1988.76690543497 0.2
  1 28 2 2136.86587745211 0.2
  1 29 2 1957.28212464077 0.2
  1 30 2 1968.49636257922 0.2
  1 31 2 2379.41225040519 0.2
  1 32 2 2529.92631184357 0.2
  1 33 2 3621.52967344512 0.2
  1 34 2 3312.03954198203 0.2
  1 35 2 2455.34524405886 0.2
  1 36 2 4182.55947391555 0.2
  1 37 2 2327.32608072351 0.2
  1 38 2 2077.25213476175 0.2
  1 39 2 1452.64254377251 0.2
  1 40 2 1550.48579240501 0.2
  1 41 2 919.607314227689 0.2
  1 42 2 1158.60826537852 0.2
  1 1 1 30648.4937808338 0.2
  1 2 1 26047.1435566576 0.2
  1 3 1 16308.251516079 0.2
  1 4 1 10764.5896927603 0.2
  1 5 1 13589.2215601191 0.2
  1 6 1 11930.7613976249 0.2
  1 7 1 10204.6402220821 0.2
  1 8 1 11037.9806394741 0.2
  1 9 1 11269.3440481239 0.2
  1 10 1 14307.6990130723 0.2
  1 11 1 9013.88891421485 0.2
  1 12 1 14377.5868383177 0.2
  1 13 1 12753.1296235482 0.2
  1 14 1 6133.75369278524 0.2
  1 15 1 5772.5492212538 0.2
  1 16 1 5948.21723691003 0.2
  1 17 1 5974.4796849609 0.2
  1 18 1 5492.84134096973 0.2
  1 19 1 6441.0155333035 0.2
  1 20 1 3949.28429403792 0.2
  1 21 1 6021.11789388923 0.2
  1 22 1 5744.55977140434 0.2
  1 23 1 6387.2406555571 0.2
  1 24 1 6009.68008053088 0.2
  1 25 1 7458.64309627649 0.2
