full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349460
1 2 2 1 320269
1 2 3 1 49507.3
1 2 4 1 170032
1 3 1 1 214159
1 3 2 1 168601
1 3 3 1 19365.8
1 3 4 1 147248
1 4 1 1 135534
1 4 2 1 91606.8
1 4 3 1 8033.16
1 4 4 1 129159
1 5 1 1 87499.8
1 5 2 1 51781.3
1 5 3 1 3621.89
1 5 4 1 114950
1 6 1 1 57732.8
1 6 2 1 30899.8
1 6 3 1 1817.12
1 6 4 1 103912
1 7 1 1 39434
1 7 2 1 20295
1 7 3 1 1057.39
1 7 4 1 95442.1
1 8 1 1 28390.1
1 8 2 1 14922.6
1 8 3 1 723.867
1 8 4 1 89028.7
1 9 1 1 21867.8
1 9 2 1 12308.1
1 9 3 1 576.204
1 9 4 1 84247
1 10 1 1 18098.1
1 10 2 1 11099.9
1 10 3 1 511.74
1 10 4 1 80746.3
1 11 1 1 15962.8
1 11 2 1 10530.8
1 11 3 1 482.71
1 11 4 1 78240.6
1 12 1 1 14774.9
1 12 2 1 10285.4
1 12 3 1 470.419
1 12 4 1 76499
1 13 1 1 14124.7
1 13 2 1 10149.1
1 13 3 1 463.973
1 13 4 1 75336.7
1 14 1 1 13773.8
1 14 2 1 10092.3
1 14 3 1 461.325
1 14 4 1 74607.4
1 15 1 1 13586.8
1 15 2 1 10094.5
1 15 3 1 461.307
1 15 4 1 74196.2
1 16 1 1 13488.2
1 16 2 1 10096.5
1 16 3 1 461.369
1 16 4 1 74014.1
1 17 1 1 13436.8
1 17 2 1 10048.4
1 17 3 1 459.436
1 17 4 1 73992.6
1 18 1 1 13410.2
1 18 2 1 9990.92
1 18 3 1 457.111
1 18 4 1 74079.8
1 19 1 1 13396.6
1 19 2 1 10013.1
1 19 3 1 457.993
1 19 4 1 74236.8
1 20 1 1 13389.6
1 20 2 1 10010.7
1 20 3 1 457.894
1 20 4 1 74434.9
1 21 1 1 15877.5
1 21 2 1 9996.73
1 21 3 1 457.319
1 21 4 1 79023.4
1 22 1 1 17822.8
1 22 2 1 9909.5
1 22 3 1 453.751
1 22 4 1 83339.6
1 23 1 1 19257.9
1 23 2 1 9852.6
1 23 3 1 451.353
1 23 4 1 87363
1 24 1 1 20275.5
1 24 2 1 9789.14
1 24 3 1 448.673
1 24 4 1 91084.9
1 25 1 1 20976.4
1 25 2 1 9679.19
1 25 3 1 444.086
1 25 4 1 94505.2
1 26 1 1 21448.7
1 26 2 1 9659.12
1 26 3 1 443.153
1 26 4 1 97630.5
1 27 1 1 21761.7
1 27 2 1 9685.27
1 27 3 1 444.142
1 27 4 1 100472
1 28 1 1 21966.2
1 28 2 1 9675.56
1 28 3 1 443.699
1 28 4 1 103044
1 29 1 1 22098.4
1 29 2 1 9589.21
1 29 3 1 440.145
1 29 4 1 105362
1 30 1 1 22183.1
1 30 2 1 9569.89
1 30 3 1 439.328
1 30 4 1 107445
1 31 1 1 22237
1 31 2 1 9518.13
1 31 3 1 437.185
1 31 4 1 109310
1 32 1 1 22271.1
1 32 2 1 9464.04
1 32 3 1 434.922
1 32 4 1 110976
1 33 1 1 22292.5
1 33 2 1 9401.01
1 33 3 1 432.288
1 33 4 1 112459
1 34 1 1 22305.9
1 34 2 1 9306.23
1 34 3 1 428.336
1 34 4 1 113777
1 35 1 1 22314.3
1 35 2 1 9178.21
1 35 3 1 422.992
1 35 4 1 114945
1 36 1 1 22319.5
1 36 2 1 9121.37
1 36 3 1 420.561
1 36 4 1 115979
1 37 1 1 22322.7
1 37 2 1 9108.07
1 37 3 1 419.928
1 37 4 1 116892
1 38 1 1 22324.7
1 38 2 1 9105.94
1 38 3 1 419.768
1 38 4 1 117697
1 39 1 1 22326
1 39 2 1 9050.19
1 39 3 1 417.415
1 39 4 1 118405
1 40 1 1 22326.7
1 40 2 1 9063.82
1 40 3 1 417.946
1 40 4 1 119028
1 41 1 1 22327.2
1 41 2 1 9041
1 41 3 1 416.986
1 41 4 1 119574
1 42 1 1 22327.5
1 42 2 1 9037.26
1 42 3 1 416.81
1 42 4 1 120053
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215545
1 2 4 1 22727
1 3 1 1 126206
1 3 4 1 19507.2
1 4 1 1 77956
1 4 4 1 16925.9
1 5 1 1 49569.8
1 5 4 1 14879.5
1 6 1 1 32092
1 6 4 1 13275.5
1 7 1 1 21225.9
1 7 4 1 12033.3
1 8 1 1 14544.7
1 8 4 1 11083.4
1 9 1 1 10518
1 9 4 1 10367.5
1 10 1 1 8144.93
1 10 4 1 9836.79
1 11 1 1 6776.61
1 11 4 1 9451.05
1 12 1 1 6003.33
1 12 4 1 9177.56
1 13 1 1 5574.12
1 13 4 1 8989.92
1 14 1 1 5339.66
1 14 4 1 8867.08
1 15 1 1 5213.37
1 15 4 1 8792.38
1 16 1 1 5146.19
1 16 4 1 8752.83
1 17 1 1 5110.84
1 17 4 1 8738.34
1 18 1 1 5092.42
1 18 4 1 8741.24
1 19 1 1 5082.9
1 19 4 1 8755.69
1 20 1 1 5078.03
1 20 4 1 8777.38
1 21 1 1 2305.06
1 21 4 1 3692.87
1 22 1 1 2727.15
1 22 4 1 3920.95
1 23 1 1 3053.96
1 23 4 1 4134.73
1 24 1 1 3293.44
1 24 4 1 4333.4
1 25 1 1 3462.4
1 25 4 1 4516.69
1 26 1 1 3578.34
1 26 4 1 4684.72
1 27 1 1 3656.24
1 27 4 1 4837.92
1 28 1 1 3707.73
1 28 4 1 4976.93
1 29 1 1 3741.31
1 29 4 1 5102.53
1 30 1 1 3762.99
1 30 4 1 5215.57
1 31 1 1 3776.86
1 31 4 1 5316.98
1 32 1 1 3785.67
1 32 4 1 5407.66
1 33 1 1 3791.24
1 33 4 1 5488.53
1 34 1 1 3794.74
1 34 4 1 5560.47
1 35 1 1 3796.93
1 35 4 1 5624.32
1 36 1 1 3798.29
1 36 4 1 5680.86
1 37 1 1 3799.14
1 37 4 1 5730.84
1 38 1 1 3799.66
1 38 4 1 5774.93
1 39 1 1 3799.99
1 39 4 1 5813.78
1 40 1 1 3800.19
1 40 4 1 5847.94
1 41 1 1 3800.32
1 41 4 1 5877.95
1 42 1 1 3800.39
1 42 4 1 5904.27
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.3
2 3 2 1 141602
2 3 3 1 37696.8
2 4 2 1 81797
2 4 3 1 16907.8
2 5 2 1 48164.9
2 5 3 1 8328.39
2 6 2 1 29108.8
2 6 3 1 4568.23
2 7 2 1 18594
2 7 3 1 2834.24
2 8 2 1 13012.2
2 8 3 1 2013.44
2 9 2 1 10133.9
2 9 3 1 1618.23
2 10 2 1 8727.92
2 10 3 1 1433.54
2 11 2 1 8070.71
2 11 3 1 1349.9
2 12 2 1 7770.47
2 12 3 1 1311.89
2 13 2 1 7633.85
2 13 3 1 1294.54
2 14 2 1 7564.03
2 14 3 1 1285.1
2 15 2 1 7544.57
2 15 3 1 1282.7
2 16 2 1 7549.71
2 16 3 1 1283.77
2 17 2 1 7537.15
2 17 3 1 1281.81
2 18 2 1 7496.92
2 18 3 1 1275.52
2 19 2 1 7476.9
2 19 3 1 1272.62
2 20 2 1 7484.93
2 20 3 1 1274.55
2 21 2 1 7479.67
2 21 3 1 1273.71
2 22 2 1 7443.38
2 22 3 1 1268.3
2 23 2 1 7382.12
2 23 3 1 1259
2 24 2 1 7330.42
2 24 3 1 1252
2 25 2 1 7260.3
2 25 3 1 1242.23
2 26 2 1 7199.12
2 26 3 1 1233.48
2 27 2 1 7194.33
2 27 3 1 1233.92
2 28 2 1 7201.41
2 28 3 1 1235.67
2 29 2 1 7167.59
2 29 3 1 1230.56
2 30 2 1 7120.15
2 30 3 1 1223.23
2 31 2 1 7090.51
2 31 3 1 1219.72
2 32 2 1 7046.36
2 32 3 1 1213.49
2 33 2 1 6997.63
2 33 3 1 1206.66
2 34 2 1 6933.69
2 34 3 1 1197.62
2 35 2 1 6843.35
2 35 3 1 1184.59
2 36 2 1 6761.01
2 36 3 1 1172.87
2 37 2 1 6725.54
2 37 3 1 1168.83
2 38 2 1 6716
2 38 3 1 1168.27
2 39 2 1 6695.14
2 39 3 1 1165.44
2 40 2 1 6673.52
2 40 3 1 1161.99
2 41 2 1 6670.39
2 41 3 1 1162.15
2 42 2 1 6658.4
2 42 3 1 1160.28
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0635131 1.84576 5.53463 6.12835 1.68265
