full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349459
1 2 2 1 320261
1 2 3 1 49507.1
1 2 4 1 170033
1 3 1 1 214154
1 3 2 1 168551
1 3 3 1 19364.9
1 3 4 1 147254
1 4 1 1 135522
1 4 2 1 91487.6
1 4 3 1 8031.3
1 4 4 1 129174
1 5 1 1 87481.3
1 5 2 1 51600.6
1 5 3 1 3619.14
1 5 4 1 114977
1 6 1 1 57708.9
1 6 2 1 30677
1 6 3 1 1813.71
1 6 4 1 103956
1 7 1 1 39406.1
1 7 2 1 20045.3
1 7 3 1 1053.51
1 7 4 1 95505.3
1 8 1 1 28359.5
1 8 2 1 14656.8
1 8 3 1 719.681
1 8 4 1 89112.8
1 9 1 1 21835.4
1 9 2 1 12031.6
1 9 3 1 571.803
1 9 4 1 84353
1 10 1 1 18064.8
1 10 2 1 10814.9
1 10 3 1 507.175
1 10 4 1 80874.4
1 11 1 1 15928.8
1 11 2 1 10240.2
1 11 3 1 478.034
1 11 4 1 78390.6
1 12 1 1 14740.6
1 12 2 1 9990.68
1 12 3 1 465.663
1 12 4 1 76670.1
1 13 1 1 14090.2
1 13 2 1 9852.48
1 13 3 1 459.17
1 13 4 1 75527.8
1 14 1 1 13739.2
1 14 2 1 9794.23
1 14 3 1 456.484
1 14 4 1 74817.2
1 15 1 1 13552.1
1 15 2 1 9794.74
1 15 3 1 456.431
1 15 4 1 74423.2
1 16 1 1 13453.5
1 16 2 1 9795.65
1 16 3 1 456.468
1 16 4 1 74256.8
1 17 1 1 13402.1
1 17 2 1 9748.19
1 17 3 1 454.528
1 17 4 1 74249.4
1 18 1 1 13375.5
1 18 2 1 9691.7
1 18 3 1 452.203
1 18 4 1 74349.3
1 19 1 1 13361.8
1 19 2 1 9712.96
1 19 3 1 453.067
1 19 4 1 74517.5
1 20 1 1 13354.9
1 20 2 1 9710.39
1 20 3 1 452.958
1 20 4 1 74725.6
1 21 1 1 15836.2
1 21 2 1 9696.53
1 21 3 1 452.377
1 21 4 1 79339.8
1 22 1 1 17776.5
1 22 2 1 9611.35
1 22 3 1 448.824
1 22 4 1 83680
1 23 1 1 19208
1 23 2 1 9555.77
1 23 3 1 446.435
1 23 4 1 87725.9
1 24 1 1 20222.9
1 24 2 1 9493.82
1 24 3 1 443.767
1 24 4 1 91468.5
1 25 1 1 20921.9
1 25 2 1 9386.59
1 25 3 1 439.205
1 25 4 1 94907.8
1 26 1 1 21393
1 26 2 1 9366.98
1 26 3 1 438.275
1 26 4 1 98050.5
1 27 1 1 21705.2
1 27 2 1 9392.41
1 27 3 1 439.256
1 27 4 1 100908
1 28 1 1 21909.2
1 28 2 1 9382.89
1 28 3 1 438.813
1 28 4 1 103494
1 29 1 1 22041
1 29 2 1 9298.68
1 29 3 1 435.278
1 29 4 1 105825
1 30 1 1 22125.5
1 30 2 1 9279.81
1 30 3 1 434.465
1 30 4 1 107920
1 31 1 1 22179.3
1 31 2 1 9229.33
1 31 3 1 432.333
1 31 4 1 109795
1 32 1 1 22213.3
1 32 2 1 9176.59
1 32 3 1 430.083
1 32 4 1 111470
1 33 1 1 22234.6
1 33 2 1 9115.15
1 33 3 1 427.464
1 33 4 1 112962
1 34 1 1 22248
1 34 2 1 9022.76
1 34 3 1 423.535
1 34 4 1 114287
1 35 1 1 22256.4
1 35 2 1 8898.01
1 35 3 1 418.224
1 35 4 1 115462
1 36 1 1 22261.6
1 36 2 1 8842.65
1 36 3 1 415.808
1 36 4 1 116501
1 37 1 1 22264.8
1 37 2 1 8829.7
1 37 3 1 415.181
1 37 4 1 117419
1 38 1 1 22266.8
1 38 2 1 8827.64
1 38 3 1 415.022
1 38 4 1 118228
1 39 1 1 22268
1 39 2 1 8773.32
1 39 3 1 412.683
1 39 4 1 118941
1 40 1 1 22268.8
1 40 2 1 8786.59
1 40 3 1 413.211
1 40 4 1 119567
1 41 1 1 22269.2
1 41 2 1 8764.35
1 41 3 1 412.256
1 41 4 1 120116
1 42 1 1 22269.5
1 42 2 1 8760.71
1 42 3 1 412.081
1 42 4 1 120598
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215545
1 2 4 1 22727
1 3 1 1 126205
1 3 4 1 19507.3
1 4 1 1 77953.9
1 4 4 1 16926.6
1 5 1 1 49565.2
1 5 4 1 14881.3
1 6 1 1 32084.8
1 6 4 1 13278.8
1 7 1 1 21216.7
1 7 4 1 12038.5
1 8 1 1 14534
1 8 4 1 11091
1 9 1 1 10506.3
1 9 4 1 10377.6
1 10 1 1 8132.64
1 10 4 1 9849.45
1 11 1 1 6763.95
1 11 4 1 9466.35
1 12 1 1 5990.44
1 12 4 1 9195.46
1 13 1 1 5561.11
1 13 4 1 9010.33
1 14 1 1 5326.57
1 14 4 1 8889.86
1 15 1 1 5200.25
1 15 4 1 8817.37
1 16 1 1 5133.04
1 16 4 1 8779.85
1 17 1 1 5097.68
1 17 4 1 8767.22
1 18 1 1 5079.25
1 18 4 1 8771.78
1 19 1 1 5069.74
1 19 4 1 8787.72
1 20 1 1 5064.86
1 20 4 1 8810.73
1 21 1 1 2299.08
1 21 4 1 3707.34
1 22 1 1 2720.07
1 22 4 1 3936.69
1 23 1 1 3046.03
1 23 4 1 4151.67
1 24 1 1 3284.89
1 24 4 1 4351.44
1 25 1 1 3453.41
1 25 4 1 4535.75
1 26 1 1 3569.05
1 26 4 1 4704.71
1 27 1 1 3646.75
1 27 4 1 4858.76
1 28 1 1 3698.1
1 28 4 1 4998.54
1 29 1 1 3731.6
1 29 4 1 5124.84
1 30 1 1 3753.22
1 30 4 1 5238.51
1 31 1 1 3767.06
1 31 4 1 5340.48
1 32 1 1 3775.85
1 32 4 1 5431.67
1 33 1 1 3781.4
1 33 4 1 5512.99
1 34 1 1 3784.88
1 34 4 1 5585.33
1 35 1 1 3787.07
1 35 4 1 5649.53
1 36 1 1 3788.43
1 36 4 1 5706.38
1 37 1 1 3789.28
1 37 4 1 5756.64
1 38 1 1 3789.8
1 38 4 1 5800.98
1 39 1 1 3790.12
1 39 4 1 5840.04
1 40 1 1 3790.33
1 40 4 1 5874.4
1 41 1 1 3790.45
1 41 4 1 5904.57
1 42 1 1 3790.53
1 42 4 1 5931.04
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.3
2 3 2 1 141600
2 3 3 1 37695.9
2 4 2 1 81760.1
2 4 3 1 16904.4
2 5 2 1 48075
2 5 3 1 8322.14
2 6 2 1 28973.6
2 6 3 1 4559.65
2 7 2 1 18427.7
2 7 3 1 2824.03
2 8 2 1 12826.2
2 8 3 1 2002.13
2 9 2 1 9935.45
2 9 3 1 1606.21
2 10 2 1 8520.81
2 10 3 1 1421.01
2 11 2 1 7857.2
2 11 3 1 1336.99
2 12 2 1 7552.56
2 12 3 1 1298.73
2 13 2 1 7413.09
2 13 3 1 1281.21
2 14 2 1 7341.68
2 14 3 1 1271.67
2 15 2 1 7320.84
2 15 3 1 1269.17
2 16 2 1 7324.75
2 16 3 1 1270.15
2 17 2 1 7311.82
2 17 3 1 1268.15
2 18 2 1 7272.16
2 18 3 1 1261.86
2 19 2 1 7252.31
2 19 3 1 1258.94
2 20 2 1 7259.88
2 20 3 1 1260.82
2 21 2 1 7254.54
2 21 3 1 1259.96
2 22 2 1 7219
2 22 3 1 1254.56
2 23 2 1 7159.17
2 23 3 1 1245.3
2 24 2 1 7108.69
2 24 3 1 1238.33
2 25 2 1 7040.28
2 25 3 1 1228.61
2 26 2 1 6980.6
2 26 3 1 1219.9
2 27 2 1 6975.88
2 27 3 1 1220.34
2 28 2 1 6982.74
2 28 3 1 1222.07
2 29 2 1 6949.73
2 29 3 1 1216.99
2 30 2 1 6903.46
2 30 3 1 1209.7
2 31 2 1 6874.54
2 31 3 1 1206.2
2 32 2 1 6831.49
2 32 3 1 1200
2 33 2 1 6783.99
2 33 3 1 1193.21
2 34 2 1 6721.66
2 34 3 1 1184.22
2 35 2 1 6633.63
2 35 3 1 1171.28
2 36 2 1 6553.41
2 36 3 1 1159.62
2 37 2 1 6518.86
2 37 3 1 1155.62
2 38 2 1 6509.57
2 38 3 1 1155.05
2 39 2 1 6489.25
2 39 3 1 1152.24
2 40 2 1 6468.19
2 40 3 1 1148.81
2 41 2 1 6465.14
2 41 3 1 1148.97
2 42 2 1 6453.45
2 42 3 1 1147.12
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0596583 1.73373 5.19871 5.7564 1.58052
