# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  166
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 109372.737907489 0.2
  1 2 4 91018.9041254706 0.2
  1 3 4 97157.2885336721 0.2
  1 4 4 94333.1889025494 0.2
  1 5 4 138823.559970373 0.2
  1 6 4 69625.5536817403 0.2
  1 7 4 135211.942348824 0.2
  1 8 4 79628.3901600031 0.2
  1 9 4 116468.740234328 0.2
  1 10 4 90738.9863862655 0.2
  1 11 4 125013.501993153 0.2
  1 12 4 100845.937361738 0.2
  1 13 4 133756.201614532 0.2
  1 14 4 89462.939623714 0.2
  1 15 4 107868.58139165 0.2
  1 16 4 99187.7658298578 0.2
  1 17 4 149897.294715784 0.2
  1 18 4 98573.0484833378 0.2
  1 19 4 147495.471375353 0.2
  1 20 4 153965.946423393 0.2
  1 21 4 165448.822708971 0.2
  1 22 4 170113.352666781 0.2
  1 23 4 187541.954862442 0.2
  1 24 4 142740.460478827 0.2
  1 25 4 196291.330001681 0.2
  1 26 4 216572.390926573 0.2
  1 27 4 192727.190817198 0.2
  1 28 4 143979.379688661 0.2
  1 29 4 216509.799992393 0.2
  1 30 4 189527.301632495 0.2
  1 31 4 187625.239370513 0.2
  1 32 4 172643.757847605 0.2
  1 33 4 192288.225765482 0.2
  1 34 4 229340.425768313 0.2
  1 35 4 216848.025503854 0.2
  1 36 4 201736.568853193 0.2
  1 37 4 202272.163717223 0.2
  1 38 4 185092.904256663 0.2
  1 39 4 226264.927559925 0.2
  1 40 4 258456.671354754 0.2
  1 41 4 244153.86131822 0.2
  1 42 4 305178.65086415 0.2
  1 1 2 164.674606083179 0.2
  1 4 2 106.411286605696 0.2
  1 5 2 119.066445985214 0.2
  1 6 2 182.956660457779 0.2
  1 7 2 186.175849132646 0.2
  1 8 2 150.259131288334 0.2
  1 9 2 261.334798631829 0.2
  1 10 2 231.189358194356 0.2
  1 11 2 360.603770516474 0.2
  1 12 2 258.641885802075 0.2
  1 13 2 520.830834397041 0.2
  1 14 2 415.48843173751 0.2
  1 15 2 309.882883827903 0.2
  1 16 2 510.32875263781 0.2
  1 17 2 514.893205405549 0.2
  1 18 2 999.514997270943 0.2
  1 19 2 1320.80944763603 0.2
  1 20 2 2821.22811910281 0.2
  1 21 2 2809.1319469549 0.2
  1 22 2 2723.84854601099 0.2
  1 23 2 2453.04234565945 0.2
  1 24 2 2148.64925856741 0.2
  1 25 2 1988.05030181575 0.2
  1 26 2 1697.93458737953 0.2
  1 27 2 2367.06333012715 0.2
  1 28 2 2068.14019292446 0.2
  1 29 2 1390.84438708638 0.2
  1 30 2 1796.21054882478 0.2
