full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349432
1 2 2 1 320233
1 2 3 1 49506.3
1 2 4 1 170040
1 3 1 1 213965
1 3 2 1 168390
1 3 3 1 19361.4
1 3 4 1 147287
1 4 1 1 135098
1 4 2 1 91100.9
1 4 3 1 8024.04
1 4 4 1 129255
1 5 1 1 86822.4
1 5 2 1 51014.5
1 5 3 1 3608.42
1 5 4 1 115130
1 6 1 1 56857
1 6 2 1 29954.6
1 6 3 1 1800.36
1 6 4 1 104199
1 7 1 1 38413.1
1 7 2 1 19235.6
1 7 3 1 1038.3
1 7 4 1 95853
1 8 1 1 27271.3
1 8 2 1 13794.9
1 8 3 1 703.24
1 8 4 1 89575.5
1 9 1 1 20686.6
1 9 2 1 11134.1
1 9 3 1 554.487
1 9 4 1 84936
1 10 1 1 16879
1 10 2 1 9889.56
1 10 3 1 489.192
1 10 4 1 81579.5
1 11 1 1 14721.3
1 11 2 1 9296.24
1 11 3 1 459.592
1 11 4 1 79215.9
1 12 1 1 13520.7
1 12 2 1 9032.94
1 12 3 1 446.881
1 12 4 1 77611.5
1 13 1 1 12863.3
1 13 2 1 8887.9
1 13 3 1 440.18
1 13 4 1 76579.3
1 14 1 1 12508.4
1 14 2 1 8824.32
1 14 3 1 437.327
1 14 4 1 75971.4
1 15 1 1 12319.3
1 15 2 1 8818.75
1 15 3 1 437.113
1 15 4 1 75672.1
1 16 1 1 12219.6
1 16 2 1 8815.74
1 16 3 1 437.03
1 16 4 1 75592
1 17 1 1 12167.6
1 17 2 1 8769.56
1 17 3 1 435.045
1 17 4 1 75662.6
1 18 1 1 12140.7
1 18 2 1 8715.74
1 18 3 1 432.7
1 18 4 1 75832.2
1 19 1 1 12126.9
1 19 2 1 8733.71
1 19 3 1 433.478
1 19 4 1 76062.4
1 20 1 1 12119.9
1 20 2 1 8730.07
1 20 3 1 433.316
1 20 4 1 76325.1
1 21 1 1 14371.4
1 21 2 1 8716.27
1 21 3 1 432.702
1 21 4 1 81080.6
1 22 1 1 16131.9
1 22 2 1 8637.28
1 22 3 1 429.198
1 22 4 1 85553.4
1 23 1 1 17430.8
1 23 2 1 8585.74
1 23 3 1 426.843
1 23 4 1 89722.6
1 24 1 1 18351.7
1 24 2 1 8528.51
1 24 3 1 424.221
1 24 4 1 93579.2
1 25 1 1 18986.1
1 25 2 1 8429.75
1 25 3 1 419.752
1 25 4 1 97123.3
1 26 1 1 19413.6
1 26 2 1 8411.5
1 26 3 1 418.832
1 26 4 1 100362
1 27 1 1 19696.8
1 27 2 1 8434.65
1 27 3 1 419.779
1 27 4 1 103306
1 28 1 1 19881.9
1 28 2 1 8425.66
1 28 3 1 419.335
1 28 4 1 105970
1 29 1 1 20001.6
1 29 2 1 8348.01
1 29 3 1 415.867
1 29 4 1 108373
1 30 1 1 20078.2
1 30 2 1 8330.43
1 30 3 1 415.06
1 30 4 1 110531
1 31 1 1 20127
1 31 2 1 8283.84
1 31 3 1 412.966
1 31 4 1 112463
1 32 1 1 20157.8
1 32 2 1 8235.2
1 32 3 1 410.757
1 32 4 1 114189
1 33 1 1 20177.2
1 33 2 1 8178.6
1 33 3 1 408.189
1 33 4 1 115726
1 34 1 1 20189.4
1 34 2 1 8093.6
1 34 3 1 404.343
1 34 4 1 117091
1 35 1 1 20196.9
1 35 2 1 7978.95
1 35 3 1 399.148
1 35 4 1 118302
1 36 1 1 20201.7
1 36 2 1 7928.09
1 36 3 1 396.785
1 36 4 1 119373
1 37 1 1 20204.6
1 37 2 1 7916.21
1 37 3 1 396.17
1 37 4 1 120319
1 38 1 1 20206.4
1 38 2 1 7914.3
1 38 3 1 396.013
1 38 4 1 121153
1 39 1 1 20207.5
1 39 2 1 7864.37
1 39 3 1 393.725
1 39 4 1 121887
1 40 1 1 20208.2
1 40 2 1 7876.52
1 40 3 1 394.238
1 40 4 1 122532
1 41 1 1 20208.6
1 41 2 1 7856.05
1 41 3 1 393.302
1 41 4 1 123098
1 42 1 1 20208.9
1 42 2 1 7852.66
1 42 3 1 393.129
1 42 4 1 123595
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215545
1 2 4 1 22727.1
1 3 1 1 126195
1 3 4 1 19508.1
1 4 1 1 77879.8
1 4 4 1 16930.3
1 5 1 1 49400.2
1 5 4 1 14890.8
1 6 1 1 31830.6
1 6 4 1 13296.9
1 7 1 1 20889.9
1 7 4 1 12067.4
1 8 1 1 14154.7
1 8 4 1 11132.4
1 9 1 1 10091.8
1 9 4 1 10432.8
1 10 1 1 7695.86
1 10 4 1 9919.08
1 11 1 1 6313.65
1 11 4 1 9550.53
1 12 1 1 5532.23
1 12 4 1 9293.96
1 13 1 1 5098.38
1 13 4 1 9122.62
1 14 1 1 4861.33
1 14 4 1 9015.2
1 15 1 1 4733.62
1 15 4 1 8954.87
1 16 1 1 4665.67
1 16 4 1 8928.54
1 17 1 1 4629.91
1 17 4 1 8926.08
1 18 1 1 4611.28
1 18 4 1 8939.81
1 19 1 1 4601.65
1 19 4 1 8963.95
1 20 1 1 4596.72
1 20 4 1 8994.23
1 21 1 1 2086.46
1 21 4 1 3786.97
1 22 1 1 2468.46
1 22 4 1 4023.32
1 23 1 1 2764.23
1 23 4 1 4244.85
1 24 1 1 2980.97
1 24 4 1 4450.7
1 25 1 1 3133.88
1 25 4 1 4640.61
1 26 1 1 3238.81
1 26 4 1 4814.71
1 27 1 1 3309.32
1 27 4 1 4973.44
1 28 1 1 3355.91
1 28 4 1 5117.47
1 29 1 1 3386.31
1 29 4 1 5247.6
1 30 1 1 3405.93
1 30 4 1 5364.73
1 31 1 1 3418.49
1 31 4 1 5469.8
1 32 1 1 3426.46
1 32 4 1 5563.76
1 33 1 1 3431.5
1 33 4 1 5647.55
1 34 1 1 3434.66
1 34 4 1 5722.08
1 35 1 1 3436.64
1 35 4 1 5788.24
1 36 1 1 3437.88
1 36 4 1 5846.82
1 37 1 1 3438.65
1 37 4 1 5898.61
1 38 1 1 3439.12
1 38 4 1 5944.3
1 39 1 1 3439.42
1 39 4 1 5984.55
1 40 1 1 3439.6
1 40 4 1 6019.95
1 41 1 1 3439.71
1 41 4 1 6051.04
1 42 1 1 3439.78
1 42 4 1 6078.32
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.2
2 3 2 1 141593
2 3 3 1 37692.3
2 4 2 1 81640
2 4 3 1 16890.9
2 5 2 1 47783.2
2 5 3 1 8297.62
2 6 2 1 28535.1
2 6 3 1 4526.03
2 7 2 1 17888.5
2 7 3 1 2783.95
2 8 2 1 12222.8
2 8 3 1 1957.71
2 9 2 1 9291.82
2 9 3 1 1558.93
2 10 2 1 7848.64
2 10 3 1 1371.66
2 11 2 1 7163.96
2 11 3 1 1286.12
2 12 2 1 6844.61
2 12 3 1 1246.8
2 13 2 1 6695.45
2 13 3 1 1228.54
2 14 2 1 6618.35
2 14 3 1 1218.51
2 15 2 1 6592.54
2 15 3 1 1215.58
2 16 2 1 6591.97
2 16 3 1 1216.18
2 17 2 1 6577.37
2 17 3 1 1213.95
2 18 2 1 6539.02
2 18 3 1 1207.58
2 19 2 1 6519.28
2 19 3 1 1204.54
2 20 2 1 6524.99
2 20 3 1 1206.21
2 21 2 1 6519.08
2 21 3 1 1205.23
2 22 2 1 6485.67
2 22 3 1 1199.85
2 23 2 1 6430.17
2 23 3 1 1190.72
2 24 2 1 6383.46
2 24 3 1 1183.87
2 25 2 1 6320.39
2 25 3 1 1174.34
2 26 2 1 6265.36
2 26 3 1 1165.79
2 27 2 1 6260.82
2 27 3 1 1166.19
2 28 2 1 6266.92
2 28 3 1 1167.85
2 29 2 1 6236.41
2 29 3 1 1162.85
2 30 2 1 6193.68
2 30 3 1 1155.68
2 31 2 1 6166.92
2 31 3 1 1152.24
2 32 2 1 6127.22
2 32 3 1 1146.15
2 33 2 1 6083.44
2 33 3 1 1139.49
2 34 2 1 6026.09
2 34 3 1 1130.68
2 35 2 1 5945.19
2 35 3 1 1118.01
2 36 2 1 5871.48
2 36 3 1 1106.61
2 37 2 1 5839.75
2 37 3 1 1102.69
2 38 2 1 5831.23
2 38 3 1 1102.14
2 39 2 1 5812.56
2 39 3 1 1099.38
2 40 2 1 5793.18
2 40 3 1 1096.02
2 41 2 1 5790.35
2 41 3 1 1096.17
2 42 2 1 5779.58
2 42 3 1 1094.35
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.275141 7.99586 23.9762 26.5482 7.28928
