full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349505
1 2 2 1 320398
1 2 3 1 49517.5
1 2 4 1 170034
1 3 1 1 214466
1 3 2 1 169341
1 3 3 1 19409.6
1 3 4 1 147257
1 4 1 1 136223
1 4 2 1 93380.1
1 4 3 1 8122.99
1 4 4 1 129180
1 5 1 1 88569.7
1 5 2 1 54468.3
1 5 3 1 3755.26
1 5 4 1 114989
1 6 1 1 59116.1
1 6 2 1 34210.7
1 6 3 1 1983.91
1 6 4 1 103975
1 7 1 1 41046.4
1 7 2 1 24003.8
1 7 3 1 1248.06
1 7 4 1 95531.6
1 8 1 1 30157.1
1 8 2 1 18866.7
1 8 3 1 930.116
1 8 4 1 89147.9
1 9 1 1 23733.2
1 9 2 1 16409.6
1 9 3 1 793.21
1 9 4 1 84397.1
1 10 1 1 20023.6
1 10 2 1 15323.4
1 10 3 1 736.761
1 10 4 1 80927.8
1 11 1 1 17923.6
1 11 2 1 14832.1
1 11 3 1 712.812
1 11 4 1 78453.1
1 12 1 1 16755.9
1 12 2 1 14641.6
1 12 3 1 703.964
1 12 4 1 76741.4
1 13 1 1 16117
1 13 2 1 14526.5
1 13 3 1 699.003
1 13 4 1 75607.4
1 14 1 1 15772.3
1 14 2 1 14484.2
1 14 3 1 697.32
1 14 4 1 74904.6
1 15 1 1 15588.7
1 15 2 1 14506.1
1 15 3 1 698.401
1 15 4 1 74517.8
1 16 1 1 15491.9
1 16 2 1 14517.9
1 16 3 1 699.02
1 16 4 1 74357.9
1 17 1 1 15441.4
1 17 2 1 14453.3
1 17 3 1 696.349
1 17 4 1 74356.5
1 18 1 1 15415.3
1 18 2 1 14372.7
1 18 3 1 692.949
1 18 4 1 74461.6
1 19 1 1 15401.9
1 19 2 1 14405
1 19 3 1 694.314
1 19 4 1 74634.5
1 20 1 1 15395.1
1 20 2 1 14401.6
1 20 3 1 694.171
1 20 4 1 74846.8
1 21 1 1 18256.2
1 21 2 1 14381.5
1 21 3 1 693.3
1 21 4 1 79471.6
1 22 1 1 20493.3
1 22 2 1 14256.1
1 22 3 1 687.891
1 22 4 1 83821.9
1 23 1 1 22143.7
1 23 2 1 14173.9
1 23 3 1 684.235
1 23 4 1 87877.1
1 24 1 1 23313.9
1 24 2 1 14082.2
1 24 3 1 680.152
1 24 4 1 91628.3
1 25 1 1 24119.9
1 25 2 1 13924
1 25 3 1 673.192
1 25 4 1 95075.6
1 26 1 1 24663.1
1 26 2 1 13894.6
1 26 3 1 671.756
1 26 4 1 98225.5
1 27 1 1 25022.9
1 27 2 1 13931.7
1 27 3 1 673.232
1 27 4 1 101089
1 28 1 1 25258.2
1 28 2 1 13917.5
1 28 3 1 672.553
1 28 4 1 103681
1 29 1 1 25410.2
1 29 2 1 13793.7
1 29 3 1 667.178
1 29 4 1 106018
1 30 1 1 25507.6
1 30 2 1 13765.9
1 30 3 1 665.941
1 30 4 1 108117
1 31 1 1 25569.6
1 31 2 1 13691.7
1 31 3 1 662.702
1 31 4 1 109997
1 32 1 1 25608.8
1 32 2 1 13614.1
1 32 3 1 659.282
1 32 4 1 111676
1 33 1 1 25633.4
1 33 2 1 13523.7
1 33 3 1 655.301
1 33 4 1 113171
1 34 1 1 25648.8
1 34 2 1 13387.8
1 34 3 1 649.326
1 34 4 1 114499
1 35 1 1 25658.5
1 35 2 1 13204.1
1 35 3 1 641.246
1 35 4 1 115677
1 36 1 1 25664.5
1 36 2 1 13122.4
1 36 3 1 637.564
1 36 4 1 116719
1 37 1 1 25668.2
1 37 2 1 13103.2
1 37 3 1 636.6
1 37 4 1 117639
1 38 1 1 25670.5
1 38 2 1 13100
1 38 3 1 636.353
1 38 4 1 118450
1 39 1 1 25671.9
1 39 2 1 13020
1 39 3 1 632.794
1 39 4 1 119164
1 40 1 1 25672.8
1 40 2 1 13039.4
1 40 3 1 633.593
1 40 4 1 119791
1 41 1 1 25673.3
1 41 2 1 13006.7
1 41 3 1 632.14
1 41 4 1 120342
1 42 1 1 25673.6
1 42 2 1 13001.3
1 42 3 1 631.873
1 42 4 1 120825
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215546
1 2 4 1 22727
1 3 1 1 126223
1 3 4 1 19507.4
1 4 1 1 78076.3
1 4 4 1 16926.9
1 5 1 1 49837.8
1 5 4 1 14882
1 6 1 1 32504.8
1 6 4 1 13280.2
1 7 1 1 21756.5
1 7 4 1 12040.7
1 8 1 1 15160.7
1 8 4 1 11094.1
1 9 1 1 11191.1
1 9 4 1 10381.7
1 10 1 1 8854.21
1 10 4 1 9854.72
1 11 1 1 7507.82
1 11 4 1 9472.73
1 12 1 1 6747.4
1 12 4 1 9202.92
1 13 1 1 6325.52
1 13 4 1 9018.84
1 14 1 1 6095.15
1 14 4 1 8899.35
1 15 1 1 5971.1
1 15 4 1 8827.78
1 16 1 1 5905.13
1 16 4 1 8791.11
1 17 1 1 5870.42
1 17 4 1 8779.25
1 18 1 1 5852.34
1 18 4 1 8784.5
1 19 1 1 5843
1 19 4 1 8801.07
1 20 1 1 5838.21
1 20 4 1 8824.63
1 21 1 1 2650.31
1 21 4 1 3713.37
1 22 1 1 3135.72
1 22 4 1 3943.25
1 23 1 1 3511.56
1 23 4 1 4158.72
1 24 1 1 3786.96
1 24 4 1 4358.96
1 25 1 1 3981.26
1 25 4 1 4543.69
1 26 1 1 4114.59
1 26 4 1 4713.04
1 27 1 1 4204.17
1 27 4 1 4867.45
1 28 1 1 4263.38
1 28 4 1 5007.55
1 29 1 1 4302
1 29 4 1 5134.13
1 30 1 1 4326.93
1 30 4 1 5248.07
1 31 1 1 4342.89
1 31 4 1 5350.27
1 32 1 1 4353.02
1 32 4 1 5441.67
1 33 1 1 4359.42
1 33 4 1 5523.18
1 34 1 1 4363.44
1 34 4 1 5595.68
1 35 1 1 4365.96
1 35 4 1 5660.03
1 36 1 1 4367.53
1 36 4 1 5717.02
1 37 1 1 4368.5
1 37 4 1 5767.39
1 38 1 1 4369.11
1 38 4 1 5811.83
1 39 1 1 4369.48
1 39 4 1 5850.99
1 40 1 1 4369.71
1 40 4 1 5885.42
1 41 1 1 4369.86
1 41 4 1 5915.66
1 42 1 1 4369.94
1 42 4 1 5942.19
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.5
2 3 2 1 141634
2 3 3 1 37742
2 4 2 1 82346.5
2 4 3 1 17076.6
2 5 2 1 49501.3
2 5 3 1 8635.55
2 6 2 1 31117.3
2 6 3 1 4990.31
2 7 2 1 21063.6
2 7 3 1 3338.01
2 8 2 1 15773.7
2 8 3 1 2571.78
2 9 2 1 13076.3
2 9 3 1 2211.72
2 10 2 1 11796.7
2 10 3 1 2051.82
2 11 2 1 11230.6
2 11 3 1 1985.72
2 12 2 1 10991.1
2 12 3 1 1958.81
2 13 2 1 10891.3
2 13 3 1 1947.92
2 14 2 1 10839.1
2 14 3 1 1941.3
2 15 2 1 10834.6
2 15 3 1 1941.38
2 16 2 1 10853.1
2 16 3 1 1944.76
2 17 2 1 10840.5
2 17 3 1 1942.64
2 18 2 1 10785.3
2 18 3 1 1933.54
2 19 2 1 10757.6
2 19 3 1 1929.3
2 20 2 1 10769.3
2 20 3 1 1932.23
2 21 2 1 10761.7
2 21 3 1 1930.97
2 22 2 1 10709.5
2 22 3 1 1922.75
2 23 2 1 10621.2
2 23 3 1 1908.63
2 24 2 1 10546.5
2 24 3 1 1897.96
2 25 2 1 10445.4
2 25 3 1 1883.11
2 26 2 1 10357.2
2 26 3 1 1869.82
2 27 2 1 10349.9
2 27 3 1 1870.42
2 28 2 1 10359.7
2 28 3 1 1873.03
2 29 2 1 10311
2 29 3 1 1865.29
2 30 2 1 10243
2 30 3 1 1854.21
2 31 2 1 10200.4
2 31 3 1 1848.9
2 32 2 1 10137.1
2 32 3 1 1839.47
2 33 2 1 10067.2
2 33 3 1 1829.16
2 34 2 1 9975.5
2 34 3 1 1815.49
2 35 2 1 9845.91
2 35 3 1 1795.8
2 36 2 1 9727.75
2 36 3 1 1778.07
2 37 2 1 9676.72
2 37 3 1 1771.94
2 38 2 1 9662.89
2 38 3 1 1771.07
2 39 2 1 9632.87
2 39 3 1 1766.78
2 40 2 1 9601.82
2 40 3 1 1761.56
2 41 2 1 9597.28
2 41 3 1 1761.79
2 42 2 1 9580.06
2 42 3 1 1758.98
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0537783 1.56285 4.68633 5.18905 1.42475
