full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 651786
1 1 3 1 132576
1 1 4 1 198435
1 2 1 1 349460
1 2 2 1 320268
1 2 3 1 49507.1
1 2 4 1 170032
1 3 1 1 214157
1 3 2 1 168590
1 3 3 1 19365.1
1 3 4 1 147246
1 4 1 1 135530
1 4 2 1 91581.5
1 4 3 1 8031.64
1 4 4 1 129154
1 5 1 1 87493.4
1 5 2 1 51743
1 5 3 1 3619.62
1 5 4 1 114940
1 6 1 1 57724.6
1 6 2 1 30852.7
1 6 3 1 1814.28
1 6 4 1 103897
1 7 1 1 39424.4
1 7 2 1 20242.3
1 7 3 1 1054.15
1 7 4 1 95420.6
1 8 1 1 28379.6
1 8 2 1 14866.6
1 8 3 1 720.362
1 8 4 1 89000.2
1 9 1 1 21856.6
1 9 2 1 12250
1 9 3 1 572.519
1 9 4 1 84211
1 10 1 1 18086.7
1 10 2 1 11040.1
1 10 3 1 507.92
1 10 4 1 80702.7
1 11 1 1 15951.1
1 11 2 1 10470
1 11 3 1 478.807
1 11 4 1 78189.6
1 12 1 1 14763.1
1 12 2 1 10223.9
1 12 3 1 466.461
1 12 4 1 76440.9
1 13 1 1 14112.8
1 13 2 1 10087.5
1 13 3 1 459.996
1 13 4 1 75271.8
1 14 1 1 13761.9
1 14 2 1 10030.6
1 14 3 1 457.336
1 14 4 1 74536.1
1 15 1 1 13574.9
1 15 2 1 10032.6
1 15 3 1 457.303
1 15 4 1 74119.1
1 16 1 1 13476.3
1 16 2 1 10034.6
1 16 3 1 457.361
1 16 4 1 73931.6
1 17 1 1 13424.9
1 17 2 1 9986.88
1 17 3 1 455.446
1 17 4 1 73905.3
1 18 1 1 13398.3
1 18 2 1 9929.84
1 18 3 1 453.146
1 18 4 1 73988.2
1 19 1 1 13384.6
1 19 2 1 9951.93
1 19 3 1 454.022
1 19 4 1 74141.4
1 20 1 1 13377.7
1 20 2 1 9949.65
1 20 3 1 453.927
1 20 4 1 74336.1
1 21 1 1 15863.3
1 21 2 1 9935.83
1 21 3 1 453.361
1 21 4 1 78915.9
1 22 1 1 17806.9
1 22 2 1 9849.29
1 22 3 1 449.83
1 22 4 1 83223.9
1 23 1 1 19240.7
1 23 2 1 9792.85
1 23 3 1 447.457
1 23 4 1 87239.7
1 24 1 1 20257.4
1 24 2 1 9729.88
1 24 3 1 444.805
1 24 4 1 90954.5
1 25 1 1 20957.6
1 25 2 1 9620.77
1 25 3 1 440.264
1 25 4 1 94368.4
1 26 1 1 21429.6
1 26 2 1 9600.87
1 26 3 1 439.341
1 26 4 1 97487.7
1 27 1 1 21742.2
1 27 2 1 9626.85
1 27 3 1 440.322
1 27 4 1 100324
1 28 1 1 21946.6
1 28 2 1 9617.24
1 28 3 1 439.884
1 28 4 1 102891
1 29 1 1 22078.7
1 29 2 1 9531.53
1 29 3 1 436.366
1 29 4 1 105205
1 30 1 1 22163.3
1 30 2 1 9512.37
1 30 3 1 435.558
1 30 4 1 107284
1 31 1 1 22217.2
1 31 2 1 9460.99
1 31 3 1 433.437
1 31 4 1 109146
1 32 1 1 22251.2
1 32 2 1 9407.31
1 32 3 1 431.196
1 32 4 1 110808
1 33 1 1 22272.6
1 33 2 1 9344.75
1 33 3 1 428.589
1 33 4 1 112288
1 34 1 1 22286
1 34 2 1 9250.66
1 34 3 1 424.675
1 34 4 1 113604
1 35 1 1 22294.4
1 35 2 1 9123.57
1 35 3 1 419.384
1 35 4 1 114770
1 36 1 1 22299.6
1 36 2 1 9067.16
1 36 3 1 416.977
1 36 4 1 115802
1 37 1 1 22302.8
1 37 2 1 9053.95
1 37 3 1 416.351
1 37 4 1 116713
1 38 1 1 22304.8
1 38 2 1 9051.84
1 38 3 1 416.193
1 38 4 1 117516
1 39 1 1 22306
1 39 2 1 8996.5
1 39 3 1 413.863
1 39 4 1 118223
1 40 1 1 22306.8
1 40 2 1 9010.03
1 40 3 1 414.389
1 40 4 1 118845
1 41 1 1 22307.3
1 41 2 1 8987.37
1 41 3 1 413.438
1 41 4 1 119390
1 42 1 1 22307.5
1 42 2 1 8983.67
1 42 3 1 413.264
1 42 4 1 119868
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215545
1 2 4 1 22727
1 3 1 1 126206
1 3 4 1 19507.1
1 4 1 1 77955.3
1 4 4 1 16925.7
1 5 1 1 49568.3
1 5 4 1 14878.9
1 6 1 1 32089.5
1 6 4 1 13274.4
1 7 1 1 21222.7
1 7 4 1 12031.5
1 8 1 1 14541
1 8 4 1 11080.8
1 9 1 1 10514
1 9 4 1 10364.1
1 10 1 1 8140.7
1 10 4 1 9832.49
1 11 1 1 6772.26
1 11 4 1 9445.85
1 12 1 1 5998.9
1 12 4 1 9171.48
1 13 1 1 5569.64
1 13 4 1 8982.99
1 14 1 1 5335.16
1 14 4 1 8859.34
1 15 1 1 5208.86
1 15 4 1 8783.89
1 16 1 1 5141.67
1 16 4 1 8743.64
1 17 1 1 5106.31
1 17 4 1 8728.53
1 18 1 1 5087.89
1 18 4 1 8730.86
1 19 1 1 5078.37
1 19 4 1 8744.81
1 20 1 1 5073.49
1 20 4 1 8766.05
1 21 1 1 2303
1 21 4 1 3687.95
1 22 1 1 2724.71
1 22 4 1 3915.6
1 23 1 1 3051.23
1 23 4 1 4128.98
1 24 1 1 3290.5
1 24 4 1 4327.27
1 25 1 1 3459.31
1 25 4 1 4510.21
1 26 1 1 3575.14
1 26 4 1 4677.93
1 27 1 1 3652.97
1 27 4 1 4830.84
1 28 1 1 3704.41
1 28 4 1 4969.58
1 29 1 1 3737.97
1 29 4 1 5094.94
1 30 1 1 3759.63
1 30 4 1 5207.78
1 31 1 1 3773.49
1 31 4 1 5308.99
1 32 1 1 3782.29
1 32 4 1 5399.51
1 33 1 1 3787.85
1 33 4 1 5480.22
1 34 1 1 3791.35
1 34 4 1 5552.03
1 35 1 1 3793.53
1 35 4 1 5615.75
1 36 1 1 3794.9
1 36 4 1 5672.19
1 37 1 1 3795.74
1 37 4 1 5722.07
1 38 1 1 3796.27
1 38 4 1 5766.08
1 39 1 1 3796.6
1 39 4 1 5804.85
1 40 1 1 3796.8
1 40 4 1 5838.96
1 41 1 1 3796.92
1 41 4 1 5868.91
1 42 1 1 3797
1 42 4 1 5895.18
2 1 2 1 533316
2 1 3 1 234788
2 2 2 1 262666
2 2 3 1 91223.3
2 3 2 1 141602
2 3 3 1 37696
2 4 2 1 81789.2
2 4 3 1 16905
2 5 2 1 48145.9
2 5 3 1 8323.16
2 6 2 1 29080.2
2 6 3 1 4561.04
2 7 2 1 18558.9
2 7 3 1 2825.67
2 8 2 1 12973
2 8 3 1 2003.94
2 9 2 1 10092.2
2 9 3 1 1608.15
2 10 2 1 8684.5
2 10 3 1 1423.04
2 11 2 1 8026.06
2 11 3 1 1339.11
2 12 2 1 7725.04
2 12 3 1 1300.92
2 13 2 1 7587.99
2 13 3 1 1283.47
2 14 2 1 7518.04
2 14 3 1 1274.01
2 15 2 1 7498.46
2 15 3 1 1271.58
2 16 2 1 7503.5
2 16 3 1 1272.62
2 17 2 1 7491.05
2 17 3 1 1270.67
2 18 2 1 7451.15
2 18 3 1 1264.45
2 19 2 1 7431.34
2 19 3 1 1261.59
2 20 2 1 7439.38
2 20 3 1 1263.5
2 21 2 1 7434.22
2 21 3 1 1262.68
2 22 2 1 7398.25
2 22 3 1 1257.33
2 23 2 1 7337.47
2 23 3 1 1248.12
2 24 2 1 7286.19
2 24 3 1 1241.2
2 25 2 1 7216.61
2 25 3 1 1231.53
2 26 2 1 7155.9
2 26 3 1 1222.87
2 27 2 1 7151.16
2 27 3 1 1223.31
2 28 2 1 7158.21
2 28 3 1 1225.05
2 29 2 1 7124.65
2 29 3 1 1219.99
2 30 2 1 7077.57
2 30 3 1 1212.74
2 31 2 1 7048.15
2 31 3 1 1209.26
2 32 2 1 7004.34
2 32 3 1 1203.09
2 33 2 1 6955.97
2 33 3 1 1196.33
2 34 2 1 6892.5
2 34 3 1 1187.38
2 35 2 1 6802.82
2 35 3 1 1174.48
2 36 2 1 6721.08
2 36 3 1 1162.87
2 37 2 1 6685.87
2 37 3 1 1158.88
2 38 2 1 6676.4
2 38 3 1 1158.32
2 39 2 1 6655.69
2 39 3 1 1155.52
2 40 2 1 6634.23
2 40 3 1 1152.1
2 41 2 1 6631.12
2 41 3 1 1152.26
2 42 2 1 6619.22
2 42 3 1 1150.41
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0602475 1.75085 5.25006 5.81325 1.59613
