full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 706054
1 1 3 1 141252
1 1 4 1 198435
1 2 1 1 349508
1 2 2 1 378490
1 2 3 1 56594.2
1 2 4 1 170105
1 3 1 1 214483
1 3 2 1 214947
1 3 3 1 23588.1
1 3 4 1 147590
1 4 1 1 136260
1 4 2 1 125911
1 4 3 1 10395.8
1 4 4 1 130011
1 5 1 1 88627.4
1 5 2 1 76593.9
1 5 3 1 4982.48
1 5 4 1 116546
1 6 1 1 59190.6
1 6 2 1 49397.7
1 6 3 1 2690.23
1 6 4 1 106454
1 7 1 1 41133.3
1 7 2 1 34659.7
1 7 3 1 1690.45
1 7 4 1 99083.2
1 8 1 1 30252.3
1 8 2 1 26773.3
1 8 3 1 1240.64
1 8 4 1 93873.5
1 9 1 1 23833.7
1 9 2 1 22623.7
1 9 3 1 1033.57
1 9 4 1 90352.8
1 10 1 1 20127.3
1 10 2 1 20474.1
1 10 3 1 936.788
1 10 4 1 88129.4
1 11 1 1 18029.1
1 11 2 1 19363
1 11 3 1 890.651
1 11 4 1 86883.4
1 12 1 1 16862.6
1 12 2 1 18796.2
1 12 3 1 868.595
1 12 4 1 86357.5
1 13 1 1 16224.3
1 13 2 1 18498.1
1 13 3 1 857.576
1 13 4 1 86347.6
1 14 1 1 15879.9
1 14 2 1 18345.7
1 14 3 1 852.188
1 14 4 1 86694.3
1 15 1 1 15696.4
1 15 2 1 18273.5
1 15 3 1 849.782
1 15 4 1 87274.9
1 16 1 1 15599.8
1 16 2 1 18234.7
1 16 3 1 848.523
1 16 4 1 87996.8
1 17 1 1 15549.4
1 17 2 1 18199.3
1 17 3 1 847.265
1 17 4 1 88791.3
1 18 1 1 15523.3
1 18 2 1 18169.9
1 18 3 1 846.163
1 18 4 1 89608.7
1 19 1 1 15509.9
1 19 2 1 18167.5
1 19 3 1 846.115
1 19 4 1 90414.3
1 20 1 1 15503.1
1 20 2 1 18160.9
1 20 3 1 845.875
1 20 4 1 91184.6
1 21 1 1 18384.3
1 21 2 1 18152.7
1 21 3 1 845.55
1 21 4 1 97252.7
1 22 1 1 20637.1
1 22 2 1 18124.3
1 22 3 1 844.38
1 22 4 1 102957
1 23 1 1 22299.1
1 23 2 1 18104.8
1 23 3 1 843.553
1 23 4 1 108273
1 24 1 1 23477.5
1 24 2 1 18083.5
1 24 3 1 842.646
1 24 4 1 113189
1 25 1 1 24289.2
1 25 2 1 18048.4
1 25 3 1 841.167
1 25 4 1 117705
1 26 1 1 24836.2
1 26 2 1 18039.8
1 26 3 1 840.779
1 26 4 1 121832
1 27 1 1 25198.6
1 27 2 1 18045.4
1 27 3 1 840.991
1 27 4 1 125583
1 28 1 1 25435.4
1 28 2 1 18040.9
1 28 3 1 840.797
1 28 4 1 128978
1 29 1 1 25588.5
1 29 2 1 18013.7
1 29 3 1 839.666
1 29 4 1 132038
1 30 1 1 25686.7
1 30 2 1 18006.5
1 30 3 1 839.356
1 30 4 1 134788
1 31 1 1 25749.1
1 31 2 1 17989.4
1 31 3 1 838.642
1 31 4 1 137250
1 32 1 1 25788.5
1 32 2 1 17971.5
1 32 3 1 837.889
1 32 4 1 139449
1 33 1 1 25813.3
1 33 2 1 17950.7
1 33 3 1 837.015
1 33 4 1 141407
1 34 1 1 25828.8
1 34 2 1 17919.8
1 34 3 1 835.719
1 34 4 1 143147
1 35 1 1 25838.5
1 35 2 1 17878
1 35 3 1 833.96
1 35 4 1 144690
1 36 1 1 25844.6
1 36 2 1 17857.8
1 36 3 1 833.097
1 36 4 1 146055
1 37 1 1 25848.3
1 37 2 1 17851.4
1 37 3 1 832.814
1 37 4 1 147260
1 38 1 1 25850.6
1 38 2 1 17849.2
1 38 3 1 832.706
1 38 4 1 148323
1 39 1 1 25852.1
1 39 2 1 17830.4
1 39 3 1 831.916
1 39 4 1 149258
1 40 1 1 25852.9
1 40 2 1 17833.8
1 40 3 1 832.046
1 40 4 1 150081
1 41 1 1 25853.5
1 41 2 1 17825.7
1 41 3 1 831.712
1 41 4 1 150803
1 42 1 1 25853.8
1 42 2 1 17824
1 42 3 1 831.633
1 42 4 1 151435
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215546
1 2 4 1 22727.2
1 3 1 1 126224
1 3 4 1 19515.1
1 4 1 1 78082.8
1 4 4 1 16965.3
1 5 1 1 49852.2
1 5 4 1 14979.7
1 6 1 1 32527.1
1 6 4 1 13464.9
1 7 1 1 21785.1
1 7 4 1 12336
1 8 1 1 15193.8
1 8 4 1 11517.9
1 9 1 1 11227.3
1 9 4 1 10946.1
1 10 1 1 8892.4
1 10 4 1 10566
1 11 1 1 7547.19
1 11 4 1 10332.6
1 12 1 1 6787.46
1 12 4 1 10209.1
1 13 1 1 6365.98
1 13 4 1 10165.8
1 14 1 1 6135.83
1 14 4 1 10179.6
1 15 1 1 6011.9
1 15 4 1 10232.3
1 16 1 1 5945.99
1 16 4 1 10309.9
1 17 1 1 5911.32
1 17 4 1 10402
1 18 1 1 5893.26
1 18 4 1 10500.9
1 19 1 1 5883.93
1 19 4 1 10601.2
1 20 1 1 5879.14
1 20 4 1 10699
1 21 1 1 2668.9
1 21 4 1 4526.7
1 22 1 1 3157.72
1 22 4 1 4828.11
1 23 1 1 3536.2
1 23 4 1 5110.5
1 24 1 1 3813.54
1 24 4 1 5372.85
1 25 1 1 4009.2
1 25 4 1 5614.84
1 26 1 1 4143.47
1 26 4 1 5836.65
1 27 1 1 4233.68
1 27 4 1 6038.87
1 28 1 1 4293.3
1 28 4 1 6222.34
1 29 1 1 4332.2
1 29 4 1 6388.12
1 30 1 1 4357.3
1 30 4 1 6537.32
1 31 1 1 4373.36
1 31 4 1 6671.17
1 32 1 1 4383.57
1 32 4 1 6790.87
1 33 1 1 4390.01
1 33 4 1 6897.62
1 34 1 1 4394.06
1 34 4 1 6992.59
1 35 1 1 4396.6
1 35 4 1 7076.87
1 36 1 1 4398.18
1 36 4 1 7151.52
1 37 1 1 4399.16
1 37 4 1 7217.51
1 38 1 1 4399.77
1 38 4 1 7275.74
1 39 1 1 4400.15
1 39 4 1 7327.03
1 40 1 1 4400.38
1 40 4 1 7372.15
1 41 1 1 4400.52
1 41 4 1 7411.78
1 42 1 1 4400.61
1 42 4 1 7446.54
2 1 2 1 552566
2 1 3 1 241464
2 2 2 1 295961
2 2 3 1 100650
2 3 2 1 172572
2 3 3 1 44650.3
2 4 2 1 106939
2 4 3 1 21403.4
2 5 2 1 67746.9
2 5 3 1 11280.9
2 6 2 1 44273.2
2 6 3 1 6666.99
2 7 2 1 30597.4
2 7 3 1 4479.59
2 8 2 1 22876.2
2 8 3 1 3413.41
2 9 2 1 18627.7
2 9 3 1 2884.11
2 10 2 1 16347.4
2 10 3 1 2620.4
2 11 2 1 15145.2
2 11 3 1 2489.07
2 12 2 1 14517.7
2 12 3 1 2423.41
2 13 2 1 14191.1
2 13 3 1 2390.42
2 14 2 1 14018.8
2 14 3 1 2373.33
2 15 2 1 13931.8
2 15 3 1 2365.09
2 16 2 1 13889
2 16 3 1 2361.32
2 17 2 1 13860.9
2 17 3 1 2358.5
2 18 2 1 13835.2
2 18 3 1 2355.37
2 19 2 1 13820.6
2 19 3 1 2353.63
2 20 2 1 13816.8
2 20 3 1 2353.53
2 21 2 1 13810.9
2 21 3 1 2352.81
2 22 2 1 13797.1
2 22 3 1 2350.86
2 23 2 1 13776.6
2 23 3 1 2347.81
2 24 2 1 13758.9
2 24 3 1 2345.42
2 25 2 1 13735.7
2 25 3 1 2342.22
2 26 2 1 13715.2
2 26 3 1 2339.32
2 27 2 1 13711.8
2 27 3 1 2339.19
2 28 2 1 13712.1
2 28 3 1 2339.51
2 29 2 1 13700.5
2 29 3 1 2337.82
2 30 2 1 13685
2 30 3 1 2335.46
2 31 2 1 13674.7
2 31 3 1 2334.22
2 32 2 1 13659.8
2 32 3 1 2332.16
2 33 2 1 13643.5
2 33 3 1 2329.9
2 34 2 1 13622.2
2 34 3 1 2326.93
2 35 2 1 13592.3
2 35 3 1 2322.68
2 36 2 1 13564.5
2 36 3 1 2318.76
2 37 2 1 13551.3
2 37 3 1 2317.24
2 38 2 1 13546.5
2 38 3 1 2316.88
2 39 2 1 13538.5
2 39 3 1 2315.85
2 40 2 1 13530.7
2 40 3 1 2314.66
2 41 2 1 13528.9
2 41 3 1 2314.62
2 42 2 1 13524.4
2 42 3 1 2313.96
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0534742 1.55402 4.65983 5.1597 1.41669
1 1 2 2  0 6.70793 13.1077 21.7629 65.252
1 1 3 2  0.277463 1.84796 3.86358 8.4246 16.6978
1 1 4 2  0.403186 7.92177 27.4036 20.4791 8.4213
1 2 1 2  0.0254109 1.07307 3.80608 2.93888 0.642957
1 2 2 2  0 2.89422 13.142 16.7246 31.5359
1 2 3 2  0.173773 1.27098 2.3687 3.83989 6.33509
1 2 4 2  0.52525 8.24597 25.5033 17.7697 6.71111
1 3 1 2  0.0144591 0.698826 2.86537 1.81946 0.291803
1 3 2 2  0 1.91446 8.78972 14.3488 15.3705
1 3 3 2  0.127516 0.898024 1.5452 1.86932 2.41969
1 3 4 2  0.613414 8.85195 24.2206 15.5095 5.34822
1 4 1 2  0.0101851 0.465598 2.02193 1.19074 0.132433
1 4 2 2  0 1.66226 5.86793 11.2159 7.52435
1 4 3 2  0.106871 0.679914 1.05314 0.981751 0.927359
1 4 4 2  0.677093 9.57739 23.5699 13.6397 4.26211
1 5 1 2  0.00851722 0.333842 1.39262 0.797804 0.0601041
1 5 2 2  0 1.59763 4.37142 8.33275 3.69574
1 5 3 2  0.0976621 0.559791 0.760939 0.559232 0.356278
1 5 4 2  0.723087 10.324 23.4724 12.1146 3.39656
1 6 1 2  0.00786632 0.263386 0.975502 0.539326 0.0272779
1 6 2 2  0 1.58075 3.67421 6.20058 1.81704
1 6 3 2  0.0935351 0.495714 0.591704 0.346872 0.136991
1 6 4 2  0.756307 11.0356 23.8125 10.8933 2.70679
1 7 1 2  0.0076123 0.226995 0.719954 0.368895 0.0123799
1 7 2 2  0 1.57659 3.36733 4.81509 0.894809
1 7 3 2  0.0916938 0.462687 0.497433 0.236342 0.0527331
1 7 4 2  0.780302 11.683 24.47 9.93737 2.1571
1 8 1 2  0.00751317 0.208636 0.571795 0.258982 0.00561857
1 8 2 2  0 1.5754 3.23485 3.97784 0.440936
1 8 3 2  0.090861 0.445868 0.446252 0.177566 0.0203092
1 8 4 2  0.797633 12.2537 25.3362 9.20963 1.71904
1 9 1 2  0.00747448 0.199529 0.489295 0.1902 0.00254996
1 9 2 2  0 1.57534 3.18056 3.49885 0.217525
1 9 3 2  0.0904952 0.437616 0.419467 0.146211 0.0078274
1 9 4 2  0.81015 12.7458 26.3205 8.67483 1.36994
1 10 1 2  0.00745938 0.195067 0.44474 0.148448 0.00115729
1 10 2 2  0 1.57566 3.16043 3.23576 0.107423
1 10 3 2  0.0903436 0.433739 0.405966 0.129605 0.00301868
1 10 4 2  0.819192 13.1631 27.352 8.3001 1.09173
1 11 1 2  0.00745349 0.192902 0.421243 0.123802 0.000525228
1 11 2 2  0 1.57562 3.15201 3.09367 0.0530574
1 11 3 2  0.0902681 0.431797 0.399104 0.120866 0.00116434
1 11 4 2  0.825722 13.5123 28.3781 8.05547 0.870023
1 12 1 2  0.00745119 0.191858 0.409085 0.109607 0.000238372
1 12 2 2  0 1.57564 3.14892 3.01884 0.0262138
1 12 3 2  0.0902345 0.430883 0.395733 0.116335 0.000449191
1 12 4 2  0.830439 13.8015 29.3623 7.91432 0.693339
1 13 1 2  0.00745029 0.191358 0.40289 0.101606 0.000108184
1 13 2 2  0 1.57533 3.14599 2.97822 0.0129479
1 13 3 2  0.0902039 0.430287 0.393858 0.113968 0.00017328
1 13 4 2  0.833846 14.039 30.2809 7.85346 0.552536
1 14 1 2  0.00744994 0.19112 0.399772 0.0971786 4.90987e-05
1 14 2 2  0 1.57528 3.14471 2.95685 0.00639662
1 14 3 2  0.090191 0.430013 0.39293 0.112749 6.68534e-05
1 14 4 2  0.836306 14.2328 31.1202 7.8532 0.440328
1 15 1 2  0.00744981 0.191007 0.39822 0.0947682 2.22832e-05
1 15 2 2  0 1.57543 3.14517 2.94661 0.00316113
1 15 3 2  0.0901925 0.429966 0.392601 0.112154 2.57974e-05
1 15 4 2  0.838084 14.3899 31.8742 7.89709 0.350906
1 16 1 2  0.00744975 0.190953 0.397453 0.0934741 1.01131e-05
1 16 2 2  0 1.57534 3.1448 2.94104 0.00156202
1 16 3 2  0.0901868 0.429882 0.392377 0.111853 9.95441e-06
1 16 4 2  0.839367 14.5166 32.542 7.97169 0.279645
1 17 1 2  0.00744973 0.190928 0.397078 0.0927879 4.58979e-06
1 17 2 2  0 1.57484 3.14184 2.93557 0.000771402
1 17 3 2  0.0901623 0.429602 0.391913 0.111631 3.84017e-06
1 17 4 2  0.840294 14.6184 33.1266 8.06626 0.222855
1 18 1 2  0.00744972 0.190916 0.396895 0.0924279 2.08305e-06
1 18 2 2  0 1.57454 3.13906 2.93058 0.000380886
1 18 3 2  0.0901436 0.429363 0.391469 0.111442 1.48134e-06
1 18 4 2  0.840964 14.6999 33.6333 8.17238 0.177597
1 19 1 2  0.00744972 0.19091 0.396807 0.0922408 9.45381e-07
1 19 2 2  0 1.57501 3.1407 2.92978 0.000188203
1 19 3 2  0.0901607 0.429513 0.39158 0.111377 5.71619e-07
1 19 4 2  0.841448 14.7649 34.0688 8.28363 0.141531
1 20 1 2  0.00744972 0.190908 0.396764 0.0921444 4.29056e-07
1 20 2 2  0 1.57485 3.1403 2.9286 9.2962e-05
1 20 3 2  0.0901554 0.429456 0.391501 0.111329 2.20543e-07
1 20 4 2  0.841797 14.8166 34.4402 8.39522 0.112789
1 21 1 2  0.00746008 0.194427 0.449386 0.120158 2.61989e-07
1 21 2 2  0 1.57469 3.13925 2.92718 4.59113e-05
1 21 3 2  0.0901479 0.429365 0.391353 0.11128 8.50851e-08
1 21 4 2  0.84236 14.9838 36.579 9.13494 0.0968049
1 22 1 2  0.00746413 0.19619 0.480924 0.145752 1.59975e-07
