full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 72348.2
1 1 2 1 7439.36
1 1 3 1 563.565
1 1 4 1 50126.3
1 2 1 1 60448.5
1 2 2 1 6926.94
1 2 3 1 745.194
1 2 4 1 49302.4
1 3 1 1 48853.2
1 3 2 1 6800.99
1 3 3 1 1181.53
1 3 4 1 49084.6
1 4 1 1 40632
1 4 2 1 7394.11
1 4 3 1 1665.84
1 4 4 1 49426.6
1 5 1 1 42208.4
1 5 2 1 8229.77
1 5 3 1 2029.24
1 5 4 1 50243.6
1 6 1 1 40766.1
1 6 2 1 9089.36
1 6 3 1 2201.49
1 6 4 1 51434.2
1 7 1 1 36599.3
1 7 2 1 9971.93
1 7 3 1 2203.46
1 7 4 1 52896.1
1 8 1 1 34968.4
1 8 2 1 11048.2
1 8 3 1 2090.75
1 8 4 1 54535.1
1 9 1 1 33807.8
1 9 2 1 12871.3
1 9 3 1 1924.33
1 9 4 1 56267.8
1 10 1 1 39691.9
1 10 2 1 15936.1
1 10 3 1 1753.52
1 10 4 1 58019.9
1 11 1 1 40227.7
1 11 2 1 19697.7
1 11 3 1 1610.98
1 11 4 1 59727.5
1 12 1 1 36623
1 12 2 1 22700.2
1 12 3 1 1544.46
1 12 4 1 61336.8
1 13 1 1 33188.1
1 13 2 1 24500.3
1 13 3 1 1595.27
1 13 4 1 62808.6
1 14 1 1 28780.9
1 14 2 1 25184.2
1 14 3 1 1734.24
1 14 4 1 64121.6
1 15 1 1 24713.5
1 15 2 1 25302.4
1 15 3 1 1840.79
1 15 4 1 65271.8
1 16 1 1 21173.1
1 16 2 1 25710.2
1 16 3 1 1849.03
1 16 4 1 66264.5
1 17 1 1 18045.7
1 17 2 1 30509.6
1 17 3 1 1762.63
1 17 4 1 67110.6
1 18 1 1 16560.9
1 18 2 1 51696.4
1 18 3 1 1632.47
1 18 4 1 67822.5
1 19 1 1 15216.8
1 19 2 1 97318.5
1 19 3 1 1516.08
1 19 4 1 68409.9
1 20 1 1 14299.3
1 20 2 1 146923
1 20 3 1 1436.85
1 20 4 1 68877.1
1 21 1 1 17597
1 21 2 1 168960
1 21 3 1 1392.04
1 21 4 1 73709
1 22 1 1 20808.3
1 22 2 1 171835
1 22 3 1 1381.77
1 22 4 1 78193.2
1 23 1 1 22695.6
1 23 2 1 165536
1 23 3 1 1404.28
1 23 4 1 82288.9
1 24 1 1 23599.5
1 24 2 1 154662
1 24 3 1 1424.3
1 24 4 1 85976.1
1 25 1 1 23066.3
1 25 2 1 141395
1 25 3 1 1413.58
1 25 4 1 89253.8
1 26 1 1 21313
1 26 2 1 131899
1 26 3 1 1362.62
1 26 4 1 92137
1 27 1 1 19176.5
1 27 2 1 132322
1 27 3 1 1275.37
1 27 4 1 94655.7
1 28 1 1 17631.7
1 28 2 1 139230
1 28 3 1 1161.34
1 28 4 1 96851.6
1 29 1 1 16689.4
1 29 2 1 137220
1 29 3 1 1032.71
1 29 4 1 98774.3
1 30 1 1 16048.2
1 30 2 1 130101
1 30 3 1 905.786
1 30 4 1 100481
1 31 1 1 15053.3
1 31 2 1 129534
1 31 3 1 791.21
1 31 4 1 102033
1 32 1 1 13582.4
1 32 2 1 156819
1 32 3 1 699.665
1 32 4 1 103495
1 33 1 1 11845.8
1 33 2 1 207956
1 33 3 1 690.994
1 33 4 1 104928
1 34 1 1 10118.8
1 34 2 1 229815
1 34 3 1 838.938
1 34 4 1 106389
1 35 1 1 8732.51
1 35 2 1 226779
1 35 3 1 1117.8
