full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 603002
1 1 2 1 706054
1 1 3 1 141252
1 1 4 1 198435
1 2 1 1 349457
1 2 2 1 378338
1 2 3 1 56582.5
1 2 4 1 170056
1 3 1 1 214138
1 3 2 1 214045
1 3 3 1 23536.1
1 3 4 1 147358
1 4 1 1 135487
1 4 2 1 123653
1 4 3 1 10285.4
1 4 4 1 129433
1 5 1 1 87427.1
1 5 2 1 73061.6
1 5 3 1 4813.86
1 5 4 1 115463
1 6 1 1 57638.9
1 6 2 1 44929.6
1 6 3 1 2474.46
1 6 4 1 104730
1 7 1 1 39324.5
1 7 2 1 29580.4
1 7 3 1 1440.84
1 7 4 1 96613.2
1 8 1 1 28270
1 8 2 1 21324.5
1 8 3 1 968.827
1 8 4 1 90586.9
1 9 1 1 21741
1 9 2 1 16957.4
1 9 3 1 747.894
1 9 4 1 86210.8
1 10 1 1 17967.3
1 10 2 1 14680.2
1 10 3 1 642.677
1 10 4 1 83120.9
1 11 1 1 15829.6
1 11 2 1 13498.6
1 11 3 1 591.729
1 11 4 1 81020.4
1 12 1 1 14640.3
1 12 2 1 12892.9
1 12 3 1 566.975
1 12 4 1 79669.8
1 13 1 1 13989.3
1 13 2 1 12578.2
1 13 3 1 554.674
1 13 4 1 78878.1
1 14 1 1 13638
1 14 2 1 12418.2
1 14 3 1 548.661
1 14 4 1 78494.9
1 15 1 1 13450.8
1 15 2 1 12341
1 15 3 1 545.878
1 15 4 1 78402.7
1 16 1 1 13352.1
1 16 2 1 12301.4
1 16 3 1 544.503
1 16 4 1 78511.3
1 17 1 1 13300.6
1 17 2 1 12272.6
1 17 3 1 543.496
1 17 4 1 78752.2
1 18 1 1 13274
1 18 2 1 12252
1 18 3 1 542.759
1 18 4 1 79074.3
1 19 1 1 13260.3
1 19 2 1 12249.6
1 19 3 1 542.705
1 19 4 1 79439.9
1 20 1 1 13253.4
1 20 2 1 12245.8
1 20 3 1 542.58
1 20 4 1 79822.1
1 21 1 1 15715.8
1 21 2 1 12241.5
1 21 3 1 542.422
1 21 4 1 84886.4
1 22 1 1 17641.3
1 22 2 1 12225.4
1 22 3 1 541.795
1 22 4 1 89649.2
1 23 1 1 19061.9
1 23 2 1 12214.6
1 23 3 1 541.36
1 23 4 1 94088.2
1 24 1 1 20069.1
1 24 2 1 12202.6
1 24 3 1 540.879
1 24 4 1 98194
1 25 1 1 20762.8
1 25 2 1 12182.6
1 25 3 1 540.077
1 25 4 1 101967
1 26 1 1 21230.3
1 26 2 1 12178.1
1 26 3 1 539.88
1 26 4 1 105414
1 27 1 1 21540.1
1 27 2 1 12181.7
1 27 3 1 540.015
1 27 4 1 108548
1 28 1 1 21742.5
1 28 2 1 12179.5
1 28 3 1 539.922
1 28 4 1 111385
1 29 1 1 21873.4
1 29 2 1 12163.9
1 29 3 1 539.307
1 29 4 1 113942
1 30 1 1 21957.3
1 30 2 1 12159.9
1 30 3 1 539.145
1 30 4 1 116239
1 31 1 1 22010.6
1 31 2 1 12150.2
1 31 3 1 538.759
1 31 4 1 118297
1 32 1 1 22044.3
1 32 2 1 12140
1 32 3 1 538.349
1 32 4 1 120134
1 33 1 1 22065.5
1 33 2 1 12128
1 33 3 1 537.871
1 33 4 1 121770
1 34 1 1 22078.8
1 34 2 1 12110.2
1 34 3 1 537.159
1 34 4 1 123223
1 35 1 1 22087.1
1 35 2 1 12085.9
1 35 3 1 536.189
1 35 4 1 124512
1 36 1 1 22092.2
1 36 2 1 12074.2
1 36 3 1 535.714
1 36 4 1 125652
1 37 1 1 22095.4
1 37 2 1 12070.6
1 37 3 1 535.561
1 37 4 1 126659
1 38 1 1 22097.4
1 38 2 1 12069.4
1 38 3 1 535.505
1 38 4 1 127547
1 39 1 1 22098.6
1 39 2 1 12058.5
1 39 3 1 535.071
1 39 4 1 128328
1 40 1 1 22099.4
1 40 2 1 12060.5
1 40 3 1 535.145
1 40 4 1 129015
1 41 1 1 22099.9
1 41 2 1 12055.9
1 41 3 1 534.963
1 41 4 1 129618
1 42 1 1 22100.2
1 42 2 1 12054.9
1 42 3 1 534.921
1 42 4 1 130147
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 397979
1 1 4 1 26698.9
1 2 1 1 215545
1 2 4 1 22727.1
1 3 1 1 126204
1 3 4 1 19509.7
1 4 1 1 77947.8
1 4 4 1 16938.6
1 5 1 1 49551.6
1 5 4 1 14911.7
1 6 1 1 32063.9
1 6 4 1 13336.4
1 7 1 1 21189.8
1 7 4 1 12130.6
1 8 1 1 14502.9
1 8 4 1 11223.1
1 9 1 1 10472.3
1 9 4 1 10553.6
1 10 1 1 8096.74
1 10 4 1 10071.3
1 11 1 1 6726.94
1 11 4 1 9734.59
1 12 1 1 5952.78
1 12 4 1 9509.32
1 13 1 1 5523.07
1 13 4 1 9368.13
1 14 1 1 5288.33
1 14 4 1 9289.23
1 15 1 1 5161.89
1 15 4 1 9255.49
1 16 1 1 5094.63
1 16 4 1 9253.61
1 17 1 1 5059.23
1 17 4 1 9273.41
1 18 1 1 5040.79
1 18 4 1 9307.2
1 19 1 1 5031.26
1 19 4 1 9349.25
1 20 1 1 5026.38
1 20 4 1 9395.42
1 21 1 1 2281.6
1 21 4 1 3961.05
1 22 1 1 2699.39
1 22 4 1 4212.71
1 23 1 1 3022.87
1 23 4 1 4448.56
1 24 1 1 3259.91
1 24 4 1 4667.72
1 25 1 1 3427.15
1 25 4 1 4869.88
1 26 1 1 3541.91
1 26 4 1 5055.21
1 27 1 1 3619.01
1 27 4 1 5224.18
1 28 1 1 3669.97
1 28 4 1 5377.49
1 29 1 1 3703.22
1 29 4 1 5516
1 30 1 1 3724.68
1 30 4 1 5640.68
1 31 1 1 3738.41
1 31 4 1 5752.52
1 32 1 1 3747.13
1 32 4 1 5852.54
1 33 1 1 3752.64
1 33 4 1 5941.73
1 34 1 1 3756.1
1 34 4 1 6021.08
1 35 1 1 3758.26
1 35 4 1 6091.5
1 36 1 1 3759.62
1 36 4 1 6153.86
1 37 1 1 3760.46
1 37 4 1 6208.99
1 38 1 1 3760.98
1 38 4 1 6257.63
1 39 1 1 3761.3
1 39 4 1 6300.48
1 40 1 1 3761.5
1 40 4 1 6338.17
1 41 1 1 3761.62
1 41 4 1 6371.27
1 42 1 1 3761.7
1 42 4 1 6400.31
2 1 2 1 552566
2 1 3 1 241464
2 2 2 1 295960
2 2 3 1 100649
2 3 2 1 172538
2 3 3 1 44597.4
2 4 2 1 106251
2 4 3 1 21196.3
2 5 2 1 65992.6
2 5 3 1 10892.7
2 6 2 1 41549.5
2 6 3 1 6122.55
2 7 2 1 27171.4
2 7 3 1 3820.61
2 8 2 1 18996.1
2 8 3 1 2678.21
2 9 2 1 14473
2 9 3 1 2101.51
2 10 2 1 12030.7
2 10 3 1 1809.21
2 11 2 1 10734.9
2 11 3 1 1661.18
2 12 2 1 10055.3
2 12 3 1 1586.27
2 13 2 1 9701.66
2 13 3 1 1548.46
2 14 2 1 9517.26
2 14 3 1 1529.21
2 15 2 1 9424.19
2 15 3 1 1519.86
2 16 2 1 9378.36
2 16 3 1 1515.51
2 17 2 1 9351.91
2 17 3 1 1512.91
2 18 2 1 9332.32
2 18 3 1 1510.73
2 19 2 1 9322.04
2 19 3 1 1509.63
2 20 2 1 9319.49
2 20 3 1 1509.58
2 21 2 1 9316.31
2 21 3 1 1509.24
2 22 2 1 9308.69
2 22 3 1 1508.23
2 23 2 1 9297.19
2 23 3 1 1506.6
2 24 2 1 9287.37
2 24 3 1 1505.34
2 25 2 1 9274.26
2 25 3 1 1503.62
2 26 2 1 9262.7
2 26 3 1 1502.06
2 27 2 1 9261.06
2 27 3 1 1502.04
2 28 2 1 9261.62
2 28 3 1 1502.26
2 29 2 1 9255.12
2 29 3 1 1501.36
2 30 2 1 9246.31
2 30 3 1 1500.08
2 31 2 1 9240.52
2 31 3 1 1499.42
2 32 2 1 9232.06
2 32 3 1 1498.3
2 33 2 1 9222.69
2 33 3 1 1497.07
2 34 2 1 9210.42
2 34 3 1 1495.44
2 35 2 1 9193.07
2 35 3 1 1493.1
2 36 2 1 9176.95
2 36 3 1 1490.94
2 37 2 1 9169.34
2 37 3 1 1490.11
2 38 2 1 9166.65
2 38 3 1 1489.92
2 39 2 1 9162.03
2 39 3 1 1489.36
2 40 2 1 9157.55
2 40 3 1 1488.71
2 41 2 1 9156.55
2 41 3 1 1488.69
2 42 2 1 9154
2 42 3 1 1488.34
full time series of survey length comp
survey year spp area catch-at-size
1 1 1 2  0.0586328 1.70393 5.10936 5.65745 1.55336
1 1 2 2  0 9.28179 18.1372 30.1135 90.2895
1 1 3 2  0.372801 2.48294 5.19113 11.3194 22.4353
1 1 4 2  0.432354 8.49485 29.386 21.9606 9.03051
1 2 1 2  0.0271391 1.16672 4.17325 3.22239 0.704983
1 2 2 2  0 3.47507 18.1847 23.1419 43.6363
1 2 3 2  0.209307 1.64368 3.1826 5.15931 8.51188
1 2 4 2  0.527798 8.69972 27.3483 19.0552 7.1966
1 3 1 2  0.0148486 0.747905 3.12954 1.99498 0.319953
1 3 2 2  0 1.98272 11.5491 19.8546 21.2682
1 3 3 2  0.13636 1.08576 2.03749 2.51164 3.25112
1 3 4 2  0.596736 9.13593 25.8933 16.6314 5.73512
1 4 1 2  0.0100522 0.486718 2.1893 1.30406 0.145209
1 4 2 2  0 1.59832 7.09262 15.2386 10.4116
1 4 3 2  0.103802 0.754781 1.32913 1.3124 1.24601
1 4 4 2  0.646529 9.67404 25.0157 14.6223 4.57044
1 5 1 2  0.00818043 0.339113 1.48629 0.870566 0.0659023
1 5 2 2  0 1.49955 4.8072 10.9172 5.11397
1 5 3 2  0.0892747 0.570767 0.897707 0.733916 0.4787
1 5 4 2  0.682493 10.2353 24.6393 12.974 3.64228
1 6 1 2  0.00744995 0.260166 1.0198 0.584302 0.0299094
1 6 2 2  0 1.47389 3.74233 7.70121 2.51446
1 6 3 2  0.0827774 0.472126 0.643717 0.43769 0.184067
1 6 4 2  0.708469 10.7743 24.6615 11.64 2.90261
1 7 1 2  0.00716489 0.219383 0.73382 0.394978 0.0135742
1 7 2 2  0 1.46749 3.27233 5.60304 1.23837
1 7 3 2  0.0798794 0.420984 0.500436 0.280317 0.0708564
1 7 4 2  0.727231 11.267 24.9784 10.5773 2.31315
1 8 1 2  0.00705364 0.198806 0.567943 0.272614 0.00616059
1 8 2 2  0 1.46578 3.06947 4.33212 0.610322
1 8 3 2  0.0785786 0.3949 0.422013 0.195021 0.0272906
1 8 4 2  0.740782 11.7028 25.4963 9.74665 1.8434
1 9 1 2  0.00701022 0.188598 0.475549 0.195923 0.00279595
1 9 2 2  0 1.46559 2.98524 3.60235 0.301144
1 9 3 2  0.0780042 0.381973 0.380534 0.148725 0.0105189
1 9 4 2  0.75057 12.0795 26.1374 9.11146 1.46904
1 10 1 2  0.00699328 0.183596 0.42564 0.149318 0.00126893
1 10 2 2  0 1.46587 2.95239 3.19894 0.148749
1 10 3 2  0.0777581 0.375751 0.359268 0.123797 0.004057
1 10 4 2  0.75764 12.3995 26.8405 8.63865 1.17071
1 11 1 2  0.00698667 0.181169 0.399316 0.121785 0.000575897
1 11 2 2  0 1.46586 2.93885 2.98025 0.0734887
1 11 3 2  0.0776432 0.372678 0.348421 0.110499 0.001565
1 11 4 2  0.762746 12.6677 27.5598 8.29856 0.932962
1 12 1 2  0.00698409 0.179999 0.385692 0.105918 0.000261368
1 12 2 2  0 1.46592 2.93379 2.86446 0.0363193
1 12 3 2  0.0775929 0.371221 0.343041 0.103515 0.00060384
1 12 4 2  0.766434 12.8902 28.2627 8.06516 0.743497
1 13 1 2  0.00698308 0.179439 0.37875 0.0969704 0.00011862
1 13 2 2  0 1.46569 2.93049 2.80257 0.0179461
1 13 3 2  0.0775593 0.37041 0.340229 0.099861 0.000232974
1 13 4 2  0.769098 13.073 28.9275 7.91598 0.592508
1 14 1 2  0.00698269 0.179172 0.375256 0.0920175 5.38352e-05
1 14 2 2  0 1.46567 2.92926 2.77038 0.00886953
1 14 3 2  0.0775456 0.370041 0.338865 0.0979831 8.98995e-05
1 14 4 2  0.771022 13.2222 29.541 7.83194 0.472182
1 15 1 2  0.00698253 0.179045 0.373516 0.0893201 2.44328e-05
1 15 2 2  0 1.46583 2.92974 2.75465 0.0043851
1 15 3 2  0.0775455 0.369941 0.338318 0.0970543 3.46967e-05
1 15 4 2  0.772412 13.3433 30.0964 7.79717 0.376292
1 16 1 2  0.00698247 0.178985 0.372657 0.0878717 1.10887e-05
1 16 2 2  0 1.46577 2.92962 2.74654 0.00216785
1 16 3 2  0.0775411 0.369856 0.338023 0.0965934 1.33911e-05
1 16 4 2  0.773415 13.4411 30.5913 7.79862 0.299875
1 17 1 2  0.00698245 0.178956 0.372236 0.0871034 5.03256e-06
1 17 2 2  0 1.46538 2.92737 2.74042 0.0010712
1 17 3 2  0.0775231 0.369639 0.337626 0.0963151 5.16719e-06
1 17 4 2  0.77414 13.5197 31.0267 7.82577 0.238976
1 18 1 2  0.00698244 0.178943 0.372031 0.0867003 2.284e-06
1 18 2 2  0 1.46515 2.92528 2.73568 0.000529239
1 18 3 2  0.0775096 0.369465 0.337284 0.0961245 1.99376e-06
1 18 4 2  0.774664 13.5826 31.4056 7.8703 0.190445
1 19 1 2  0.00698244 0.178936 0.371932 0.0864908 1.03658e-06
1 19 2 2  0 1.46555 2.92679 2.73488 0.000261655
1 19 3 2  0.0775229 0.369587 0.337381 0.0960591 7.6954e-07
1 19 4 2  0.775042 13.6328 31.7323 7.92571 0.15177
1 20 1 2  0.00698244 0.178933 0.371884 0.0863829 4.70447e-07
1 20 2 2  0 1.46543 2.92662 2.734 0.000129324
1 20 3 2  0.0775194 0.369553 0.337339 0.0960213 2.96985e-07
1 20 4 2  0.775315 13.6728 32.0118 7.98706 0.120948
1 21 1 2  0.00699215 0.182232 0.421203 0.112633 2.87263e-07
1 21 2 2  0 1.46531 2.92589 2.733 6.39117e-05
1 21 3 2  0.0775142 0.369493 0.337246 0.0959881 1.14609e-07
1 21 4 2  0.775799 13.8208 33.9441 8.64862 0.103808
1 22 1 2  0.00699595 0.183884 0.450761 0.136618 1.75408e-07
